,hpso01 (Ingest) [Nf_max=16384] [Na=32],hpso01 (RCAL) [Nf_max=16384] [Na=32],hpso01 (FastImg) [Nf_max=16384] [Na=32],hpso01 (ICAL) [Nf_max=16384] [Na=32],hpso01 (DPrepA) [Nf_max=16384] [Na=32],hpso01 (DPrepB) [Nf_max=16384] [Na=32],hpso01 (DPrepC) [Nf_max=16384] [Na=32],hpso01 (DPrepD) [Nf_max=16384] [Na=32],hpso02a (Ingest) [Nf_max=16384] [Na=32],hpso02a (RCAL) [Nf_max=16384] [Na=32],hpso02a (FastImg) [Nf_max=16384] [Na=32],hpso02a (ICAL) [Nf_max=16384] [Na=32],hpso02a (DPrepA) [Nf_max=16384] [Na=32],hpso02a (DPrepB) [Nf_max=16384] [Na=32],hpso02a (DPrepC) [Nf_max=16384] [Na=32],hpso02a (DPrepD) [Nf_max=16384] [Na=32],hpso02b (Ingest) [Nf_max=16384] [Na=32],hpso02b (RCAL) [Nf_max=16384] [Na=32],hpso02b (FastImg) [Nf_max=16384] [Na=32],hpso02b (ICAL) [Nf_max=16384] [Na=32],hpso02b (DPrepA) [Nf_max=16384] [Na=32],hpso02b (DPrepB) [Nf_max=16384] [Na=32],hpso02b (DPrepC) [Nf_max=16384] [Na=32],hpso02b (DPrepD) [Nf_max=16384] [Na=32],hpso04a (Ingest) [Na=32],hpso04a (RCAL) [Na=32],hpso04a (FastImg) [Na=32],hpso04a (PSS) [Na=32],hpso05a (Ingest) [Nf_max=16384] [Na=32],hpso05a (RCAL) [Nf_max=16384] [Na=32],hpso05a (FastImg) [Nf_max=16384] [Na=32],hpso05a (PST) [Nf_max=16384] [Na=32],max_low (Ingest) [Nf_max=16384] [Na=32],max_low (RCAL) [Nf_max=16384] [Na=32],max_low (FastImg) [Nf_max=16384] [Na=32],max_low (ICAL) [Nf_max=16384] [Na=32],max_low (DPrepA) [Nf_max=16384] [Na=32],max_low (DPrepA_Image) [Nf_max=16384] [Na=32],max_low (DPrepB) [Nf_max=16384] [Na=32],max_low (DPrepC) [Nf_max=16384] [Na=32],max_low (DPrepD) [Nf_max=16384] [Na=32]
Coalesce time pred3 [s],,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,9.0,1.8,
Coalesce time pred4 [s],,8.1,0.9,6.3,7.2,4.5,0.9,,,8.1,0.9,5.4,7.2,4.5,0.9,,,8.1,0.9,5.4,7.2,4.5,0.9,,,5.4,0.9,,,5.4,0.9,,,8.1,0.9,5.4,6.3,7.2,4.5,0.9,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,3.6,
Coalesce time bw3 [s],,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,9.0,1.8,
Coalesce time bw4 [s],,8.1,0.9,6.3,7.2,4.5,0.9,,,8.1,0.9,5.4,7.2,4.5,0.9,,,8.1,0.9,5.4,7.2,4.5,0.9,,,5.4,0.9,,,5.4,0.9,,,8.1,0.9,5.4,6.3,7.2,4.5,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),146.0,1.1111111111111112,115.0,141.0,84.0,17.0,(undefined),(undefined),146.0,1.1111111111111112,109.0,141.0,84.0,17.0,(undefined),(undefined),146.0,1.1111111111111112,109.0,141.0,84.0,17.0,(undefined),(undefined),104.0,1.1111111111111112,(undefined),(undefined),104.0,1.1111111111111112,(undefined),(undefined),146.0,1.1111111111111112,104.0,113.0,141.0,84.0,17.0,(undefined)
Combined samples facet1,,73.0,1.1111111111111112,57.0,70.0,42.0,8.0,,,73.0,1.1111111111111112,54.0,70.0,42.0,8.0,,,73.0,1.1111111111111112,54.0,70.0,42.0,8.0,,,52.0,1.1111111111111112,,,52.0,1.1111111111111112,,,73.0,1.1111111111111112,52.0,56.0,70.0,42.0,8.0,
Combined samples facet2,,36.0,1.1111111111111112,28.0,35.0,21.0,4.0,,,36.0,1.1111111111111112,27.0,35.0,21.0,4.0,,,36.0,1.1111111111111112,27.0,35.0,21.0,4.0,,,26.0,1.1111111111111112,,,26.0,1.1111111111111112,,,36.0,1.1111111111111112,26.0,28.0,35.0,21.0,4.0,
Combined samples facet3,,18.0,1.1111111111111112,14.0,17.0,10.0,2.0,,,18.0,1.1111111111111112,13.0,17.0,10.0,2.0,,,18.0,1.1111111111111112,13.0,17.0,10.0,2.0,,,13.0,1.1111111111111112,,,13.0,1.1111111111111112,,,18.0,1.1111111111111112,13.0,14.0,17.0,10.0,2.0,
Combined samples facet4,,9.0,1.0,7.0,8.0,5.0,1.0,,,9.0,1.0,6.0,8.0,5.0,1.0,,,9.0,1.0,6.0,8.0,5.0,1.0,,,6.0,1.0,,,6.0,1.0,,,9.0,1.0,6.0,7.0,8.0,5.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),0.7466604264601352,32.55476508226232,0.9378083618152082,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.7466604264601352,32.55476508226232,0.9788708825734973,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.7466604264601352,32.55476508226232,0.9788708825734973,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),0.7480152955297464,32.567468020591605,1.0276478670677662,0.9571422050729189,0.7746757042985002,1.8018978810409318,19.4805503999382,(undefined)
Visibilities kernel pred1,,1.4589995388232888,64.99502025817469,1.7966232257457833,1.5074275096577814,2.2919237258358853,3.532105786577506,,,1.4589995388232888,64.99502025817469,1.8650086451069634,1.5074275096577814,2.2919237258358853,3.532105786577506,,,1.4589995388232888,64.99502025817469,1.8650086451069634,1.5074275096577814,2.2919237258358853,3.532105786577506,,,2.0694168099287844,65.24680525561551,,,2.0694168099287844,65.24680525561551,,,1.4653141633269324,65.03229589341818,1.9570259423310246,1.83897877891184,1.5145989183118262,2.278825779051935,18.383978517180058,
Visibilities kernel pred2,,2.759206149324398,128.46894958994176,3.2445622450365597,2.8351366903916477,3.686019680209894,12.04583047514817,,,2.759206149324398,128.46894958994176,3.3288859295776225,2.8351366903916477,3.686019680209894,12.04583047514817,,,2.759206149324398,128.46894958994176,3.3288859295776225,2.8351366903916477,3.686019680209894,12.04583047514817,,,3.985020801811123,130.1123243148036,,,3.985020801811123,130.1123243148036,,,2.78829940468315,128.72715467010218,3.489281640529314,3.3416778734512618,2.8678325170619248,3.8081280539118456,23.059708736680566,
Visibilities kernel pred3,,4.847199565985612,236.03072712920883,5.259699884767825,4.927407341326682,5.910880427502227,48.17980264046632,,,4.847199565985612,236.03072712920883,5.303069327728902,4.927407341326682,5.910880427502227,48.17980264046632,,,4.847199565985612,236.03072712920883,5.303069327728902,4.927407341326682,5.910880427502227,48.17980264046632,,,7.264849131799506,254.60091587588127,,,7.264849131799506,254.60091587588127,,,4.959324393472812,238.794756687367,6.071769474123094,5.7406080013133005,5.049802216234254,6.207949077841226,27.824645965434218,
Visibilities kernel pred4,,10.26734273039443,301.15848988231437,15.452025576021347,11.941813986016408,20.872961795583407,166.3824712406208,,,10.26734273039443,301.15848988231437,18.87193258228052,11.941813986016408,20.872961795583407,166.3824712406208,,,10.26734273039443,301.15848988231437,18.87193258228052,11.941813986016408,20.872961795583407,166.3824712406208,,,22.121356819046408,488.16617752926845,,,22.121356819046408,488.16617752926845,,,10.907851450653878,223.67267813933833,22.48311241525944,18.21984416531445,12.720987561131084,22.89748063194871,40.22621330421163,
Visibilities kernel bw0,(undefined),0.7466604264601352,32.55476508226232,0.9378083618152082,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.7466604264601352,32.55476508226232,0.9788708825734973,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.7466604264601352,32.55476508226232,0.9788708825734973,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),0.7480152955297464,32.567468020591605,1.0276478670677662,0.9571422050729189,0.7746757042985002,1.8018978810409318,19.4805503999382,(undefined)
Visibilities kernel bw1,,1.4589995388232888,64.99502025817469,1.7966232257457833,1.5074275096577814,2.2919237258358853,3.532105786577506,,,1.4589995388232888,64.99502025817469,1.8650086451069634,1.5074275096577814,2.2919237258358853,3.532105786577506,,,1.4589995388232888,64.99502025817469,1.8650086451069634,1.5074275096577814,2.2919237258358853,3.532105786577506,,,2.0694168099287844,65.24680525561551,,,2.0694168099287844,65.24680525561551,,,1.4653141633269324,65.03229589341818,1.9570259423310246,1.83897877891184,1.5145989183118262,2.278825779051935,18.383978517180058,
Visibilities kernel bw2,,2.759206149324398,128.46894958994176,3.2445622450365597,2.8351366903916477,3.686019680209894,12.04583047514817,,,2.759206149324398,128.46894958994176,3.3288859295776225,2.8351366903916477,3.686019680209894,12.04583047514817,,,2.759206149324398,128.46894958994176,3.3288859295776225,2.8351366903916477,3.686019680209894,12.04583047514817,,,3.985020801811123,130.1123243148036,,,3.985020801811123,130.1123243148036,,,2.78829940468315,128.72715467010218,3.489281640529314,3.3416778734512618,2.8678325170619248,3.8081280539118456,23.059708736680566,
Visibilities kernel bw3,,4.847199565985612,236.03072712920883,5.259699884767825,4.927407341326682,5.910880427502227,48.17980264046632,,,4.847199565985612,236.03072712920883,5.303069327728902,4.927407341326682,5.910880427502227,48.17980264046632,,,4.847199565985612,236.03072712920883,5.303069327728902,4.927407341326682,5.910880427502227,48.17980264046632,,,7.264849131799506,254.60091587588127,,,7.264849131799506,254.60091587588127,,,4.959324393472812,238.794756687367,6.071769474123094,5.7406080013133005,5.049802216234254,6.207949077841226,27.824645965434218,
Visibilities kernel bw4,,10.26734273039443,301.15848988231437,15.452025576021347,11.941813986016408,20.872961795583407,166.3824712406208,,,10.26734273039443,301.15848988231437,18.87193258228052,11.941813986016408,20.872961795583407,166.3824712406208,,,10.26734273039443,301.15848988231437,18.87193258228052,11.941813986016408,20.872961795583407,166.3824712406208,,,22.121356819046408,488.16617752926845,,,22.121356819046408,488.16617752926845,,,10.907851450653878,223.67267813933833,22.48311241525944,18.21984416531445,12.720987561131084,22.89748063194871,40.22621330421163,
Oversampling used pred0,(undefined),0.7481479608835784,25.671297738388773,0.9382665581010698,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.7481479608835784,25.671297738388773,0.9790333322055815,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.7481479608835784,25.671297738388773,0.9790333322055815,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),0.7494975488332614,25.678964643980194,1.0274247633188978,0.9574644363783236,0.776048181021963,1.7905975999528536,16.908316150625453,(undefined)
Oversampling used pred1,,1.4537528315576935,41.00404563732292,1.7854298272809714,1.501436227770732,2.268826256124001,3.462789801152965,,,1.4537528315576935,41.00404563732292,1.8523962395869518,1.501436227770732,2.268826256124001,3.462789801152965,,,1.4537528315576935,41.00404563732292,1.8523962395869518,1.501436227770732,2.268826256124001,3.462789801152965,,,2.052133481248788,41.09504865417958,,,2.052133481248788,41.09504865417958,,,1.459972431396686,41.01754099116667,1.9423904304598452,1.826914997622616,1.508494285963046,2.2560915830968966,16.088017621342473,
Oversampling used pred2,,2.7214342698595857,55.53696204160445,3.1880352100831004,2.7946662373035593,3.6093477045008626,11.058843340459298,,,2.7214342698595857,55.53696204160445,3.2687374390237665,2.7946662373035593,3.6093477045008626,11.058843340459298,,,2.7214342698595857,55.53696204160445,3.2687374390237665,2.7946662373035593,3.6093477045008626,11.058843340459298,,,3.893045324100747,55.753179318800974,,,3.893045324100747,55.753179318800974,,,2.7495038989709855,55.57130546895441,3.421949134798581,3.2809706470634055,2.8261730911105687,3.7253677174226993,19.489257764397877,
Oversampling used pred3,,4.703655833408703,62.44451571090015,5.087608411907041,4.778508173293858,5.688669166510103,34.0319937959826,,,4.703655833408703,62.44451571090015,5.1278316885080955,4.778508173293858,5.688669166510103,34.0319937959826,,,4.703655833408703,62.44451571090015,5.1278316885080955,4.778508173293858,5.688669166510103,34.0319937959826,,,6.9188667621709214,62.838935826255636,,,6.9188667621709214,62.838935826255636,,,4.808267851053962,62.51077177952567,5.836227792945152,5.532096863049219,4.8925487325687556,5.960832448644119,22.707097777262263,
Oversampling used pred4,,9.555093257172608,63.442263315354424,13.823887405946799,10.97204995637383,17.929712012182087,59.3417840428518,,,9.555093257172608,63.442263315354424,16.454785030318668,10.97204995637383,17.929712012182087,59.3417840428518,,,9.555093257172608,63.442263315354424,16.454785030318668,10.97204995637383,17.929712012182087,59.3417840428518,,,18.82661619365483,63.97066377387519,,,18.82661619365483,63.97066377387519,,,10.101516344977732,62.110323020775105,19.08323980917345,15.96401230960793,11.61876427940745,19.37539517061419,30.033106937684913,
Oversampling used bw0,(undefined),0.7481479608835784,25.671297738388773,0.9382665581010698,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.7481479608835784,25.671297738388773,0.9790333322055815,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.7481479608835784,25.671297738388773,0.9790333322055815,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),0.7494975488332614,25.678964643980194,1.0274247633188978,0.9574644363783236,0.776048181021963,1.7905975999528536,16.908316150625453,(undefined)
Oversampling used bw1,,1.4537528315576935,41.00404563732292,1.7854298272809714,1.501436227770732,2.268826256124001,3.462789801152965,,,1.4537528315576935,41.00404563732292,1.8523962395869518,1.501436227770732,2.268826256124001,3.462789801152965,,,1.4537528315576935,41.00404563732292,1.8523962395869518,1.501436227770732,2.268826256124001,3.462789801152965,,,2.052133481248788,41.09504865417958,,,2.052133481248788,41.09504865417958,,,1.459972431396686,41.01754099116667,1.9423904304598452,1.826914997622616,1.508494285963046,2.2560915830968966,16.088017621342473,
Oversampling used bw2,,2.7214342698595857,55.53696204160445,3.1880352100831004,2.7946662373035593,3.6093477045008626,11.058843340459298,,,2.7214342698595857,55.53696204160445,3.2687374390237665,2.7946662373035593,3.6093477045008626,11.058843340459298,,,2.7214342698595857,55.53696204160445,3.2687374390237665,2.7946662373035593,3.6093477045008626,11.058843340459298,,,3.893045324100747,55.753179318800974,,,3.893045324100747,55.753179318800974,,,2.7495038989709855,55.57130546895441,3.421949134798581,3.2809706470634055,2.8261730911105687,3.7253677174226993,19.489257764397877,
Oversampling used bw3,,4.703655833408703,62.44451571090015,5.087608411907041,4.778508173293858,5.688669166510103,34.0319937959826,,,4.703655833408703,62.44451571090015,5.1278316885080955,4.778508173293858,5.688669166510103,34.0319937959826,,,4.703655833408703,62.44451571090015,5.1278316885080955,4.778508173293858,5.688669166510103,34.0319937959826,,,6.9188667621709214,62.838935826255636,,,6.9188667621709214,62.838935826255636,,,4.808267851053962,62.51077177952567,5.836227792945152,5.532096863049219,4.8925487325687556,5.960832448644119,22.707097777262263,
Oversampling used bw4,,9.555093257172608,63.442263315354424,13.823887405946799,10.97204995637383,17.929712012182087,59.3417840428518,,,9.555093257172608,63.442263315354424,16.454785030318668,10.97204995637383,17.929712012182087,59.3417840428518,,,9.555093257172608,63.442263315354424,16.454785030318668,10.97204995637383,17.929712012182087,59.3417840428518,,,18.82661619365483,63.97066377387519,,,18.82661619365483,63.97066377387519,,,10.101516344977732,62.110323020775105,19.08323980917345,15.96401230960793,11.61876427940745,19.37539517061419,30.033106937684913,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),141.90819215470026,1186.6956875807953,180.42193493103704,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),141.90819215470026,1186.6956875807953,188.98053110217305,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),141.90819215470026,1186.6956875807953,188.98053110217305,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),199.26552630732883,1666.3443177517802,278.5836390858683,258.01971053861473,206.60981055187344,343.7026748873344,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,283.12492857781456,2372.6984303939844,360.1520532979532,293.5854060303608,488.8474934882089,2372.6984303939844,,,283.12492857781456,2372.6984303939844,377.26918541595444,293.5854060303608,488.8474934882089,2372.6984303939844,,,283.12492857781456,2372.6984303939844,377.26918541595444,293.5854060303608,488.8474934882089,2372.6984303939844,,,242.71959454507825,1453.9394929925988,,,242.71959454507825,1453.9394929925988,,,397.5604709294264,3331.7159644487933,556.1960211322845,515.0682992841859,412.2489551190896,686.4337711722908,3331.7159644487933,
"Channels predict, no-smear2",,565.5575581107942,4744.703814848597,719.611626215311,586.4784828086504,977.0023310935779,4744.703814848597,,,565.5575581107942,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,,565.5575581107942,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,,485.0159097761033,2907.4553987723175,,,485.0159097761033,2907.4553987723175,,,794.1491768611579,6662.459115881312,1111.4199379380743,1029.1645621519401,823.5261028545824,1371.8952766430345,6662.459115881312,
"Channels predict, no-smear3",,1130.4223937148056,9488.714533153065,1438.530439024606,1172.2642279642882,1953.3117608590187,9488.714533153065,,,1130.4223937148056,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,,1130.4223937148056,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,,969.6083556181683,5814.487179478897,,,969.6083556181683,5814.487179478897,,,1587.3259945359346,13323.945347729323,2221.867346610081,2057.3566290643917,1646.0798252703783,2742.8179431826493,13323.945347729323,
"Channels predict, no-smear4",,2260.151852737311,18976.73594444234,2876.367897849623,2343.835513653477,3905.930497514414,18976.73594444234,,,2260.151852737311,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,,2260.151852737311,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,,1938.7931548514175,11628.550725478857,,,1938.7931548514175,11628.550725478857,,,3173.6793321543814,26646.917775907757,4442.761951158458,4113.740533099671,3291.1869829821444,5484.663103847904,26646.917775907757,
"Channels backward, no-smear0",(undefined),141.90819215470026,1186.6956875807953,180.42193493103704,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),141.90819215470026,1186.6956875807953,188.98053110217305,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),141.90819215470026,1186.6956875807953,188.98053110217305,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),199.26552630732883,1666.3443177517802,278.5836390858683,258.01971053861473,206.60981055187344,343.7026748873344,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,283.12492857781456,2372.6984303939844,360.1520532979532,293.5854060303608,488.8474934882089,2372.6984303939844,,,283.12492857781456,2372.6984303939844,377.26918541595444,293.5854060303608,488.8474934882089,2372.6984303939844,,,283.12492857781456,2372.6984303939844,377.26918541595444,293.5854060303608,488.8474934882089,2372.6984303939844,,,242.71959454507825,1453.9394929925988,,,242.71959454507825,1453.9394929925988,,,397.5604709294264,3331.7159644487933,556.1960211322845,515.0682992841859,412.2489551190896,686.4337711722908,3331.7159644487933,
"Channels backward, no-smear2",,565.5575581107942,4744.703814848597,719.611626215311,586.4784828086504,977.0023310935779,4744.703814848597,,,565.5575581107942,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,,565.5575581107942,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,,485.0159097761033,2907.4553987723175,,,485.0159097761033,2907.4553987723175,,,794.1491768611579,6662.459115881312,1111.4199379380743,1029.1645621519401,823.5261028545824,1371.8952766430345,6662.459115881312,
"Channels backward, no-smear3",,1130.4223937148056,9488.714533153065,1438.530439024606,1172.2642279642882,1953.3117608590187,9488.714533153065,,,1130.4223937148056,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,,1130.4223937148056,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,,969.6083556181683,5814.487179478897,,,969.6083556181683,5814.487179478897,,,1587.3259945359346,13323.945347729323,2221.867346610081,2057.3566290643917,1646.0798252703783,2742.8179431826493,13323.945347729323,
"Channels backward, no-smear4",,2260.151852737311,18976.73594444234,2876.367897849623,2343.835513653477,3905.930497514414,18976.73594444234,,,2260.151852737311,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,,2260.151852737311,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,,1938.7931548514175,11628.550725478857,,,1938.7931548514175,11628.550725478857,,,3173.6793321543814,26646.917775907757,4442.761951158458,4113.740533099671,3291.1869829821444,5484.663103847904,26646.917775907757,
