,hpso01 (Ingest) [Nf_max=65536] [Na=64],hpso01 (RCAL) [Nf_max=65536] [Na=64],hpso01 (FastImg) [Nf_max=65536] [Na=64],hpso01 (ICAL) [Nf_max=65536] [Na=64],hpso01 (DPrepA) [Nf_max=65536] [Na=64],hpso01 (DPrepB) [Nf_max=65536] [Na=64],hpso01 (DPrepC) [Nf_max=65536] [Na=64],hpso01 (DPrepD) [Nf_max=65536] [Na=64],hpso02a (Ingest) [Nf_max=65536] [Na=64],hpso02a (RCAL) [Nf_max=65536] [Na=64],hpso02a (FastImg) [Nf_max=65536] [Na=64],hpso02a (ICAL) [Nf_max=65536] [Na=64],hpso02a (DPrepA) [Nf_max=65536] [Na=64],hpso02a (DPrepB) [Nf_max=65536] [Na=64],hpso02a (DPrepC) [Nf_max=65536] [Na=64],hpso02a (DPrepD) [Nf_max=65536] [Na=64],hpso02b (Ingest) [Nf_max=65536] [Na=64],hpso02b (RCAL) [Nf_max=65536] [Na=64],hpso02b (FastImg) [Nf_max=65536] [Na=64],hpso02b (ICAL) [Nf_max=65536] [Na=64],hpso02b (DPrepA) [Nf_max=65536] [Na=64],hpso02b (DPrepB) [Nf_max=65536] [Na=64],hpso02b (DPrepC) [Nf_max=65536] [Na=64],hpso02b (DPrepD) [Nf_max=65536] [Na=64],hpso04a (Ingest) [Nf_max=65536] [Na=64],hpso04a (RCAL) [Nf_max=65536] [Na=64],hpso04a (FastImg) [Nf_max=65536] [Na=64],hpso04a (PSS) [Nf_max=65536] [Na=64],hpso05a (Ingest) [Na=64],hpso05a (RCAL) [Na=64],hpso05a (FastImg) [Na=64],hpso05a (PST) [Na=64],max_low (Ingest) [Na=64],max_low (RCAL) [Na=64],max_low (FastImg) [Na=64],max_low (ICAL) [Na=64],max_low (DPrepA) [Na=64],max_low (DPrepA_Image) [Na=64],max_low (DPrepB) [Na=64],max_low (DPrepC) [Na=64],max_low (DPrepD) [Na=64]
Calibration output [GB],0.0,0.294912,0.0,1.4848,0.0,0.0,0.0,0.0,0.0,0.294912,0.0,1.4848,0.0,0.0,0.0,0.0,0.0,0.294912,0.0,1.4848,0.0,0.0,0.0,0.0,0.0,0.0393216,0.0,(undefined),0.0,0.0393216,0.0,(undefined),0.0,0.3538944,0.0,2.4895488,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,1.548288,0.0,483.84,0.0,0.0,0.0,0.0,0.0,1.548288,0.0,483.84,0.0,0.0,0.0,0.0,0.0,1.548288,0.0,483.84,0.0,0.0,0.0,0.0,0.0,2.58048,0.0,(undefined),0.0,2.58048,0.0,(undefined),0.0,1.10592,0.0,478.3104,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.032768,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.032768,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.032768,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.05461333333333333,0.0,(undefined),0.0,0.05461333333333333,0.0,(undefined),0.0,0.023405714285714287,0.0,10.122971428571429,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.009184640655213232,0.0012598958374778098,0.125989583747781,0.37796875124334295,(undefined),(undefined),(undefined),(undefined),0.004082062513428103,0.0012598958374778098,0.125989583747781,0.37796875124334295,(undefined),(undefined),(undefined),(undefined),0.004082062513428103,0.0012598958374778098,0.125989583747781,0.37796875124334295,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.012877240043442957,0.0017664252460141228,0.0017664252460141228,0.12617323185815163,11.484567948688646,(undefined)
Working (cache) memory [TeraBytes],(undefined),0.002152053672599676,0.00013887001187225533,0.0021520536724665613,0.0003179882936338836,0.000824407061657655,0.0005124724517960355,(undefined),(undefined),0.002152053672599676,0.00013887001187225533,0.0008990041592250445,0.0003179882936338836,0.000824407061657655,0.0005124724517960355,(undefined),(undefined),0.002152053672599676,0.00013887001187225533,0.0008990041592250445,0.0003179882936338836,0.000824407061657655,0.0005124724517960355,(undefined),(undefined),0.0004908348862668885,4.750752776321458e-06,(undefined),(undefined),0.0004908348862668885,4.750752776321458e-06,(undefined),(undefined),0.0010416863807856274,7.948520621697052e-05,0.001041686381107628,0.0001392705355415825,0.00013263341026346556,0.0004012484459840265,0.00183009943513765,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.2617245696,0.2617245696,0.1308622848,0.2617245696,0.1308622848,0.2617245696,0.2617245696,0.2617245696,0.2617245696,0.2617245696,0.1308622848,0.2617245696,0.1308622848,0.2617245696,0.2617245696,0.2617245696,0.2617245696,0.2617245696,0.1308622848,0.2617245696,0.1308622848,0.2617245696,0.2617245696,0.2617245696,0.017448304640000002,0.017448304640000002,0.008724152320000001,0.002102152,0.017448304640000002,0.017448304640000002,0.008724152320000001,0.00077309411328,0.15703474176,0.15703474176,0.07851737088,0.15703474176,0.07851737088,0.07851737088,0.15703474176,0.15703474176,0.15703474176
Total buffer ingest rate [TeraBytes/s],0.014540253866666668,0.014540253866666668,0.007270126933333334,0.014540253866666668,0.007270126933333334,0.014540253866666668,0.014540253866666668,0.014540253866666668,0.014540253866666668,0.014540253866666668,0.007270126933333334,0.014540253866666668,0.007270126933333334,0.014540253866666668,0.014540253866666668,0.014540253866666668,0.014540253866666668,0.014540253866666668,0.007270126933333334,0.014540253866666668,0.007270126933333334,0.014540253866666668,0.014540253866666668,0.014540253866666668,0.007270126933333334,0.007270126933333334,0.003635063466666667,(undefined),0.007270126933333334,0.007270126933333334,0.003635063466666667,(undefined),0.007270126933333334,0.007270126933333334,0.003635063466666667,0.007270126933333334,0.003635063466666667,0.003635063466666667,0.007270126933333334,0.007270126933333334,0.007270126933333334
Output size [TB],0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,16.75390101665107,0.792723456,0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,16.75390101665107,0.792723456,0.0,0.0,0.0,0.0,0.11587165102218994,5.584633672217024,16.75390101665107,0.792723456,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.08122838554363401,0.08122838554363401,2.7963870433054336,311.6735055613349,3.8050725888
Buffer Read Rate [TeraBytes/s],0.01409286144,0.011337358462659588,0.004080757297492879,0.05668679231329794,0.012597628034551922,0.025195256069103843,0.04896908756991455,0.04896908756991455,0.01409286144,0.011337358462659588,0.004080757297492879,0.03779169171254431,0.012597628034551922,0.025195256069103843,0.04896908756991455,0.04896908756991455,0.01409286144,0.011337358462659588,0.004080757297492879,0.03779169171254431,0.012597628034551922,0.025195256069103843,0.04896908756991455,0.04896908756991455,0.00704643072,0.0034736493105739,0.0012503017740034868,0.0008758966666666667,0.00704643072,0.0034736493105739,0.0012503017740034868,0.0003221225472,0.00704643072,0.007959895230693369,0.0028650765992656022,0.039799476153466844,0.008844723222654734,0.008844723222654734,0.017689446445309467,0.08455716864,0.03438091919118723
Facet visibility rate [TeraBytes/s],0.0,2.6556576510850904e-05,0.00046985980086305224,0.00023900918859765812,9.061860965095788e-05,0.00031398602861756826,0.0012416036608447736,(undefined),0.0,2.6556576510850904e-05,0.00046985980086305224,0.00020671803206919959,9.061860965095788e-05,0.00031398602861756826,0.0012416036608447736,(undefined),0.0,2.6556576510850904e-05,0.00046985980086305224,0.00020671803206919959,9.061860965095788e-05,0.00031398602861756826,0.0012416036608447736,(undefined),0.0,8.13664901174438e-06,0.00014396013700372097,(undefined),0.0,8.13664901174438e-06,0.00014396013700372097,(undefined),0.0,1.8645218491208485e-05,0.0003298858936312339,0.00016780696642087635,0.00010128337685583183,6.362279409548271e-05,0.00021026981148328534,0.020191985813446743,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.015072230818811459,0.155064103074192,0.13565007736930312,0.05685683779387039,0.2842841889693519,0.8528525669080557,(undefined),0.0,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387039,0.2842841889693519,0.8528525669080557,(undefined),0.0,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387039,0.2842841889693519,0.8528525669080557,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.007614500175658578,0.07833847917344214,(undefined),0.0,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.028469857444916265,0.005693971488983253,0.14234928722458132,12.956948454930782,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.020031131636622224,0.02112741812289514,0.00914493493251486,0.19810488903015946,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.020031131636622224,0.02112741812289514,0.00914493493251486,0.105515787219763,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.020031131636622224,0.02112741812289514,0.00914493493251486,0.105515787219763,0.051289540674027904,0.07808719615864373,0.19111645779753786,0.004634720100627538,0.010015565818311112,0.006043172612263098,0.003302497564216753,0.00050088,0.010015565818311112,0.006043172612263098,0.003302497564216753,2.755e-07,0.010015565818311112,0.013699710345109035,0.005889528748324724,0.1282068675137538,0.034827691465883444,0.030367302929920036,0.047427219775282255,1.2753701874131287,0.0032540107476159074
-> Receive [PetaFLOP/s],4.8524401777777785e-06,,,,,,,,4.8524401777777785e-06,,,,,,,,4.8524401777777785e-06,,,,,,,,2.4262200888888893e-06,,,,2.4262200888888893e-06,,,,2.4262200888888893e-06,,,,,,,,
-> Flag [PetaFLOP/s],0.0003368492145777778,0.0001317967921284177,4.743880358335472e-05,0.0011861711291557592,0.00026848694748638787,0.0005369738949727757,0.001043653678833804,0.001043653678833804,0.0003368492145777778,0.0001317967921284177,4.743880358335472e-05,0.0007907911490849899,0.00026848694748638787,0.0005369738949727757,0.001043653678833804,0.001043653678833804,0.0003368492145777778,0.0001317967921284177,4.743880358335472e-05,0.0007907911490849899,0.00026848694748638787,0.0005369738949727757,0.001043653678833804,0.001043653678833804,0.0001684246072888889,4.038117323542159e-05,1.4534758122790533e-05,,0.0001684246072888889,4.038117323542159e-05,1.4534758122790533e-05,,0.0001684246072888889,9.25337820568104e-05,3.330651546646262e-05,0.0008328040385112936,0.00018850316368282906,0.00018850316368282906,0.0003770063273656581,0.00180212465664,0.0007327433402621777
-> Demix [PetaFLOP/s],0.01967973647928889,,,,,,,,0.01967973647928889,,,,,,,,0.01967973647928889,,,,,,,,0.009839868239644445,,,,0.009839868239644445,,,,0.009839868239644445,,,,,,,,
-> Average [PetaFLOP/s],9.69350257777778e-06,,,,,,,,9.69350257777778e-06,,,,,,,,9.69350257777778e-06,,,,,,,,4.84675128888889e-06,,,,4.84675128888889e-06,,,,4.84675128888889e-06,,,,,,,,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.237805973644753e-07,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.0022677163257648902,5.145363906496709e-05,0.020409446931493234,0.0017494679695052705,0.005168749195287386,0.014493765962846046,,,0.0022677163257648902,5.145363906496709e-05,0.009171420351193595,0.0017494679695052705,0.005168749195287386,0.014493765962846046,,,0.0022677163257648902,5.145363906496709e-05,0.009171420351193595,0.0017494679695052705,0.005168749195287386,0.014493765962846046,,,0.0006092900118847484,1.078454565910534e-05,,,0.0006092900118847484,1.078454565910534e-05,,,0.0014279870906727043,3.397297577304351e-05,0.012851883817104259,0.0010775634563085677,0.0011075700554845445,0.003068304202211113,0.09582262152501872,
-> FFT [PetaFLOP/s],,0.0006383674062559391,0.0013011890660741953,0.005745306656460628,0.0016112749492052868,0.007531280000807509,0.027875794724502946,,,0.0006383674062559391,0.0013011890660741953,0.002270941089831739,0.0016112749492052868,0.007531280000807509,0.027875794724502946,,,0.0006383674062559391,0.0013011890660741953,0.002270941089831739,0.0016112749492052868,0.007531280000807509,0.027875794724502946,,,0.0001394954792077486,0.0006577268470011605,,,0.0001394954792077486,0.0006577268470011605,,,0.00034433397157905836,0.0006515938590251021,0.003099005743787685,0.001293888737674393,0.00018567886746461516,0.004051743569081484,0.49467779025090375,
-> IFFT [PetaFLOP/s],,0.003191837031279696,0.0013011890660741953,0.028726533282303134,0.0016112749492052868,0.003012512000323004,0.0037167726299337264,,,0.003191837031279696,0.0013011890660741953,0.011354705449158693,0.0016112749492052868,0.003012512000323004,0.0037167726299337264,,,0.003191837031279696,0.0013011890660741953,0.011354705449158693,0.0016112749492052868,0.003012512000323004,0.0037167726299337264,,,0.000697477396038743,0.0006577268470011605,,,0.000697477396038743,0.0006577268470011605,,,0.0017216698578952918,0.0006515938590251021,0.015495028718938424,0.001293888737674393,0.0009283943373230758,0.0016206974276325938,0.001509636811068432,
-> Solve [PetaFLOP/s],,1.895851199776598e-05,,0.0024199471920340453,,,,,,1.895851199776598e-05,,0.0016137562330685573,,,,,,1.895851199776598e-05,,0.0016137562330685573,,,,,,5.820872797623167e-06,,,,5.820872797623167e-06,,,,1.3297949331155614e-05,,0.0016990180007879186,,,,,
-> Degrid [PetaFLOP/s],,0.0005949373775160141,4.152056657007522e-05,0.005354436397563372,0.002209135186265026,0.0012601081037490317,0.004458747569197793,,,0.0005949373775160141,4.152056657007522e-05,0.0024177592692663633,0.002209135186265026,0.0012601081037490317,0.004458747569197793,,,0.0005949373775160141,4.152056657007522e-05,0.0024177592692663633,0.002209135186265026,0.0012601081037490317,0.004458747569197793,,,0.0001648627627995623,8.937900049624678e-06,,,0.0001648627627995623,8.937900049624678e-06,,,0.0003834943292480265,2.7728155309638457e-05,0.0034514489634538065,0.0014487525800689432,0.00028556298517420003,0.0007696537840502916,0.04899637336949818,
-> Reprojection [PetaFLOP/s],,9.420144261757161e-05,,0.0008478129835581445,0.00035535523621168987,0.0017767761810584494,0.005330328543175349,,,9.420144261757161e-05,,0.00037680577047028644,0.00035535523621168987,0.0017767761810584494,0.005330328543175349,,,9.420144261757161e-05,,0.00037680577047028644,0.00035535523621168987,0.0017767761810584494,0.005330328543175349,,,4.7590626097866115e-05,,,,4.7590626097866115e-05,,,,4.716937744850901e-05,,0.000424524397036581,0.00017793660903072666,4.448415225768167e-06,0.0008896830451536333,0.08098092784331737,
-> Identify Component [PetaFLOP/s],,,,0.005373097157049079,0.00016442012847462086,0.009261587886350975,0.02778476365905292,,,,,0.003022158632021813,0.00016442012847462086,0.009261587886350975,0.02778476365905292,,,,,0.003022158632021813,0.00016442012847462086,0.009261587886350975,0.02778476365905292,,,,,,,,,,,,,0.0031343081767983526,5.402618113377988e-05,9.591199340692802e-05,0.003859012938127134,0.05714572680552755,
-> Reprojection Predict [PetaFLOP/s],,0.000471007213087858,,0.004239064917790722,0.00035535523621168987,0.0007107104724233797,0.0007107104724233797,,,0.000471007213087858,,0.001884028852351432,0.00035535523621168987,0.0007107104724233797,0.0007107104724233797,,,0.000471007213087858,,0.001884028852351432,0.00035535523621168987,0.0007107104724233797,0.0007107104724233797,,,0.0002379531304893306,,,,0.0002379531304893306,,,,0.000235846887242545,,0.002122621985182905,0.00017793660903072666,4.448415225768167e-06,0.0003558732180614533,0.0002471341792093426,
-> Gridding Kernel Update [PetaFLOP/s],,0.0022677163257648902,5.145363906496709e-05,0.020409446931493234,0.0017494679695052705,0.005168749195287386,0.014493765962846046,,,0.0022677163257648902,5.145363906496709e-05,0.009171420351193595,0.0017494679695052705,0.005168749195287386,0.014493765962846046,,,0.0022677163257648902,5.145363906496709e-05,0.009171420351193595,0.0017494679695052705,0.005168749195287386,0.014493765962846046,,,0.0006092900118847484,1.078454565910534e-05,,,0.0006092900118847484,1.078454565910534e-05,,,0.0014279870906727043,3.397297577304351e-05,0.012851883817104259,0.0010775634563085677,0.0011075700554845445,0.003068304202211113,0.09582262152501872,
-> Phase Rotation Predict [PetaFLOP/s],,0.0008465227652119158,0.0,0.007618704886907241,0.0021555941303566624,0.000485008679330249,0.0009426549357208552,,,0.0008465227652119158,0.0,0.0028570518934683507,0.0021555941303566624,0.000485008679330249,0.0009426549357208552,,,0.0008465227652119158,0.0,0.0028570518934683507,0.0021555941303566624,0.000485008679330249,0.0009426549357208552,,,0.0002593658151895179,0.0,,,0.0002593658151895179,0.0,,,0.0005943388438917715,0.0,0.005349049595025943,0.0008513046101805183,0.0003026860836197398,0.0003405218440722073,0.0,
-> Correct [PetaFLOP/s],,0.0004534943385063835,4.080757297492879e-05,0.004081449046557451,0.000923826055867141,0.001847652111734282,0.003591066421793734,0.003591066421793734,,0.0004534943385063835,4.080757297492879e-05,0.0027210018033031903,0.000923826055867141,0.001847652111734282,0.003591066421793734,0.003591066421793734,,0.0004534943385063835,4.080757297492879e-05,0.0027210018033031903,0.000923826055867141,0.001847652111734282,0.003591066421793734,0.003591066421793734,,0.00013894597242295603,1.2503017740034868e-05,,,0.00013894597242295603,1.2503017740034868e-05,,,0.00031839580922773475,2.865076599265602e-05,0.0028655622830496127,0.0006486130363280139,0.0006486130363280139,0.0012972260726560277,0.0062008590336,0.0025212674073537295
-> Grid [PetaFLOP/s],,0.0005949373775160141,4.152056657007522e-05,0.005354436397563372,0.002209135186265026,0.0012601081037490317,0.004458747569197793,,,0.0005949373775160141,4.152056657007522e-05,0.0024177592692663633,0.002209135186265026,0.0012601081037490317,0.004458747569197793,,,0.0005949373775160141,4.152056657007522e-05,0.0024177592692663633,0.002209135186265026,0.0012601081037490317,0.004458747569197793,,,0.0001648627627995623,8.937900049624678e-06,,,0.0001648627627995623,8.937900049624678e-06,,,0.0003834943292480265,2.7728155309638457e-05,0.0034514489634538065,0.0014487525800689432,0.00028556298517420003,0.0007696537840502916,0.04899637336949818,
-> Phase Rotation [PetaFLOP/s],,0.0008465227652119158,0.0,0.007618704886907241,0.00043111882607133246,0.000485008679330249,0.0009426549357208552,,,0.0008465227652119158,0.0,0.0028570518934683507,0.00043111882607133246,0.000485008679330249,0.0009426549357208552,,,0.0008465227652119158,0.0,0.0028570518934683507,0.00043111882607133246,0.000485008679330249,0.0009426549357208552,,,0.0002593658151895179,0.0,,,0.0002593658151895179,0.0,,,0.0005943388438917715,0.0,0.005349049595025943,0.00017026092203610365,0.0003026860836197398,0.0003405218440722073,0.0,
-> Subtract Visibility [PetaFLOP/s],,9.447798718882989e-07,3.4006310812440663e-07,8.503018846994689e-06,1.9246376163898772e-06,3.8492752327797545e-06,7.481388378736945e-06,,,9.447798718882989e-07,3.4006310812440663e-07,5.668753756881647e-06,1.9246376163898772e-06,3.8492752327797545e-06,7.481388378736945e-06,,,9.447798718882989e-07,3.4006310812440663e-07,5.668753756881647e-06,1.9246376163898772e-06,3.8492752327797545e-06,7.481388378736945e-06,,,2.8947077588115833e-07,1.0419181450029056e-07,,,2.8947077588115833e-07,1.0419181450029056e-07,,,6.633246025577807e-07,2.387563832721335e-07,5.969921423020026e-06,1.3512771590166956e-06,1.3512771590166956e-06,2.702554318033391e-06,1.2918456320000003e-05,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> DFT [PetaFLOP/s],,0.008706191508968385,0.006267395469695493,0.07835572358071545,0.035471254568886036,0.035471254568886036,0.06894135016665043,,,0.008706191508968385,0.006267395469695493,0.052237835810319475,0.035471254568886036,0.035471254568886036,0.06894135016665043,,,0.008706191508968385,0.006267395469695493,0.052237835810319475,0.035471254568886036,0.035471254568886036,0.06894135016665043,,,0.0026674869840675355,0.0019202650642703074,,,0.0026674869840675355,0.0019202650642703074,,,0.006112567799455785,0.004400302882408589,0.05501311019510206,0.02490416673374047,0.02490416673374047,0.02490416673374047,0.11904419015338667,
-> Visibility Weighting [PetaFLOP/s],,2.2661611955926105e-06,6.264797344840696e-07,2.0395450760333492e-05,1.933197005887102e-06,3.767832343410819e-06,1.4899243930137285e-05,,,2.2661611955926105e-06,6.264797344840696e-07,9.922465539321581e-06,1.933197005887102e-06,3.767832343410819e-06,1.4899243930137285e-05,,,2.2661611955926105e-06,6.264797344840696e-07,9.922465539321581e-06,1.933197005887102e-06,3.767832343410819e-06,1.4899243930137285e-05,,,6.943273823355204e-07,1.9194684933829458e-07,,,6.943273823355204e-07,1.9194684933829458e-07,,,1.591058644583124e-06,4.398478581749785e-07,1.4319527801248116e-05,1.215400522269982e-06,1.3572862740369644e-06,2.523237737799424e-06,2.6922647751262324e-05,
-> Receive [Tera/s],0.014540253866666668,,,,,,,,0.014540253866666668,,,,,,,,0.014540253866666668,,,,,,,,0.007270126933333334,,,,0.007270126933333334,,,,0.007270126933333334,,,,,,,,
-> Flag [Tera/s],0.014540253866666668,0.005668679231329793,0.0020403786487464396,0.05101811308196814,0.011547825698339263,0.023095651396678525,0.044888330272421666,0.044888330272421666,0.014540253866666668,0.005668679231329793,0.0020403786487464396,0.03401252254128989,0.011547825698339263,0.023095651396678525,0.044888330272421666,0.044888330272421666,0.014540253866666668,0.005668679231329793,0.0020403786487464396,0.03401252254128989,0.011547825698339263,0.023095651396678525,0.044888330272421666,0.044888330272421666,0.007270126933333334,0.0017368246552869498,0.0006251508870017433,,0.007270126933333334,0.0017368246552869498,0.0006251508870017433,,0.007270126933333334,0.0039799476153466835,0.0014325382996328011,0.03581952853812015,0.008107662954100175,0.008107662954100175,0.01621532590820035,0.07751073792,0.031515842591921625
-> Demix [Tera/s],0.014540253866666668,,,,,,,,0.014540253866666668,,,,,,,,0.014540253866666668,,,,,,,,0.007270126933333334,,,,0.007270126933333334,,,,0.007270126933333334,,,,,,,,
-> Average [Tera/s],0.014092861440000002,,,,,,,,0.014092861440000002,,,,,,,,0.014092861440000002,,,,,,,,0.007046430720000001,,,,0.007046430720000001,,,,0.007046430720000001,,,,,,,,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3729676622741255e-05,,,
-> Degridding Kernel Update [Tera/s],,20.403320995680502,0.2645579676257006,183.62988895028272,13.190807101614942,77.40295389314811,103.56100741140827,,,20.403320995680502,0.2645579676257006,71.47529919095243,13.190807101614942,77.40295389314811,103.56100741140827,,,20.403320995680502,0.2645579676257006,71.47529919095243,13.190807101614942,77.40295389314811,103.56100741140827,,,2.903660311418552,0.006749365445814468,,,2.903660311418552,0.006749365445814468,,,9.790577139480359,0.14596050920688,88.11519428000739,7.153630750812673,5.823453214642168,37.73199556807935,950.780745429564,
-> FFT [Tera/s],,0.015072230818811459,0.155064103074192,0.13565007736930312,0.05685683779387038,0.2842841889693519,0.8528525669080557,,,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.8528525669080557,,,0.015072230818811459,0.155064103074192,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.8528525669080557,,,0.007614500175658578,0.07833847917344214,,,0.007614500175658578,0.07833847917344214,,,0.00754710039176144,0.0776450657588625,0.06792390352585298,0.028469857444916265,0.005693971488983252,0.14234928722458132,12.95694845493078,
-> IFFT [Tera/s],,0.07538144134086143,0.1550922798058644,0.6784329720677529,0.056877500730430165,0.11374466999258043,0.11374466999258043,,,0.07538144134086143,0.1550922798058644,0.3015359089868478,0.056877500730430165,0.11374466999258043,0.11374466999258043,,,0.07538144134086143,0.1550922798058644,0.3015359089868478,0.056877500730430165,0.11374466999258043,0.11374466999258043,,,0.03808269711824028,0.07835264061781354,,,0.03808269711824028,0.07835264061781354,,,0.0377456529724191,0.07765916438887902,0.33971087675177186,0.028477611691425354,0.028480196440261715,0.05695522338285071,0.03954577658822209,
-> Solve [Tera/s],,3.2768e-08,,6.826666666666667e-07,,,,,,3.2768e-08,,6.826666666666667e-07,,,,,,3.2768e-08,,6.826666666666667e-07,,,,,,1.6384e-08,,,,1.6384e-08,,,,1.6384e-08,,4.724053333333334e-07,,,,,
-> Degrid [Tera/s],,0.0016996208966944578,0.0004698598008630522,0.01529658807025012,0.00724948877207663,0.002825874257558114,0.011174432947602965,,,0.0016996208966944578,0.0004698598008630522,0.007441849154491185,0.00724948877207663,0.002825874257558114,0.011174432947602965,,,0.0016996208966944578,0.0004698598008630522,0.007441849154491185,0.00724948877207663,0.002825874257558114,0.011174432947602965,,,0.0005207455367516403,0.00014396013700372095,,,0.0005207455367516403,0.00014396013700372095,,,0.0011932939834373428,0.0003298858936312339,0.010739645850936086,0.004557751958512433,0.0010179647055277234,0.0018924283033495682,0.020191985813446743,
-> Reprojection [Tera/s],,0.015072230818811459,,0.13565007736930312,0.05685683779387038,0.2842841889693519,0.8528525669080557,,,0.015072230818811459,,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.8528525669080557,,,0.015072230818811459,,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.8528525669080557,,,0.007614500175658578,,,,0.007614500175658578,,,,0.00754710039176144,,0.06792390352585298,0.028469857444916265,0.0007117464361229065,0.14234928722458132,12.95694845493078,
-> Identify Component [Tera/s],,,,5.12e-08,1.5644444444444443e-09,8.8e-08,2.64e-07,,,,,2.88e-08,1.5644444444444443e-09,8.8e-08,2.64e-07,,,,,2.88e-08,1.5644444444444443e-09,8.8e-08,2.64e-07,,,,,,,,,,,,,2.986666666666667e-08,5.133333333333332e-10,9.125925925925925e-10,3.6666666666666664e-08,5.33997037037037e-07,
-> Reprojection Predict [Tera/s],,0.0753611540940573,,0.6782503868465156,0.05685683779387038,0.11371367558774076,0.11371367558774076,,,0.0753611540940573,,0.3014446163762291,0.05685683779387038,0.11371367558774076,0.11371367558774076,,,0.0753611540940573,,0.3014446163762291,0.05685683779387038,0.11371367558774076,0.11371367558774076,,,0.038072500878292885,,,,0.038072500878292885,,,,0.037735501958807205,,0.33961951762926484,0.028469857444916265,0.0007117464361229065,0.05693971488983253,0.03954146867349481,
-> Gridding Kernel Update [Tera/s],,20.403320995680502,0.2645579676257006,183.62988895028272,13.190807101614942,77.40295389314811,103.56100741140827,,,20.403320995680502,0.2645579676257006,71.47529919095243,13.190807101614942,77.40295389314811,103.56100741140827,,,20.403320995680502,0.2645579676257006,71.47529919095243,13.190807101614942,77.40295389314811,103.56100741140827,,,2.903660311418552,0.006749365445814468,,,2.903660311418552,0.006749365445814468,,,9.790577139480359,0.14596050920688,88.11519428000739,7.153630750812673,5.823453214642168,37.73199556807935,950.780745429564,
-> Phase Rotation Predict [Tera/s],,0.3627954708051068,0.0,3.2651592372459612,0.923826055867141,0.20786086257010672,0.40399497245179505,,,0.3627954708051068,0.0,1.2244508114864359,0.923826055867141,0.20786086257010672,0.40399497245179505,,,0.3627954708051068,0.0,1.2244508114864359,0.923826055867141,0.20786086257010672,0.40399497245179505,,,0.11115677793836483,0.0,,,0.11115677793836483,0.0,,,0.25471664738218774,0.0,2.2924498264396895,0.3648448329345078,0.12972260726560278,0.14593793317380313,0.0,
