,hpso01 (Ingest) [Na=64] [Bmax=32500.0],hpso01 (RCAL) [Na=64] [Bmax=32500.0],hpso01 (FastImg) [Na=64] [Bmax=32500.0],hpso01 (ICAL) [Na=64] [Bmax=32500.0],hpso01 (DPrepA) [Na=64] [Bmax=32500.0],hpso01 (DPrepB) [Na=64] [Bmax=32500.0],hpso01 (DPrepC) [Na=64] [Bmax=32500.0],hpso01 (DPrepD) [Na=64] [Bmax=32500.0],hpso02a (Ingest) [Na=64] [Bmax=32500.0],hpso02a (RCAL) [Na=64] [Bmax=32500.0],hpso02a (FastImg) [Na=64] [Bmax=32500.0],hpso02a (ICAL) [Na=64] [Bmax=32500.0],hpso02a (DPrepA) [Na=64] [Bmax=32500.0],hpso02a (DPrepB) [Na=64] [Bmax=32500.0],hpso02a (DPrepC) [Na=64] [Bmax=32500.0],hpso02a (DPrepD) [Na=64] [Bmax=32500.0],hpso02b (Ingest) [Na=64] [Bmax=32500.0],hpso02b (RCAL) [Na=64] [Bmax=32500.0],hpso02b (FastImg) [Na=64] [Bmax=32500.0],hpso02b (ICAL) [Na=64] [Bmax=32500.0],hpso02b (DPrepA) [Na=64] [Bmax=32500.0],hpso02b (DPrepB) [Na=64] [Bmax=32500.0],hpso02b (DPrepC) [Na=64] [Bmax=32500.0],hpso02b (DPrepD) [Na=64] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (PSS) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (PST) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (ICAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepA) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepB) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepC) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepD) [Nf_max=32768] [Na=64] [Bmax=32500.0]
Frequencies predict de-grid1,32768.0,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,32768.0,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,32768.0,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,32768.0,485.0159097761033,1453.9394929925988,,32768.0,485.0159097761033,1453.9394929925988,,32768.0,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,1714.625960512763,32768.0,
Frequencies predict de-grid2,32768.0,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,32768.0,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,32768.0,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,32768.0,969.6083556181683,2907.4553987723175,,32768.0,969.6083556181683,2907.4553987723175,,32768.0,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,
Frequencies predict de-grid3,32768.0,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,32768.0,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,32768.0,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,32768.0,1938.7931548514175,5814.487179478897,,32768.0,1938.7931548514175,5814.487179478897,,32768.0,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,
Frequencies total0,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,(undefined),32768.0,8076.963378093996,5814.487179478897,(undefined),32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total1,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total2,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies backward kernels0,(undefined),214.44261309807425,364.52288461678205,214.44261309807425,199.05237204583554,301.77617802639844,571.7575198912311,(undefined),(undefined),214.44261309807425,364.52288461678205,214.44261309807425,199.05237204583554,301.77617802639844,571.7575198912311,(undefined),(undefined),214.44261309807425,364.52288461678205,214.44261309807425,199.05237204583554,301.77617802639844,571.7575198912311,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),311.2014335368844,511.6591552951528,311.20143353842184,339.44634647980524,341.9895004405989,395.1674183016864,841.0439984309672,(undefined)
Frequencies backward kernels1,,224.13006449616088,365.0584953999703,224.1300644964088,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,365.0584953999703,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,365.0584953999703,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,133.46572489358715,222.83688638800666,,,133.46572489358715,222.83688638800666,,,311.2014335368844,512.317136997464,311.20143353842184,339.44634647980524,341.9895004405989,395.1674183016864,1237.7927625562772,
Frequencies backward kernels2,,224.13006449616088,369.3268941633874,224.1300644964088,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,369.3268941633874,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,369.3268941633874,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,137.63917806301498,223.45734073105942,,,137.63917806301498,223.45734073105942,,,311.2014335368844,517.5643890331957,311.20143353842184,339.44634647980524,341.9895004405989,395.1674183016864,1335.3731441448906,
Frequencies backward kernels3,,224.13006449616088,402.0117764676013,224.1300644964088,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,402.0117764676013,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,402.0117764676013,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,137.63917806301498,228.37651899443185,,,137.63917806301498,228.37651899443185,,,311.2014335368844,557.9663399653687,311.20143353842184,339.44634647980524,341.9895004405989,395.1674183016864,1335.3731441448906,
Frequencies backward grid0,32768.0,330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1500.0,(undefined),32768.0,330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1500.0,(undefined),32768.0,330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1500.0,(undefined),32768.0,242.71959454507825,727.1815092638062,(undefined),32768.0,242.71959454507825,727.1815092638062,(undefined),32768.0,556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
Frequencies backward grid1,32768.0,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,32768.0,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,32768.0,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,32768.0,485.0159097761033,1453.9394929925988,,32768.0,485.0159097761033,1453.9394929925988,,32768.0,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,1714.625960512763,32768.0,
Frequencies backward grid2,32768.0,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,32768.0,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,32768.0,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,32768.0,969.6083556181683,2907.4553987723175,,32768.0,969.6083556181683,2907.4553987723175,,32768.0,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,
Frequencies backward grid3,32768.0,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,32768.0,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,32768.0,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,32768.0,1938.7931548514175,5814.487179478897,,32768.0,1938.7931548514175,5814.487179478897,,32768.0,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],44.824670087270384,44.824670087270384,70.40141686967864,44.824670087270384,44.824670087270384,44.824670087270384,70.40141686967864,70.40141686967864,44.824670087270384,44.824670087270384,70.40141686967864,44.824670087270384,44.824670087270384,44.824670087270384,70.40141686967864,70.40141686967864,44.824670087270384,44.824670087270384,70.40141686967864,44.824670087270384,44.824670087270384,44.824670087270384,70.40141686967864,70.40141686967864,44.94077596964443,44.94077596964443,70.40141686967864,(undefined),44.94077596964443,44.94077596964443,70.40141686967864,(undefined),44.840995782230536,44.840995782230536,70.40141686967864,44.840995782230536,44.840995782230536,44.840995782230536,44.840995782230536,70.40141686967864,70.40141686967864
Averaged rate0 [M/s],21.63818425541351,8.70392087481294,9.841075385540599,8.70392087481294,3.223962571110134,3.223962571110134,9.841075385540599,9.841075385540599,21.63818425541351,8.70392087481294,9.841075385540599,5.802766481950986,3.223962571110134,3.223962571110134,9.841075385540599,9.841075385540599,21.63818425541351,8.70392087481294,9.841075385540599,5.802766481950986,3.223962571110134,3.223962571110134,9.841075385540599,9.841075385540599,21.694231973579768,5.347397374465319,6.030406591070339,(undefined),21.694231973579768,5.347397374465319,6.030406591070339,(undefined),21.646065147675685,12.226398466229927,13.818726460965188,12.226398466229927,4.528700377558797,4.528700377558797,4.528700377558797,33.98483083316429,16.992415416582144
Averaged rate1 [M/s],6.107090911813407,2.456566384881137,2.7775131841050626,2.456566384881137,0.9099207348290983,0.9099207348290983,2.7775131841050626,2.7775131841050626,6.107090911813407,2.456566384881137,2.7775131841050626,1.6377539828200847,0.9099207348290983,0.9099207348290983,2.7775131841050626,2.7775131841050626,6.107090911813407,2.456566384881137,2.7775131841050626,1.6377539828200847,0.9099207348290983,0.9099207348290983,2.7775131841050626,2.7775131841050626,6.122909637922803,1.5092320835229873,1.7020023885623181,,6.122909637922803,1.5092320835229873,1.7020023885623181,,6.109315189273254,3.450739030408319,3.90015251679366,3.450739030408319,1.2781656996564263,1.2781656996564263,1.2781656996564263,9.591768379031551,4.7958841895157756
Averaged rate2 [M/s],6.908981611414902,2.7791254830565593,3.142214155896071,2.7791254830565593,1.029397746907399,1.029397746907399,3.142214155896071,3.142214155896071,6.908981611414902,2.7791254830565593,3.142214155896071,1.85279903553386,1.029397746907399,1.029397746907399,3.142214155896071,3.142214155896071,6.908981611414902,2.7791254830565593,3.142214155896071,1.85279903553386,1.029397746907399,1.029397746907399,3.142214155896071,3.142214155896071,6.926877413095931,1.7074015866126189,1.9254835690123384,,6.926877413095931,1.7074015866126189,1.9254835690123384,,6.911497947308811,3.903837825758437,4.4122614857619205,3.903837825758437,1.44599506422696,1.44599506422696,1.44599506422696,10.851214155579394,5.425607077789697
Averaged rate3 [M/s],8.686791865534413,3.4942464747088975,3.9507646574290316,3.4942464747088975,1.294281049968429,1.294281049968429,3.9507646574290316,3.9507646574290316,8.686791865534413,3.4942464747088975,3.9507646574290316,2.3295588981962054,1.294281049968429,1.294281049968429,3.9507646574290316,3.9507646574290316,8.686791865534413,3.4942464747088975,3.9507646574290316,2.3295588981962054,1.294281049968429,1.294281049968429,3.9507646574290316,3.9507646574290316,8.709292591866227,2.1467479648928482,2.420946522260486,,8.709292591866227,2.1467479648928482,2.420946522260486,,8.689955701741193,4.908368349560433,5.547618931247684,4.908368349560433,1.8180766526830092,1.8180766526830092,1.8180766526830092,13.643434613014527,6.821717306507264
Predict rate0 [M/s],(undefined),0.030821296139593227,1.1076869803952336,0.030821296139593227,0.022847336225509465,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.030821296139593227,1.1076869803952336,0.030821296139593227,0.022847336225509465,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.030821296139593227,1.1076869803952336,0.030821296139593227,0.022847336225509465,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.022655962904229245,0.6787666784546506,(undefined),(undefined),0.022655962904229245,0.6787666784546506,(undefined),(undefined),0.05191651891917048,1.5554012076946693,0.05191651891917048,0.08006879906847647,0.08006879906847647,0.08006879906847647,3.0586347749847858,(undefined)
Predict rate1 [M/s],,0.017379563713744932,0.6250774047811198,0.017379563713744932,0.012878481253625888,0.032168830250007066,0.08681630621959997,,,0.017379563713744932,0.6250774047811198,0.017379563713744932,0.012878481253625888,0.032168830250007066,0.08681630621959997,,,0.017379563713744932,0.6250774047811198,0.017379563713744932,0.012878481253625888,0.032168830250007066,0.08681630621959997,,,0.0127775397950619,0.38303423365846007,,,0.0127775397950619,0.38303423365846007,,,0.029279889999040735,0.8777265335737028,0.029279889999040735,0.04517109851965829,0.04517109851965829,0.04517109851965829,1.1989710473789439,
Predict rate2 [M/s],,0.03930252215381535,1.414099654533233,0.03930252215381535,0.02911833304649972,0.10295438730476913,0.39280545959256474,,,0.03930252215381535,1.414099654533233,0.03930252215381535,0.02911833304649972,0.10295438730476913,0.39280545959256474,,,0.03930252215381535,1.414099654533233,0.03930252215381535,0.02911833304649972,0.10295438730476913,0.39280545959256474,,,0.02889796485127787,0.8665307330897983,,,0.02889796485127787,0.8665307330897983,,,0.0662199785248396,1.9856626465545115,0.0662199785248396,0.14462002529116166,0.14462002529116166,0.14462002529116166,2.7128035388948484,
Predict rate3 [M/s],,0.13979925641107002,3.5556881916861283,0.13979925641107002,0.08630377560975559,0.6471405249842145,1.9753823287145158,,,0.13979925641107002,3.5556881916861283,0.13979925641107002,0.08630377560975559,0.6471405249842145,1.9753823287145158,,,0.13979925641107002,3.5556881916861283,0.13979925641107002,0.08630377560975559,0.6471405249842145,1.9753823287145158,,,0.12882626999441835,2.178851870034437,,,0.12882626999441835,2.178851870034437,,,0.2945511211315023,4.992857038122916,0.2945511211315023,0.9090383263415046,0.9090383263415046,0.9090383263415046,6.821717306507264,
Backward rate0 [M/s],(undefined),0.030821296139593227,1.1076869803952336,0.030821296139593227,0.022847336225509465,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.030821296139593227,1.1076869803952336,0.030821296139593227,0.022847336225509465,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.030821296139593227,1.1076869803952336,0.030821296139593227,0.022847336225509465,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.022655962904229245,0.6787666784546506,(undefined),(undefined),0.022655962904229245,0.6787666784546506,(undefined),(undefined),0.05191651891917048,1.5554012076946693,0.05191651891917048,0.08006879906847647,0.08006879906847647,0.08006879906847647,3.0586347749847858,(undefined)
Backward rate1 [M/s],,0.017379563713744932,0.6250774047811198,0.017379563713744932,0.012878481253625888,0.032168830250007066,0.08681630621959997,,,0.017379563713744932,0.6250774047811198,0.017379563713744932,0.012878481253625888,0.032168830250007066,0.08681630621959997,,,0.017379563713744932,0.6250774047811198,0.017379563713744932,0.012878481253625888,0.032168830250007066,0.08681630621959997,,,0.0127775397950619,0.38303423365846007,,,0.0127775397950619,0.38303423365846007,,,0.029279889999040735,0.8777265335737028,0.029279889999040735,0.04517109851965829,0.04517109851965829,0.04517109851965829,1.1989710473789439,
Backward rate2 [M/s],,0.03930252215381535,1.414099654533233,0.03930252215381535,0.02911833304649972,0.10295438730476913,0.39280545959256474,,,0.03930252215381535,1.414099654533233,0.03930252215381535,0.02911833304649972,0.10295438730476913,0.39280545959256474,,,0.03930252215381535,1.414099654533233,0.03930252215381535,0.02911833304649972,0.10295438730476913,0.39280545959256474,,,0.02889796485127787,0.8665307330897983,,,0.02889796485127787,0.8665307330897983,,,0.0662199785248396,1.9856626465545115,0.0662199785248396,0.14462002529116166,0.14462002529116166,0.14462002529116166,2.7128035388948484,
Backward rate3 [M/s],,0.13979925641107002,3.5556881916861283,0.13979925641107002,0.08630377560975559,0.6471405249842145,1.9753823287145158,,,0.13979925641107002,3.5556881916861283,0.13979925641107002,0.08630377560975559,0.6471405249842145,1.9753823287145158,,,0.13979925641107002,3.5556881916861283,0.13979925641107002,0.08630377560975559,0.6471405249842145,1.9753823287145158,,,0.12882626999441835,2.178851870034437,,,0.12882626999441835,2.178851870034437,,,0.2945511211315023,4.992857038122916,0.2945511211315023,0.9090383263415046,0.9090383263415046,0.9090383263415046,6.821717306507264,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
