,hpso01 (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso04a (Ingest) [Na=512] [Bmax=8125.0],hpso04a (RCAL) [Na=512] [Bmax=8125.0],hpso04a (FastImg) [Na=512] [Bmax=8125.0],hpso04a (PSS) [Na=512] [Bmax=8125.0],hpso05a (Ingest) [Na=512] [Bmax=8125.0],hpso05a (RCAL) [Na=512] [Bmax=8125.0],hpso05a (FastImg) [Na=512] [Bmax=8125.0],hpso05a (PST) [Na=512] [Bmax=8125.0],max_low (Ingest) [Na=512] [Bmax=8125.0],max_low (RCAL) [Na=512] [Bmax=8125.0],max_low (FastImg) [Na=512] [Bmax=8125.0],max_low (ICAL) [Na=512] [Bmax=8125.0],max_low (DPrepA) [Na=512] [Bmax=8125.0],max_low (DPrepA_Image) [Na=512] [Bmax=8125.0],max_low (DPrepB) [Na=512] [Bmax=8125.0],max_low (DPrepC) [Na=512] [Bmax=8125.0],max_low (DPrepD) [Na=512] [Bmax=8125.0]
-> Solve [PetaFLOP/s],,1.8512648994298062e-05,,0.001938109075750152,,,,,,1.8512648994298062e-05,,0.0013201647121495795,,,,,,1.8512648994298062e-05,,0.0013201647121495795,,,,,,6.463156629644405e-06,,,,6.463156629644405e-06,,,,1.2187590396016733e-05,,0.0013603627002901418,,,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.0016301406395179613,0.000846322010295559,0.014671265755594451,0.002607232789289097,0.005325558391438571,0.014427777982945943,,,0.0016301406395179613,0.000846322010295559,0.009551077629756679,0.002607232789289097,0.005325558391438571,0.014427777982945943,,,0.0016301406395179613,0.000846322010295559,0.009551077629756679,0.002607232789289097,0.005325558391438571,0.014427777982945943,,,0.0006642812299457861,0.00025873171769823016,,,0.0006642812299457861,0.00025873171769823016,,,0.0015228561561979972,0.0005939934555323036,0.013705705405803865,0.0018208670781009561,0.0018211173280175265,0.003702113278653366,0.10962921948689466,
-> Phase Rotation [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Reprojection [PetaFLOP/s],,1.0221510700691364e-06,,9.19935963062223e-06,3.855851087366427e-06,1.9279255436832134e-05,5.7837766310496404e-05,,,1.0221510700691364e-06,,4.088604280276546e-06,3.855851087366427e-06,1.9279255436832134e-05,5.7837766310496404e-05,,,1.0221510700691364e-06,,4.088604280276546e-06,3.855851087366427e-06,1.9279255436832134e-05,5.7837766310496404e-05,,,5.163913422077487e-07,,,,5.163913422077487e-07,,,,5.118205018284398e-07,,4.606384516455958e-06,1.930735775072989e-06,4.826839437682472e-08,9.653678875364944e-06,0.0012653269975518339,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> Reprojection Predict [PetaFLOP/s],,5.110755350345682e-06,,4.599679815311114e-05,3.855851087366427e-06,7.711702174732854e-06,7.711702174732854e-06,,,5.110755350345682e-06,,2.0443021401382728e-05,3.855851087366427e-06,7.711702174732854e-06,7.711702174732854e-06,,,5.110755350345682e-06,,2.0443021401382728e-05,3.855851087366427e-06,7.711702174732854e-06,7.711702174732854e-06,,,2.5819567110387435e-06,,,,2.5819567110387435e-06,,,,2.5591025091421985e-06,,2.3031922582279788e-05,1.930735775072989e-06,4.826839437682472e-08,3.861471550145978e-06,3.861471550145978e-06,
-> DFT [Tera/s],,0.004345835146289419,0.008845044591030459,0.03911251631660478,0.008855791476934334,0.017711582953868668,0.06689198946422655,,,0.004345835146289419,0.008845044591030459,0.02607775239690519,0.008855791476934334,0.017711582953868668,0.06689198946422655,,,0.004345835146289419,0.008845044591030459,0.02607775239690519,0.008855791476934334,0.017711582953868668,0.06689198946422655,,,0.0013349672128933215,0.0027100282706480185,,,0.0013349672128933215,0.0027100282706480185,,,0.00305229734280502,0.006210055161815127,0.027470676085245175,0.006219864391718654,0.006219864391718654,0.012439728783437309,0.9241440065209683,
-> Subtract Visibility [Tera/s],,0.004345835146289419,0.008845044591030459,0.03911251631660478,0.008855791476934334,0.017711582953868668,0.06689198946422655,,,0.004345835146289419,0.008845044591030459,0.02607775239690519,0.008855791476934334,0.017711582953868668,0.06689198946422655,,,0.004345835146289419,0.008845044591030459,0.02607775239690519,0.008855791476934334,0.017711582953868668,0.06689198946422655,,,0.0013349672128933215,0.0027100282706480185,,,0.0013349672128933215,0.0027100282706480185,,,0.00305229734280502,0.006210055161815127,0.027470676085245175,0.006219864391718654,0.006219864391718654,0.012439728783437309,0.9241440065209683,
-> Flag [Tera/s],0.08698699435500427,0.004345835146289419,0.008845044591030459,0.03911251631660478,0.008855791476934334,0.017711582953868668,0.06689198946422655,0.230951886118942,0.08698699435500427,0.004345835146289419,0.008845044591030459,0.02607775239690519,0.008855791476934334,0.017711582953868668,0.06689198946422655,0.230951886118942,0.08698699435500427,0.004345835146289419,0.008845044591030459,0.02607775239690519,0.008855791476934334,0.017711582953868668,0.06689198946422655,0.230951886118942,0.04360615502545717,0.0013349672128933215,0.0027100282706480185,,0.04360615502545717,0.0013349672128933215,0.0027100282706480185,,0.04350933804295162,0.00305229734280502,0.006210055161815127,0.027470676085245182,0.006219864391718654,0.006219864391718654,0.012439728783437309,0.9241440065209683,0.23103600163024207
-> Degrid [Tera/s],,0.0019149438967023102,0.005396983471695949,0.01723449507032079,0.01527888430309587,0.006111553721238348,0.016955969450819126,,,0.0019149438967023102,0.005396983471695949,0.011491475510614716,0.01527888430309587,0.006111553721238348,0.016955969450819126,,,0.0019149438967023102,0.005396983471695949,0.011491475510614716,0.01527888430309587,0.006111553721238348,0.016955969450819126,,,0.0008145144859986037,0.0016535779537974844,,,0.0008145144859986037,0.0016535779537974844,,,0.0018623237473499956,0.0037891909357352788,0.01676091372614996,0.010727214694749037,0.0021454429389498072,0.0042908858778996145,0.31129378537146357,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.145261972303321e-07,,,
-> Visibility Weighting [Tera/s],,0.0006973640577385084,0.002982273508584653,0.006276276519646576,0.003280500859443118,0.006561001718886236,0.007599041883929184,,,0.0006973640577385084,0.002982273508584653,0.006276276519646576,0.003280500859443118,0.006561001718886236,0.007599041883929184,,,0.0006973640577385084,0.002982273508584653,0.006276276519646576,0.003280500859443118,0.006561001718886236,0.007599041883929184,,,0.0005288154525103354,0.0014911367542923264,,,0.0005288154525103354,0.0014911367542923264,,,0.0005276413449472065,0.0014911367542923264,0.0047487721045248584,0.001640250429721559,0.001640250429721559,0.003280500859443118,0.0037999729659602484,
-> Subtract Image Component [Tera/s],,,,7.666133025518524e-06,1.285283695788809e-06,0.0001285283695788809,0.0003855851087366427,,,,,3.4071702335637873e-06,1.285283695788809e-06,0.0001285283695788809,0.0003855851087366427,,,,,3.4071702335637873e-06,1.285283695788809e-06,0.0001285283695788809,0.0003855851087366427,,,,,,,,,,,,,4.478429390998848e-06,7.508416903061624e-07,7.508416903061624e-07,5.363154930758302e-05,0.0070295944308435224,
-> Demix [Tera/s],0.08698699435500427,,,,,,,,0.08698699435500427,,,,,,,,0.08698699435500427,,,,,,,,0.04360615502545717,,,,0.04360615502545717,,,,0.04350933804295162,,,,,,,,
-> FFT [Tera/s],,0.00016354417121106183,0.00242287661053425,0.0014718975408995565,0.0006169361739786283,0.0030846808698931417,0.009254042609679424,,,0.00016354417121106183,0.00242287661053425,0.0006541766848442472,0.0006169361739786283,0.0030846808698931417,0.009254042609679424,,,0.00016354417121106183,0.00242287661053425,0.0006541766848442472,0.0006169361739786283,0.0030846808698931417,0.009254042609679424,,,8.262261475323978e-05,0.0012240387370850334,,,8.262261475323978e-05,0.0012240387370850334,,,8.189128029255035e-05,0.0012132041524822266,0.0007370215226329533,0.0003089177240116782,6.178354480233564e-05,0.001544588620058391,0.20245231960829344,
-> Grid [Tera/s],,0.02022039411085764,0.2159127316934151,0.18198354699771874,0.02827979566385492,0.011311918265541968,0.023912916412135953,,,0.02022039411085764,0.2159127316934151,0.05393731650877814,0.02827979566385492,0.011311918265541968,0.023912916412135953,,,0.02022039411085764,0.2159127316934151,0.05393731650877814,0.02827979566385492,0.011311918265541968,0.023912916412135953,,,0.006259743826694925,0.06684093937497909,,,0.006259743826694925,0.06684093937497909,,,0.014217313283188879,0.1518118928515525,0.12795581954869992,0.019884008299019557,0.0039768016598039115,0.007953603319607823,0.4052575435910449,
-> Gridding Kernel Update [Tera/s],,1.333630124914644,0.0016843359782938601,12.002671123563234,0.5111514102391042,2.726040211263189,4.7320248540812475,,,1.333630124914644,0.0016843359782938601,3.694297789986816,0.5111514102391042,2.726040211263189,4.7320248540812475,,,1.333630124914644,0.0016843359782938601,3.694297789986816,0.5111514102391042,2.726040211263189,4.7320248540812475,,,0.26718881556032836,5.922775349597991e-05,,,0.26718881556032836,5.922775349597991e-05,,,0.6325638014969284,0.0009675461877376603,5.693074213609928,0.24387362181332828,0.24666488575028547,1.2991867264472459,5.100104778287795,
-> Correct [Tera/s],,0.004345835146289419,0.008845044591030459,0.03911251631660478,0.008855791476934334,0.017711582953868668,0.06689198946422655,0.230951886118942,,0.004345835146289419,0.008845044591030459,0.02607775239690519,0.008855791476934334,0.017711582953868668,0.06689198946422655,0.230951886118942,,0.004345835146289419,0.008845044591030459,0.02607775239690519,0.008855791476934334,0.017711582953868668,0.06689198946422655,0.230951886118942,,0.0013349672128933215,0.0027100282706480185,,,0.0013349672128933215,0.0027100282706480185,,,0.00305229734280502,0.006210055161815127,0.027470676085245182,0.006219864391718654,0.006219864391718654,0.012439728783437309,0.9241440065209683,0.23103600163024207
-> IFFT [Tera/s],,0.0008179850129147382,0.0024263987019933026,0.0073618651162326455,0.0006174742712848726,0.0012349485425697452,0.0012349485425697452,,,0.0008179850129147382,0.0024263987019933026,0.0032724683653778106,0.0006174742712848726,0.0012349485425697452,0.0012349485425697452,,,0.0008179850129147382,0.0024263987019933026,0.0032724683653778106,0.0006174742712848726,0.0012349485425697452,0.0012349485425697452,,,0.0004132458373071806,0.0012258089176314573,,,0.0004132458373071806,0.0012258089176314573,,,0.0004095885761191566,0.0012149664812342916,0.0036862971850724086,0.0003091869686821326,0.0003091869686821326,0.0006183739373642652,0.0006183739373642652,
-> Identify Component [Tera/s],,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,,,,,,,,,4.666666666666667e-10,5.703703703703703e-11,5.703703703703703e-11,4.074074074074074e-09,5.33997037037037e-07,
-> Average [Tera/s],0.08641728372085611,,,,,,,,0.08641728372085611,,,,,,,,0.08641728372085611,,,,,,,,0.043320561869646675,,,,0.043320561869646675,,,,0.04322437897807515,,,,,,,,
-> Phase Rotation Predict [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Receive [Tera/s],0.08698699435500427,,,,,,,,0.08698699435500427,,,,,,,,0.08698699435500427,,,,,,,,0.04360615502545717,,,,0.04360615502545717,,,,0.04350933804295162,,,,,,,,
-> Solve [Tera/s],,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07,,5.461333333333334e-06,,,,,,1.31072e-07,,,,1.31072e-07,,,,1.31072e-07,,3.779242666666667e-06,,,,,
-> Degridding Kernel Update [Tera/s],,1.333630124914644,0.0016843359782938601,12.002671123563234,0.5111514102391042,2.726040211263189,4.7320248540812475,,,1.333630124914644,0.0016843359782938601,3.694297789986816,0.5111514102391042,2.726040211263189,4.7320248540812475,,,1.333630124914644,0.0016843359782938601,3.694297789986816,0.5111514102391042,2.726040211263189,4.7320248540812475,,,0.26718881556032836,5.922775349597991e-05,,,0.26718881556032836,5.922775349597991e-05,,,0.6325638014969284,0.0009675461877376603,5.693074213609928,0.24387362181332828,0.24666488575028547,1.2991867264472459,5.100104778287795,
-> Phase Rotation [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Reprojection [Tera/s],,0.00016354417121106183,,0.0014718975408995565,0.0006169361739786283,0.0030846808698931417,0.009254042609679424,,,0.00016354417121106183,,0.0006541766848442472,0.0006169361739786283,0.0030846808698931417,0.009254042609679424,,,0.00016354417121106183,,0.0006541766848442472,0.0006169361739786283,0.0030846808698931417,0.009254042609679424,,,8.262261475323978e-05,,,,8.262261475323978e-05,,,,8.189128029255035e-05,,0.0007370215226329533,0.0003089177240116782,7.722943100291955e-06,0.001544588620058391,0.20245231960829344,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> Reprojection Predict [Tera/s],,0.0008177208560553092,,0.007359487704497783,0.0006169361739786283,0.0012338723479572565,0.0012338723479572565,,,0.0008177208560553092,,0.0032708834242212363,0.0006169361739786283,0.0012338723479572565,0.0012338723479572565,,,0.0008177208560553092,,0.0032708834242212363,0.0006169361739786283,0.0012338723479572565,0.0012338723479572565,,,0.0004131130737661989,,,,0.0004131130737661989,,,,0.0004094564014627518,,0.0036851076131647663,0.0003089177240116782,7.722943100291955e-06,0.0006178354480233564,0.0006178354480233564,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> DFT [Mvis/s],,45.269116107181446,184.27176231313456,45.269116107181446,16.772332342678663,16.772332342678663,63.344686992638785,,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,,,27.811816935277538,112.91784461033409,,,27.811816935277538,112.91784461033409,,,63.589527975104595,258.75229840896367,63.58952797510459,23.560092392873692,23.560092392873692,23.560092392873692,1750.272739623046,
-> Subtract Visibility [Mvis/s],,45.269116107181446,184.27176231313456,45.269116107181446,16.772332342678663,16.772332342678663,63.344686992638785,,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,,,27.811816935277538,112.91784461033409,,,27.811816935277538,112.91784461033409,,,63.589527975104595,258.75229840896367,63.58952797510459,23.560092392873692,23.560092392873692,23.560092392873692,1750.272739623046,
-> Flag [Mvis/s],,45.269116107181446,184.27176231313456,45.269116107181446,16.772332342678663,16.772332342678663,63.344686992638785,218.70443761263445,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,218.70443761263445,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,218.70443761263445,,27.811816935277538,112.91784461033409,,,27.811816935277538,112.91784461033409,,,63.589527975104595,258.75229840896367,63.58952797510459,23.560092392873692,23.560092392873692,23.560092392873692,1750.272739623046,437.5681849057615
-> Degrid [Mvis/s],,1985.1162334301314,36483.69291677567,1985.1162334230746,191.09704048347663,388.73139420271957,1411.5501163093961,,,1985.1162334301314,36483.69291677567,1253.4891914033724,191.09704048347663,388.73139420271957,1411.5501163093961,,,1985.1162334301314,36483.69291677567,1253.4891914033724,191.09704048347663,388.73139420271957,1411.5501163093961,,,1056.2534124102624,11165.57226672178,,,1056.2534124102624,11165.57226672178,,,2413.3812792613753,25610.25006476741,2413.381279264346,133.6000588618868,133.61482163610074,270.7574345047132,24654.630448836786,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.2207325218967,,,
-> Visibility Weighting [Mvis/s],,19.94733225731573,112.43715566033227,19.94733225731573,5.787456175415103,5.787456175415103,16.056789252669628,,,19.94733225731573,112.43715566033227,13.300318878026292,5.787456175415103,5.787456175415103,16.056789252669628,,,19.94733225731573,112.43715566033227,13.300318878026292,5.787456175415103,5.787456175415103,16.056789252669628,,,16.969051791637575,68.89908140822851,,,16.969051791637575,68.89908140822851,,,38.79841140312491,157.8829556556366,38.79841140312491,8.1266777990523,8.1266777990523,8.1266777990523,589.5715632035294,
-> Subtract Image Component [Mvis/s],,,,38.33066512759262,5.257978755499673,5.257978755499673,5.257978755499673,,,,,17.035851167818937,5.257978755499673,5.257978755499673,5.257978755499673,,,,,17.035851167818937,5.257978755499673,5.257978755499673,5.257978755499673,,,,,,,,,,,,,38.386537637132975,5.265643022926334,5.265643022926334,5.265643022926333,5.265643022926334,
-> Demix [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> FFT [Mvis/s],,0.006191176392866918,0.0013758169761926486,0.006191176392866918,0.002293028293654414,0.002293028293654414,0.002293028293654414,,,0.006191176392866918,0.0013758169761926486,0.004127450928577945,0.002293028293654414,0.002293028293654414,0.002293028293654414,,,0.006191176392866918,0.0013758169761926486,0.004127450928577945,0.002293028293654414,0.002293028293654414,0.002293028293654414,,,0.0062232909835215925,0.0013829535518936871,,,0.0062232909835215925,0.0013829535518936871,,,0.006195687018978039,0.0013768193375506747,0.006195687018978039,0.002294698895917792,0.0022946988959177917,0.002294698895917792,0.002294698895917792,
-> Grid [Mvis/s],,1985.1162334301314,36483.69291677567,1985.1162334230746,191.09704048347663,388.73139420271957,1411.5501163093961,,,1985.1162334301314,36483.69291677567,1253.4891914033724,191.09704048347663,388.73139420271957,1411.5501163093961,,,1985.1162334301314,36483.69291677567,1253.4891914033724,191.09704048347663,388.73139420271957,1411.5501163093961,,,1056.2534124102624,11165.57226672178,,,1056.2534124102624,11165.57226672178,,,2413.3812792613753,25610.25006476741,2413.381279264346,133.6000588618868,133.61482163610074,270.7574345047132,24654.630448836786,
-> Gridding Kernel Update [Mvis/s],,0.8161877008295173,6.297459814008539,0.8161877008266158,0.6410951639070858,0.6520609012355976,0.753342258647163,,,0.8161877008295173,6.297459814008539,0.7729542705525779,0.6410951639070858,0.6520609012355976,0.753342258647163,,,0.8161877008295173,6.297459814008539,0.7729542705525779,0.6410951639070858,0.6520609012355976,0.753342258647163,,,1.2085560724870372,6.292325842396876,,,1.2085560724870372,6.292325842396876,,,1.2077255407217848,6.29661969451294,1.2077255407232714,0.6383808617694555,0.6384514027003885,0.6468798211694315,0.7615068949223784,
-> Correct [Mvis/s],,45.269116107181446,184.27176231313456,45.269116107181446,16.772332342678663,16.772332342678663,63.344686992638785,218.70443761263445,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,218.70443761263445,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,218.70443761263445,,27.811816935277538,112.91784461033409,,,27.811816935277538,112.91784461033409,,,63.589527975104595,258.75229840896367,63.58952797510459,23.560092392873692,23.560092392873692,23.560092392873692,1750.272739623046,437.5681849057615
-> IFFT [Mvis/s],,0.030955881964334592,0.0013758169761926486,0.030955881964334592,0.002293028293654414,0.0009172113174617656,0.00030573710582058845,,,0.030955881964334592,0.0013758169761926486,0.020637254642889725,0.002293028293654414,0.0009172113174617656,0.00030573710582058845,,,0.030955881964334592,0.0013758169761926486,0.020637254642889725,0.002293028293654414,0.0009172113174617656,0.00030573710582058845,,,0.03111645491760796,0.0013829535518936871,,,0.03111645491760796,0.0013829535518936871,,,0.030978435094890195,0.0013768193375506747,0.030978435094890195,0.002294698895917792,0.01147349447958896,0.0009178795583671167,7.002865282952247e-06,
-> Identify Component [Mvis/s],,,,38.33066512759262,5.257978755499673,5.257978755499673,5.257978755499673,,,,,17.035851167818937,5.257978755499673,5.257978755499673,5.257978755499673,,,,,17.035851167818937,5.257978755499673,5.257978755499673,5.257978755499673,,,,,,,,,,,,,38.386537637132975,5.265643022926334,5.265643022926334,5.265643022926333,5.265643022926334,
-> Average [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Phase Rotation Predict [Mvis/s],,45.269116107181446,184.27176231313456,45.269116107181446,16.772332342678663,16.772332342678663,63.344686992638785,,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,,,45.269116107181446,184.27176231313456,30.182583792714343,16.772332342678663,16.772332342678663,63.344686992638785,,,27.811816935277538,112.91784461033409,,,27.811816935277538,112.91784461033409,,,63.589527975104595,258.75229840896367,63.58952797510459,23.560092392873692,23.560092392873692,23.560092392873692,1750.272739623046,
-> Receive [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Solve [Mvis/s],,45.269116107181446,,45.269116107181446,,,,,,45.269116107181446,,30.182583792714343,,,,,,45.269116107181446,,30.182583792714343,,,,,,27.811816935277538,,,,27.811816935277538,,,,63.58952797510459,,63.58952797510459,,,,,
-> Degridding Kernel Update [Mvis/s],,0.8161877008295173,6.297459814008539,0.8161877008266158,0.6410951639070858,0.6520609012355976,0.753342258647163,,,0.8161877008295173,6.297459814008539,0.7729542705525779,0.6410951639070858,0.6520609012355976,0.753342258647163,,,0.8161877008295173,6.297459814008539,0.7729542705525779,0.6410951639070858,0.6520609012355976,0.753342258647163,,,1.2085560724870372,6.292325842396876,,,1.2085560724870372,6.292325842396876,,,1.2077255407217848,6.29661969451294,1.2077255407232714,0.6383808617694555,0.6384514027003885,0.6468798211694315,0.7615068949223784,
-> Phase Rotation [Mvis/s],,45.269116107181446,184.27176231313456,45.269116107181446,3.354466468535733,16.772332342678663,63.344686992638785,,,45.269116107181446,184.27176231313456,30.182583792714343,3.354466468535733,16.772332342678663,63.344686992638785,,,45.269116107181446,184.27176231313456,30.182583792714343,3.354466468535733,16.772332342678663,63.344686992638785,,,27.811816935277538,112.91784461033409,,,27.811816935277538,112.91784461033409,,,63.589527975104595,258.75229840896367,63.58952797510459,4.7120184785747385,23.560092392873692,23.560092392873692,1750.272739623046,
-> Reprojection [Mvis/s],,38.33066512759262,,38.33066512759262,5.257978755499673,5.257978755499673,5.257978755499673,,,38.33066512759262,,17.035851167818937,5.257978755499673,5.257978755499673,5.257978755499673,,,38.33066512759262,,17.035851167818937,5.257978755499673,5.257978755499673,5.257978755499673,,,38.729350665581144,,,,38.729350665581144,,,,38.38653763713299,,38.38653763713298,5.265643022926334,0.6582053778657917,5.265643022926333,5.265643022926334,
-> Source Find [Mvis/s],,,,9e-06,,,,,,,,9e-06,,,,,,,,9e-06,,,,,,,,,,,,,,,,9e-06,,,,,
-> Reprojection Predict [Mvis/s],,191.6533256379631,,191.6533256379631,5.257978755499673,2.103191502199869,0.701063834066623,,,191.6533256379631,,85.17925583909468,5.257978755499673,2.103191502199869,0.701063834066623,,,191.6533256379631,,85.17925583909468,5.257978755499673,2.103191502199869,0.701063834066623,,,193.64675332790574,,,,193.64675332790574,,,,191.93268818566492,,191.9326881856649,5.265643022926334,0.6582053778657917,2.106257209170533,0.016069467233051554,
