,hpso01 (Ingest) [Na=128],hpso01 (RCAL) [Na=128],hpso01 (FastImg) [Na=128],hpso01 (ICAL) [Na=128],hpso01 (DPrepA) [Na=128],hpso01 (DPrepB) [Na=128],hpso01 (DPrepC) [Na=128],hpso01 (DPrepD) [Na=128],hpso02a (Ingest) [Na=128],hpso02a (RCAL) [Na=128],hpso02a (FastImg) [Na=128],hpso02a (ICAL) [Na=128],hpso02a (DPrepA) [Na=128],hpso02a (DPrepB) [Na=128],hpso02a (DPrepC) [Na=128],hpso02a (DPrepD) [Na=128],hpso02b (Ingest) [Na=128],hpso02b (RCAL) [Na=128],hpso02b (FastImg) [Na=128],hpso02b (ICAL) [Na=128],hpso02b (DPrepA) [Na=128],hpso02b (DPrepB) [Na=128],hpso02b (DPrepC) [Na=128],hpso02b (DPrepD) [Na=128],hpso04a (Ingest) [Nf_max=32768] [Na=128],hpso04a (RCAL) [Nf_max=32768] [Na=128],hpso04a (FastImg) [Nf_max=32768] [Na=128],hpso04a (PSS) [Nf_max=32768] [Na=128],hpso05a (Ingest) [Nf_max=32768] [Na=128],hpso05a (RCAL) [Nf_max=32768] [Na=128],hpso05a (FastImg) [Nf_max=32768] [Na=128],hpso05a (PST) [Nf_max=32768] [Na=128],max_low (Ingest) [Nf_max=32768] [Na=128],max_low (RCAL) [Nf_max=32768] [Na=128],max_low (FastImg) [Nf_max=32768] [Na=128],max_low (ICAL) [Nf_max=32768] [Na=128],max_low (DPrepA) [Nf_max=32768] [Na=128],max_low (DPrepA_Image) [Nf_max=32768] [Na=128],max_low (DPrepB) [Nf_max=32768] [Na=128],max_low (DPrepC) [Nf_max=32768] [Na=128],max_low (DPrepD) [Nf_max=32768] [Na=128]
Delta W earth4 [lambda],22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,58.001809514676474,58.001809514676474,58.001809514676474,,58.001809514676474,58.001809514676474,58.001809514676474,,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W snapshot4 [lambda],379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,1.660104632481867,,995.7450173095559,995.7450173095559,1.660104632481867,,414.893757212315,414.893757212315,0.6917102635341112,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max4 [lambda],379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,58.001809514676474,,995.7450173095559,995.7450173095559,58.001809514676474,,414.893757212315,414.893757212315,24.167420631115196,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W stack [lambda],(undefined),35.49743401362722,22.09592097279379,35.49743401558532,15.261664007615378,64.21850313486605,21.95156143929418,(undefined),(undefined),35.49743401362722,22.09592097279379,37.37802221451525,15.261664007615378,64.21850313486605,21.95156143929418,(undefined),(undefined),35.49743401362722,22.09592097279379,37.37802221451525,15.261664007615378,64.21850313486605,21.95156143929418,(undefined),(undefined),147.41001599570558,58.00180403590105,(undefined),(undefined),147.41001599570558,58.00180403590105,(undefined),(undefined),35.971485660047236,24.16741341406574,24.918320407189217,15.495930532327867,16.417567813010436,65.15633606945177,68.14966828357724,(undefined)
Delta W theory [lambda],(undefined),60.68043225776623,12.587303150687525,60.68043225776623,12.587303150687525,81.42182316591781,12.587303150687525,(undefined),(undefined),60.68043225776623,12.587303150687525,69.73379694066615,12.587303150687525,81.42182316591781,12.587303150687525,(undefined),(undefined),60.68043225776623,12.587303150687525,69.73379694066615,12.587303150687525,81.42182316591781,12.587303150687525,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),72.63769842646556,15.152462172657435,36.810035269866255,15.152462172657435,15.152462172657435,97.4319468180022,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),3.937727170292986,0.18455205923435844,3.937727170292986,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.937727170292986,0.18455205923435844,3.5494459083025345,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.937727170292986,0.18455205923435844,3.5494459083025345,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.6830097753057056,0.17264561380323334,5.9315655212078715,7.974018251050769,8.329011413319515,2.956984018341332,11.7585840842431,(undefined)
W kernel support pred1 [uv-pixels],,5.335669435091367,0.5223241974335304,5.3356694353129805,9.018600732211581,5.326038284555795,11.864705149137563,,,5.335669435091367,0.5223241974335304,4.999770481503318,9.018600732211581,5.326038284555795,11.864705149137563,,,5.335669435091367,0.5223241974335304,4.999770481503318,9.018600732211581,5.326038284555795,11.864705149137563,,,5.345906648726479,0.254136932091098,,,5.345906648726479,0.254136932091098,,,4.711578427894844,0.4886127695866622,5.9315655212078715,7.974018251050769,8.329011413319515,4.981285774550603,19.856457837827552,
W kernel support pred2 [uv-pixels],,5.335669435091367,1.4792330461194296,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,1.4792330461194296,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,1.4792330461194296,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,0.7193736457952092,,,6.072251803891379,0.7193736457952092,,,4.711578427894844,1.3836854797576588,5.9315655212078715,7.974018251050769,8.329011413319515,5.915210267506719,24.419985490928877,
W kernel support pred3 [uv-pixels],,5.335669435091367,4.194501294411046,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,4.194501294411046,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,4.194501294411046,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,2.037893113490042,,,6.072251803891379,2.037893113490042,,,4.711578427894844,3.923139052367293,5.9315655212078715,7.974018251050769,8.329011413319515,5.915210267506719,24.419985490928877,
W kernel support pred4 [uv-pixels],,5.335669435091367,11.923566246263082,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,11.923566246263082,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,11.923566246263082,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,5.7820753057801575,,,6.072251803891379,5.7820753057801575,,,4.711578427894844,11.149774870227228,5.9315655212078715,7.974018251050769,8.329011413319515,5.915210267506719,24.419985490928877,
AW kernel support pred0 [uv-pixels],(undefined),9.823731229408896,9.001891993496013,9.823731229408896,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.823731229408896,9.001891993496013,9.674635200149183,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.823731229408896,9.001891993496013,9.674635200149183,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.724431140431681,9.001655764800468,10.778843608308916,12.024348924914426,12.262643724874613,9.473318029324574,14.807575752506388,(undefined)
AW kernel support pred1 [uv-pixels],,10.462761027595358,9.015144068023794,10.462761027708373,12.741081554053691,10.457852734120616,14.891985370526369,,,10.462761027595358,9.015144068023794,10.295518678906463,12.741081554053691,10.457852734120616,14.891985370526369,,,10.462761027595358,9.015144068023794,10.295518678906463,12.741081554053691,10.457852734120616,14.891985370526369,,,10.467985379092672,9.003587372833826,,,10.467985379092672,9.003587372833826,,,10.158689447079484,9.013253709876537,10.778843608308916,12.024348924914426,12.262643724874613,10.286554718064751,21.800892593318814,
AW kernel support pred2 [uv-pixels],,10.462761027595358,9.120752732353388,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.120752732353388,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.120752732353388,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,9.028704139701594,,,10.856898358641022,9.028704139701594,,,10.158689447079484,9.105744643184991,10.778843608308916,12.024348924914426,12.262643724874613,10.769852018891296,26.02567369689355,
AW kernel support pred3 [uv-pixels],,10.462761027595358,9.92944314192976,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.92944314192976,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.92944314192976,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,9.227838768748084,,,10.856898358641022,9.227838768748084,,,10.158689447079484,9.817892850515804,10.778843608308916,12.024348924914426,12.262643724874613,10.769852018891296,26.02567369689355,
AW kernel support pred4 [uv-pixels],,10.462761027595358,14.938923389221335,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,14.938923389221335,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,14.938923389221335,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,10.69730783149259,,,10.856898358641022,10.69730783149259,,,10.158689447079484,14.328903644618126,10.778843608308916,12.024348924914426,12.262643724874613,10.769852018891296,26.02567369689355,
W kernel support bw0 [uv-pixels],(undefined),3.937727170292986,0.18455205923435844,3.937727170292986,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.937727170292986,0.18455205923435844,3.5494459083025345,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.937727170292986,0.18455205923435844,3.5494459083025345,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.6830097753057056,0.17264561380323334,5.9315655212078715,7.974018251050769,8.329011413319515,2.956984018341332,11.7585840842431,(undefined)
W kernel support bw1 [uv-pixels],,5.335669435091367,0.5223241974335304,5.3356694353129805,9.018600732211581,5.326038284555795,11.864705149137563,,,5.335669435091367,0.5223241974335304,4.999770481503318,9.018600732211581,5.326038284555795,11.864705149137563,,,5.335669435091367,0.5223241974335304,4.999770481503318,9.018600732211581,5.326038284555795,11.864705149137563,,,5.345906648726479,0.254136932091098,,,5.345906648726479,0.254136932091098,,,4.711578427894844,0.4886127695866622,5.9315655212078715,7.974018251050769,8.329011413319515,4.981285774550603,19.856457837827552,
W kernel support bw2 [uv-pixels],,5.335669435091367,1.4792330461194296,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,1.4792330461194296,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,1.4792330461194296,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,0.7193736457952092,,,6.072251803891379,0.7193736457952092,,,4.711578427894844,1.3836854797576588,5.9315655212078715,7.974018251050769,8.329011413319515,5.915210267506719,24.419985490928877,
W kernel support bw3 [uv-pixels],,5.335669435091367,4.194501294411046,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,4.194501294411046,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,4.194501294411046,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,2.037893113490042,,,6.072251803891379,2.037893113490042,,,4.711578427894844,3.923139052367293,5.9315655212078715,7.974018251050769,8.329011413319515,5.915210267506719,24.419985490928877,
W kernel support bw4 [uv-pixels],,5.335669435091367,11.923566246263082,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,11.923566246263082,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,11.923566246263082,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,5.7820753057801575,,,6.072251803891379,5.7820753057801575,,,4.711578427894844,11.149774870227228,5.9315655212078715,7.974018251050769,8.329011413319515,5.915210267506719,24.419985490928877,
AW kernel support bw0 [uv-pixels],(undefined),9.823731229408896,9.001891993496013,9.823731229408896,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.823731229408896,9.001891993496013,9.674635200149183,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.823731229408896,9.001891993496013,9.674635200149183,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.724431140431681,9.001655764800468,10.778843608308916,12.024348924914426,12.262643724874613,9.473318029324574,14.807575752506388,(undefined)
AW kernel support bw1 [uv-pixels],,10.462761027595358,9.015144068023794,10.462761027708373,12.741081554053691,10.457852734120616,14.891985370526369,,,10.462761027595358,9.015144068023794,10.295518678906463,12.741081554053691,10.457852734120616,14.891985370526369,,,10.462761027595358,9.015144068023794,10.295518678906463,12.741081554053691,10.457852734120616,14.891985370526369,,,10.467985379092672,9.003587372833826,,,10.467985379092672,9.003587372833826,,,10.158689447079484,9.013253709876537,10.778843608308916,12.024348924914426,12.262643724874613,10.286554718064751,21.800892593318814,
AW kernel support bw2 [uv-pixels],,10.462761027595358,9.120752732353388,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.120752732353388,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.120752732353388,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,9.028704139701594,,,10.856898358641022,9.028704139701594,,,10.158689447079484,9.105744643184991,10.778843608308916,12.024348924914426,12.262643724874613,10.769852018891296,26.02567369689355,
AW kernel support bw3 [uv-pixels],,10.462761027595358,9.92944314192976,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.92944314192976,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.92944314192976,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,9.227838768748084,,,10.856898358641022,9.227838768748084,,,10.158689447079484,9.817892850515804,10.778843608308916,12.024348924914426,12.262643724874613,10.769852018891296,26.02567369689355,
AW kernel support bw4 [uv-pixels],,10.462761027595358,14.938923389221335,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,14.938923389221335,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,14.938923389221335,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,10.69730783149259,,,10.856898358641022,10.69730783149259,,,10.158689447079484,14.328903644618126,10.778843608308916,12.024348924914426,12.262643724874613,10.769852018891296,26.02567369689355,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.06021307918264321,79.36398609957817,0.0476103210021174,79.36398609957817,2.939538281087088,2.3516306248696703,1.5235302720677568,0.2789667246217817,0.06021307918264321,79.36398609957817,0.0476103210021174,52.910019659911455,2.939538281087088,2.3516306248696703,1.5235302720677568,0.2789667246217817,0.06021307918264321,79.36398609957817,0.0476103210021174,52.910019659911455,2.939538281087088,2.3516306248696703,1.5235302720677568,0.2789667246217817,0.06021307918264321,48.63260811716895,0.029174618567193396,(undefined),0.06021307918264321,48.63260811716895,0.029174618567193396,(undefined),0.06021307918264321,98.65310893284263,0.06685387375058818,98.65310893284263,4.127666323740333,20.638331618701667,3.3021330589922666,0.06021307918264321,0.19586095825367633
Snapshot vis size1 [GB],0.016994344086732806,22.399433913349732,0.013437382511788476,22.399433913349732,0.8296457461241586,0.6637165968993269,0.4299962403772312,0.07873466315501061,0.016994344086732806,22.399433913349732,0.013437382511788476,14.933152264292845,0.8296457461241586,0.6637165968993269,0.4299962403772312,0.07873466315501061,0.016994344086732806,22.399433913349732,0.013437382511788476,14.933152264292845,0.8296457461241586,0.6637165968993269,0.4299962403772312,0.07873466315501061,0.016994344086732806,13.725909509983037,0.008234149677450587,,0.016994344086732806,13.725909509983037,0.008234149677450587,,0.016994344086732806,27.843533351703027,0.018868620397277217,27.843533351703027,1.1649791495978332,5.824895747989166,0.9319833196782665,0.016994344086732806,0.0552791613201481
Snapshot vis size2 [GB],0.019225784008908807,25.340588382936613,0.015201776102581013,25.340588382936613,0.9385822622801557,0.7508658098241247,0.4864568352825924,0.08907290685106065,0.019225784008908807,25.340588382936613,0.015201776102581013,16.893947688724097,0.9385822622801557,0.7508658098241247,0.4864568352825924,0.08907290685106065,0.019225784008908807,25.340588382936613,0.015201776102581013,16.893947688724097,0.9385822622801557,0.7508658098241247,0.4864568352825924,0.08907290685106065,0.019225784008908807,15.528188097049103,0.009315333524362346,,0.019225784008908807,15.528188097049103,0.009315333524362346,,0.019225784008908807,31.499524520196186,0.021346161902614794,31.499524520196186,1.3179465703848878,6.589732851924439,1.0543572563079102,0.019225784008908807,0.06253758369906678
Snapshot vis size3 [GB],0.024172938000179202,31.86119596396916,0.01911347755961569,31.86119596396916,1.180097041746276,0.9440776333970208,0.6116312819077021,0.11199303257587322,0.024172938000179202,31.86119596396916,0.01911347755961569,21.2410765599242,1.180097041746276,0.9440776333970208,0.6116312819077021,0.11199303257587322,0.024172938000179202,31.86119596396916,0.01911347755961569,21.2410765599242,1.180097041746276,0.9440776333970208,0.6116312819077021,0.11199303257587322,0.024172938000179202,19.523881468300807,0.011712343154955803,,0.024172938000179202,19.523881468300807,0.011712343154955803,,0.024172938000179202,39.6049416194936,0.026838928803870468,39.6049416194936,1.657078885245986,8.28539442622993,1.325663108196789,0.024172938000179202,0.07862967423008926
Snapshot vis size4 [GB],0.009441854721536,12.444858111329117,0.007465649328182283,12.444858111329117,0.46094127347698244,0.368753018781586,0.23890077850183306,0.04374403903231807,0.009441854721536,12.444858111329117,0.007465649328182283,8.296681148412377,0.46094127347698244,0.368753018781586,0.23890077850183306,0.04374403903231807,0.009441854721536,12.444858111329117,0.007465649328182283,8.296681148412377,0.46094127347698244,0.368753018781586,0.23890077850183306,0.04374403903231807,0.009441854721536,7.6259514843755705,0.004574795273832643,,0.009441854721536,7.6259514843755705,0.004574795273832643,,0.009441854721536,15.469534775764583,0.010483180267368176,15.469534775764583,0.6472485097385117,3.2362425486925583,0.5177988077908093,0.009441854721536,0.030712442189555204
Facet size [GB],(undefined),0.5767435262300302,0.9691506442136999,0.5767435262300302,2.6920851228158327,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.5767435262300302,0.9691506442136999,0.5024076939603819,2.6920851228158327,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.5767435262300302,0.9691506442136999,0.5024076939603819,2.6920851228158327,0.4307336196505332,2.6920851228158327,(undefined),(undefined),1.1421750263487866,0.9792309896680268,(undefined),(undefined),1.1421750263487866,0.9792309896680268,(undefined),(undefined),0.5775842136552123,0.9705633219857813,1.1320650587642163,2.6960092277382826,2.6960092277382826,0.43136147643812517,2.6960092277382826,(undefined)
Image size [GB],2.692085122815833,19.625300545327423,0.9691506442136997,19.625300545327423,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.6960092277382826,19.653907270212073,0.9705633219857817,19.653907270212073,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826
Image cube size [GB],1411427.9248708675,6280.096174504775,155.06410307419196,6280.096174504775,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),706742.6429962243,3144.6251632339317,77.64506575886253,3144.6251632339317,215.68073821906262,215.68073821906262,5392.018455476566,706742.6429962243,176685.6607490561
Calibration output [GB],0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.0786432,0.0,(undefined),0.0,0.0786432,0.0,(undefined),0.0,0.7077888,0.0,4.9790976,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,6.242304,0.0,1950.72,0.0,0.0,0.0,0.0,0.0,6.242304,0.0,1950.72,0.0,0.0,0.0,0.0,0.0,6.242304,0.0,1950.72,0.0,0.0,0.0,0.0,0.0,10.40384,0.0,(undefined),0.0,10.40384,0.0,(undefined),0.0,4.458788571428572,0.0,1928.4260571428574,0.0,0.0,0.0,0.0,0.0
