,hpso01 (Ingest) [Na=256] [Bmax=32500.0],hpso01 (RCAL) [Na=256] [Bmax=32500.0],hpso01 (FastImg) [Na=256] [Bmax=32500.0],hpso01 (ICAL) [Na=256] [Bmax=32500.0],hpso01 (DPrepA) [Na=256] [Bmax=32500.0],hpso01 (DPrepB) [Na=256] [Bmax=32500.0],hpso01 (DPrepC) [Na=256] [Bmax=32500.0],hpso01 (DPrepD) [Na=256] [Bmax=32500.0],hpso02a (Ingest) [Na=256] [Bmax=32500.0],hpso02a (RCAL) [Na=256] [Bmax=32500.0],hpso02a (FastImg) [Na=256] [Bmax=32500.0],hpso02a (ICAL) [Na=256] [Bmax=32500.0],hpso02a (DPrepA) [Na=256] [Bmax=32500.0],hpso02a (DPrepB) [Na=256] [Bmax=32500.0],hpso02a (DPrepC) [Na=256] [Bmax=32500.0],hpso02a (DPrepD) [Na=256] [Bmax=32500.0],hpso02b (Ingest) [Na=256] [Bmax=32500.0],hpso02b (RCAL) [Na=256] [Bmax=32500.0],hpso02b (FastImg) [Na=256] [Bmax=32500.0],hpso02b (ICAL) [Na=256] [Bmax=32500.0],hpso02b (DPrepA) [Na=256] [Bmax=32500.0],hpso02b (DPrepB) [Na=256] [Bmax=32500.0],hpso02b (DPrepC) [Na=256] [Bmax=32500.0],hpso02b (DPrepD) [Na=256] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso04a (PSS) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=32768] [Na=256] [Bmax=32500.0],hpso05a (PST) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (Ingest) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (RCAL) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (FastImg) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (ICAL) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepA) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepB) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepC) [Nf_max=32768] [Na=256] [Bmax=32500.0],max_low (DPrepD) [Nf_max=32768] [Na=256] [Bmax=32500.0]
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),9.86918709589172,1.0,(undefined),(undefined),9.86918709589172,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time pred1 [s],,5.654143136745989,1.0,5.654143136745989,10.0,10.0,7.2,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.2,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.2,,,4.229651612525023,1.0,,,4.229651612525023,1.0,,,5.6520845781769555,1.0,5.6520845781769555,10.0,10.0,10.0,7.2,
Coalesce time pred2 [s],,2.8270715683729946,1.0,2.8270715683729946,7.067678920932487,7.067678920932487,3.6,,,2.8270715683729946,1.0,4.240607352559492,7.067678920932487,7.067678920932487,3.6,,,2.8270715683729946,1.0,4.240607352559492,7.067678920932487,7.067678920932487,3.6,,,1.4098838708416743,1.0,,,1.4098838708416743,1.0,,,2.8260422890884778,1.0,2.8260422890884778,7.065105722721194,7.065105722721194,7.065105722721194,3.6,
Coalesce time pred3 [s],,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,,,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,,,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,,,1.4098838708416743,1.0,,,1.4098838708416743,1.0,,,1.4130211445442389,1.0,1.4130211445442389,2.8260422890884778,2.8260422890884778,2.8260422890884778,1.8,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),9.86918709589172,1.0,(undefined),(undefined),9.86918709589172,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,5.654143136745989,1.0,5.654143136745989,10.0,10.0,7.2,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.2,,,5.654143136745989,1.0,8.481214705118983,10.0,10.0,7.2,,,4.229651612525023,1.0,,,4.229651612525023,1.0,,,5.6520845781769555,1.0,5.6520845781769555,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,2.8270715683729946,1.0,2.8270715683729946,7.067678920932487,7.067678920932487,3.6,,,2.8270715683729946,1.0,4.240607352559492,7.067678920932487,7.067678920932487,3.6,,,2.8270715683729946,1.0,4.240607352559492,7.067678920932487,7.067678920932487,3.6,,,1.4098838708416743,1.0,,,1.4098838708416743,1.0,,,2.8260422890884778,1.0,2.8260422890884778,7.065105722721194,7.065105722721194,7.065105722721194,3.6,
Coalesce time bw3 [s],,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,,,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,,,1.4135357841864973,1.0,1.4135357841864973,2.8270715683729946,2.8270715683729946,1.8,,,1.4098838708416743,1.0,,,1.4098838708416743,1.0,,,1.4130211445442389,1.0,1.4130211445442389,2.8260422890884778,2.8260422890884778,2.8260422890884778,1.8,
Combined samples full0,21.0,8.0,1.1111111111111112,8.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,12.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,12.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,(undefined),21.0,8.0,1.1111111111111112,(undefined),21.0,8.0,1.1111111111111112,8.0,21.0,21.0,21.0,17.0,17.0
Combined samples full1,10.0,4.0,1.1111111111111112,4.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,6.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,6.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,,10.0,4.0,1.1111111111111112,,10.0,4.0,1.1111111111111112,4.0,10.0,10.0,10.0,8.0,8.0
Combined samples full2,5.0,2.0,1.1111111111111112,2.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,3.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,3.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,,5.0,2.0,1.1111111111111112,,5.0,2.0,1.1111111111111112,2.0,5.0,5.0,5.0,4.0,4.0
Combined samples full3,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,,2.0,1.0,1.1111111111111112,,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0
Combined samples facet0,(undefined),8.0,1.1111111111111112,8.0,21.0,21.0,17.0,(undefined),(undefined),8.0,1.1111111111111112,12.0,21.0,21.0,17.0,(undefined),(undefined),8.0,1.1111111111111112,12.0,21.0,21.0,17.0,(undefined),(undefined),7.0,1.1111111111111112,(undefined),(undefined),7.0,1.1111111111111112,(undefined),(undefined),8.0,1.1111111111111112,8.0,21.0,21.0,21.0,17.0,(undefined)
Combined samples facet1,,4.0,1.1111111111111112,4.0,10.0,10.0,8.0,,,4.0,1.1111111111111112,6.0,10.0,10.0,8.0,,,4.0,1.1111111111111112,6.0,10.0,10.0,8.0,,,3.0,1.1111111111111112,,,3.0,1.1111111111111112,,,4.0,1.1111111111111112,4.0,10.0,10.0,10.0,8.0,
Combined samples facet2,,2.0,1.1111111111111112,2.0,5.0,5.0,4.0,,,2.0,1.1111111111111112,3.0,5.0,5.0,4.0,,,2.0,1.1111111111111112,3.0,5.0,5.0,4.0,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,,,2.0,1.1111111111111112,2.0,5.0,5.0,5.0,4.0,
Combined samples facet3,,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,,,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,,,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),6.255303414765286,32.55476508226232,6.255303414717489,3.0137868738859015,2.82377633401625,3.6029543263003827,(undefined),(undefined),6.255303414765286,32.55476508226232,4.844499177020102,3.0137868738859015,2.82377633401625,3.6029543263003827,(undefined),(undefined),6.255303414765286,32.55476508226232,4.844499177020102,3.0137868738859015,2.82377633401625,3.6029543263003827,(undefined),(undefined),6.751762062720666,32.64426593397331,(undefined),(undefined),6.751762062720666,32.64426593397331,(undefined),(undefined),6.623510157603405,32.567468020591605,6.623510157601304,3.063726267304143,3.052247909860439,2.904319880226401,45.20618753749838,(undefined)
Visibilities kernel pred1,,22.1217900731932,64.99502025817469,22.12179007302417,6.024156068905396,5.644350463927142,7.9154852544390115,,,22.1217900731932,64.99502025817469,11.420467831376138,6.024156068905396,5.644350463927142,7.9154852544390115,,,22.1217900731932,64.99502025817469,11.420467831376138,6.024156068905396,5.644350463927142,7.9154852544390115,,,31.50161615551921,65.24680525561551,,,31.50161615551921,65.24680525561551,,,23.432480976936464,65.03229589341818,23.43248097692903,6.123979486507128,6.101035783515707,5.805347415848513,62.78637157985886,
Visibilities kernel pred2,,88.47785612600852,128.46894958994176,88.47785612533247,17.042219411059595,15.967756800935728,31.657316919856818,,,88.47785612600852,128.46894958994176,45.67466748837626,17.042219411059595,15.967756800935728,31.657316919856818,,,88.47785612600852,128.46894958994176,45.67466748837626,17.042219411059595,15.967756800935728,31.657316919856818,,,188.9898744433436,130.1123243148036,,,188.9898744433436,130.1123243148036,,,93.72007206671161,128.72715467010218,93.72007206668188,17.33092953017284,17.265998597503707,16.429197253831212,125.57274315971772,
Visibilities kernel pred3,,353.8928151917746,236.03075228204858,353.8928151890706,85.19900279778382,79.82745225509746,126.62001880834498,,,353.8928151917746,236.03075228204858,274.02639171490927,85.19900279778382,79.82745225509746,126.62001880834498,,,353.8928151917746,236.03075228204858,274.02639171490927,85.19900279778382,79.82745225509746,126.62001880834498,,,377.95992535701413,254.6009199649354,,,377.95992535701413,254.6009199649354,,,374.8605835488125,238.79478325318075,374.8605835486935,86.64235298203455,86.31774438109498,82.13433129479239,251.14548631943543,
Visibilities kernel bw0,(undefined),6.255303414765286,32.55476508226232,6.255303414717489,3.0137868738859015,2.82377633401625,3.6029543263003827,(undefined),(undefined),6.255303414765286,32.55476508226232,4.844499177020102,3.0137868738859015,2.82377633401625,3.6029543263003827,(undefined),(undefined),6.255303414765286,32.55476508226232,4.844499177020102,3.0137868738859015,2.82377633401625,3.6029543263003827,(undefined),(undefined),6.751762062720666,32.64426593397331,(undefined),(undefined),6.751762062720666,32.64426593397331,(undefined),(undefined),6.623510157603405,32.567468020591605,6.623510157601304,3.063726267304143,3.052247909860439,2.904319880226401,45.20618753749838,(undefined)
Visibilities kernel bw1,,22.1217900731932,64.99502025817469,22.12179007302417,6.024156068905396,5.644350463927142,7.9154852544390115,,,22.1217900731932,64.99502025817469,11.420467831376138,6.024156068905396,5.644350463927142,7.9154852544390115,,,22.1217900731932,64.99502025817469,11.420467831376138,6.024156068905396,5.644350463927142,7.9154852544390115,,,31.50161615551921,65.24680525561551,,,31.50161615551921,65.24680525561551,,,23.432480976936464,65.03229589341818,23.43248097692903,6.123979486507128,6.101035783515707,5.805347415848513,62.78637157985886,
Visibilities kernel bw2,,88.47785612600852,128.46894958994176,88.47785612533247,17.042219411059595,15.967756800935728,31.657316919856818,,,88.47785612600852,128.46894958994176,45.67466748837626,17.042219411059595,15.967756800935728,31.657316919856818,,,88.47785612600852,128.46894958994176,45.67466748837626,17.042219411059595,15.967756800935728,31.657316919856818,,,188.9898744433436,130.1123243148036,,,188.9898744433436,130.1123243148036,,,93.72007206671161,128.72715467010218,93.72007206668188,17.33092953017284,17.265998597503707,16.429197253831212,125.57274315971772,
Visibilities kernel bw3,,353.8928151917746,236.03075228204858,353.8928151890706,85.19900279778382,79.82745225509746,126.62001880834498,,,353.8928151917746,236.03075228204858,274.02639171490927,85.19900279778382,79.82745225509746,126.62001880834498,,,353.8928151917746,236.03075228204858,274.02639171490927,85.19900279778382,79.82745225509746,126.62001880834498,,,377.95992535701413,254.6009199649354,,,377.95992535701413,254.6009199649354,,,374.8605835488125,238.79478325318075,374.8605835486935,86.64235298203455,86.31774438109498,82.13433129479239,251.14548631943543,
Oversampling used pred0,(undefined),6.004099196912627,25.671297738388773,6.004099196868978,2.96662218363646,2.7837151982910058,3.530296410873383,(undefined),(undefined),6.004099196912627,25.671297738388773,4.701134102578813,2.96662218363646,2.7837151982910058,3.530296410873383,(undefined),(undefined),6.004099196912627,25.671297738388773,4.701134102578813,2.96662218363646,2.7837151982910058,3.530296410873383,(undefined),(undefined),6.455766850404586,25.725283657850348,(undefined),(undefined),6.455766850404586,25.725283657850348,(undefined),(undefined),6.339424042605138,25.678964643980194,6.339424042603234,3.0146038307432264,3.0035787926703534,2.8613144546913034,32.59522646239216,(undefined)
Oversampling used pred1,,18.82692441245142,41.00404563732292,18.826924412331167,5.79259832748923,5.44339827010613,7.500759476690888,,,18.82692441245142,41.00404563732292,10.534879970972867,5.79259832748923,5.44339827010613,7.500759476690888,,,18.82692441245142,41.00404563732292,10.534879970972867,5.79259832748923,5.44339827010613,7.500759476690888,,,25.030301325839723,41.09504865417958,,,25.030301325839723,41.09504865417958,,,19.749794819716826,41.01754099116667,19.749794819711646,5.884031665568912,5.863029082837812,5.591676817301298,40.190113561832405,
Oversampling used pred2,,48.11298321420406,55.53696204160445,48.11298321403491,15.064841368759822,14.22976327302871,25.125739187379985,,,48.11298321420406,55.53696204160445,32.826071660065196,15.064841368759822,14.22976327302871,25.125739187379985,,,48.11298321420406,55.53696204160445,32.826071660065196,15.064841368759822,14.22976327302871,25.125739187379985,,,60.7371433742091,55.753179318800974,,,60.7371433742091,55.753179318800974,,,49.37187664029442,55.57130546895441,49.37187664028757,15.286830302570586,15.2369929062749,14.590129085990739,55.14202043439941,
Oversampling used pred3,,63.75691577694058,62.444516327052085,63.75691577693023,47.27108308233893,45.794352113266,55.286915791896604,,,63.75691577694058,62.444516327052085,63.144938901237694,47.27108308233893,45.794352113266,55.286915791896604,,,63.75691577694058,62.444516327052085,63.144938901237694,47.27108308233893,45.794352113266,55.286915791896604,,,63.83360066397108,62.83893590102339,,,63.83360066397108,62.83893590102339,,,63.82527731160223,62.51077240257085,63.8252773116019,47.647048841614975,47.56323766189688,46.443885131350164,62.774003093990665,
Oversampling used bw0,(undefined),6.004099196912627,25.671297738388773,6.004099196868978,2.96662218363646,2.7837151982910058,3.530296410873383,(undefined),(undefined),6.004099196912627,25.671297738388773,4.701134102578813,2.96662218363646,2.7837151982910058,3.530296410873383,(undefined),(undefined),6.004099196912627,25.671297738388773,4.701134102578813,2.96662218363646,2.7837151982910058,3.530296410873383,(undefined),(undefined),6.455766850404586,25.725283657850348,(undefined),(undefined),6.455766850404586,25.725283657850348,(undefined),(undefined),6.339424042605138,25.678964643980194,6.339424042603234,3.0146038307432264,3.0035787926703534,2.8613144546913034,32.59522646239216,(undefined)
Oversampling used bw1,,18.82692441245142,41.00404563732292,18.826924412331167,5.79259832748923,5.44339827010613,7.500759476690888,,,18.82692441245142,41.00404563732292,10.534879970972867,5.79259832748923,5.44339827010613,7.500759476690888,,,18.82692441245142,41.00404563732292,10.534879970972867,5.79259832748923,5.44339827010613,7.500759476690888,,,25.030301325839723,41.09504865417958,,,25.030301325839723,41.09504865417958,,,19.749794819716826,41.01754099116667,19.749794819711646,5.884031665568912,5.863029082837812,5.591676817301298,40.190113561832405,
Oversampling used bw2,,48.11298321420406,55.53696204160445,48.11298321403491,15.064841368759822,14.22976327302871,25.125739187379985,,,48.11298321420406,55.53696204160445,32.826071660065196,15.064841368759822,14.22976327302871,25.125739187379985,,,48.11298321420406,55.53696204160445,32.826071660065196,15.064841368759822,14.22976327302871,25.125739187379985,,,60.7371433742091,55.753179318800974,,,60.7371433742091,55.753179318800974,,,49.37187664029442,55.57130546895441,49.37187664028757,15.286830302570586,15.2369929062749,14.590129085990739,55.14202043439941,
Oversampling used bw3,,63.75691577694058,62.444516327052085,63.75691577693023,47.27108308233893,45.794352113266,55.286915791896604,,,63.75691577694058,62.444516327052085,63.144938901237694,47.27108308233893,45.794352113266,55.286915791896604,,,63.75691577694058,62.444516327052085,63.144938901237694,47.27108308233893,45.794352113266,55.286915791896604,,,63.83360066397108,62.83893590102339,,,63.83360066397108,62.83893590102339,,,63.82527731160223,62.51077240257085,63.8252773116019,47.647048841614975,47.56323766189688,46.443885131350164,62.774003093990665,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels predict, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,8076.963378093995,5814.487179478897,,,8076.963378093995,5814.487179478897,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,8076.963378093995,5814.487179478897,,,8076.963378093995,5814.487179478897,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
Frequencies predict ifft,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,200.0,200,200.0,200.0,200.0,32768.0
Frequencies predict kernels0,(undefined),263.4908277339983,364.52288461678205,263.49082773601157,202.69722212551432,216.3366198859483,416.3250111305861,(undefined),(undefined),263.4908277339983,364.52288461678205,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,(undefined),(undefined),263.4908277339983,364.52288461678205,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,(undefined),(undefined),151.57201249413393,222.75933872570835,(undefined),(undefined),151.57201249413393,222.75933872570835,(undefined),(undefined),349.422673091697,511.6591552951528,349.42267309180784,279.985581971751,281.0385025351735,295.3528596465837,724.8565248467162,(undefined)
Frequencies predict kernels1,,263.4908277339983,365.0584953999703,263.49082773601157,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,365.0584953999703,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,365.0584953999703,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,151.57201249413393,222.83688638800666,,,151.57201249413393,222.83688638800666,,,349.422673091697,512.317136997464,349.42267309180784,279.985581971751,281.0385025351735,295.3528596465837,724.8565248467162,
Frequencies predict kernels2,,263.4908277339983,369.3268941633874,263.49082773601157,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,369.3268941633874,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,369.3268941633874,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,151.57201249413393,223.45734073105942,,,151.57201249413393,223.45734073105942,,,349.422673091697,517.5643890331957,349.42267309180784,279.985581971751,281.0385025351735,295.3528596465837,724.8565248467162,
Frequencies predict kernels3,,263.4908277339983,402.0117904727253,263.49082773601157,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,402.0117904727253,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,263.4908277339983,402.0117904727253,226.86370202892297,202.69722212551432,216.3366198859483,416.3250111305861,,,151.57201249413393,228.3765188389614,,,151.57201249413393,228.3765188389614,,,349.422673091697,557.9663494408372,349.42267309180784,279.985581971751,281.0385025351735,295.3528596465837,724.8565248467162,
Frequencies predict de-grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
