,hpso04b (Ingest) [Nf_max=65536] [Na=140],hpso04b (RCAL) [Nf_max=65536] [Na=140],hpso04b (FastImg) [Nf_max=65536] [Na=140],hpso04b (PSS) [Nf_max=65536] [Na=140],hpso04c (Ingest) [Na=140],hpso04c (RCAL) [Na=140],hpso04c (FastImg) [Na=140],hpso04c (PSS) [Na=140],hpso05b (Ingest) [Na=140],hpso05b (RCAL) [Na=140],hpso05b (FastImg) [Na=140],hpso05b (PST) [Na=140],hpso13 (Ingest) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (RCAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (FastImg) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (ICAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepA) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepB) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepC) [Nf_max=65536] [Na=140] [Bmax=35000],hpso14 (Ingest) [Na=140] [Bmax=25000],hpso14 (RCAL) [Na=140] [Bmax=25000],hpso14 (FastImg) [Na=140] [Bmax=25000],hpso14 (ICAL) [Na=140] [Bmax=25000],hpso14 (DPrepA) [Na=140] [Bmax=25000],hpso14 (DPrepB) [Na=140] [Bmax=25000],hpso14 (DPrepC) [Na=140] [Bmax=25000],hpso15 (Ingest) [Na=140] [Bmax=15000],hpso15 (RCAL) [Na=140] [Bmax=15000],hpso15 (FastImg) [Na=140] [Bmax=15000],hpso15 (ICAL) [Na=140] [Bmax=15000],hpso15 (DPrepA) [Na=140] [Bmax=15000],hpso15 (DPrepB) [Na=140] [Bmax=15000],hpso15 (DPrepC) [Na=140] [Bmax=15000],hpso18 (Ingest) [Na=140],hpso18 (RCAL) [Na=140],hpso18 (FastImg) [Na=140],hpso18 (SinglePulse) [Na=140],hpso22 (Ingest) [Na=140],hpso22 (RCAL) [Na=140],hpso22 (FastImg) [Na=140],hpso22 (ICAL) [Na=140],hpso22 (DPrepA) [Na=140],hpso22 (DPrepB) [Na=140],hpso27and33 (Ingest) [Na=140] [Bmax=30000],hpso27and33 (RCAL) [Na=140] [Bmax=30000],hpso27and33 (FastImg) [Na=140] [Bmax=30000],hpso27and33 (ICAL) [Na=140] [Bmax=30000],hpso27and33 (DPrepA) [Na=140] [Bmax=30000],hpso27and33 (DPrepB) [Na=140] [Bmax=30000],hpso32 (Ingest) [Na=140] [Bmax=20000],hpso32 (RCAL) [Na=140] [Bmax=20000],hpso32 (FastImg) [Na=140] [Bmax=20000],hpso32 (ICAL) [Na=140] [Bmax=20000],hpso32 (DPrepB) [Na=140] [Bmax=20000],hpso37a (Ingest) [Na=140] [Bmax=120000],hpso37a (RCAL) [Na=140] [Bmax=120000],hpso37a (FastImg) [Na=140] [Bmax=120000],hpso37a (ICAL) [Na=140] [Bmax=120000],hpso37a (DPrepA) [Na=140] [Bmax=120000],hpso37a (DPrepB) [Na=140] [Bmax=120000],hpso37b (Ingest) [Na=140] [Bmax=120000],hpso37b (RCAL) [Na=140] [Bmax=120000],hpso37b (FastImg) [Na=140] [Bmax=120000],hpso37b (ICAL) [Na=140] [Bmax=120000],hpso37b (DPrepA) [Na=140] [Bmax=120000],hpso37b (DPrepB) [Na=140] [Bmax=120000],hpso37c (Ingest) [Na=140] [Bmax=120000],hpso37c (RCAL) [Na=140] [Bmax=120000],hpso37c (FastImg) [Na=140] [Bmax=120000],hpso37c (ICAL) [Na=140] [Bmax=120000],hpso37c (DPrepA) [Na=140] [Bmax=120000],hpso37c (DPrepB) [Na=140] [Bmax=120000],hpso38a (Ingest) [Na=140],hpso38a (RCAL) [Na=140],hpso38a (FastImg) [Na=140],hpso38a (ICAL) [Na=140],hpso38a (DPrepA) [Na=140],hpso38a (DPrepB) [Na=140],hpso38b (Ingest) [Na=140],hpso38b (RCAL) [Na=140],hpso38b (FastImg) [Na=140],hpso38b (ICAL) [Na=140],hpso38b (DPrepA) [Na=140],hpso38b (DPrepB) [Na=140],max_mid_band1 (Ingest) [Na=140],max_mid_band1 (RCAL) [Na=140],max_mid_band1 (FastImg) [Na=140],max_mid_band1 (ICAL) [Na=140],max_mid_band1 (DPrepA) [Na=140],max_mid_band1 (DPrepA_Image) [Na=140],max_mid_band1 (DPrepB) [Na=140],max_mid_band1 (DPrepC) [Na=140],max_mid_band1 (DPrepD) [Na=140],max_mid_band2 (Ingest) [Na=140],max_mid_band2 (RCAL) [Na=140],max_mid_band2 (FastImg) [Na=140],max_mid_band2 (ICAL) [Na=140],max_mid_band2 (DPrepA) [Na=140],max_mid_band2 (DPrepA_Image) [Na=140],max_mid_band2 (DPrepB) [Na=140],max_mid_band2 (DPrepC) [Na=140],max_mid_band2 (DPrepD) [Na=140],max_mid_band5a_1 (Ingest) [Na=140],max_mid_band5a_1 (RCAL) [Na=140],max_mid_band5a_1 (FastImg) [Na=140],max_mid_band5a_1 (ICAL) [Na=140],max_mid_band5a_1 (DPrepA) [Na=140],max_mid_band5a_1 (DPrepA_Image) [Na=140],max_mid_band5a_1 (DPrepB) [Na=140],max_mid_band5a_1 (DPrepC) [Na=140],max_mid_band5a_1 (DPrepD) [Na=140],max_mid_band5a_2 (Ingest) [Na=140],max_mid_band5a_2 (RCAL) [Na=140],max_mid_band5a_2 (FastImg) [Na=140],max_mid_band5a_2 (ICAL) [Na=140],max_mid_band5a_2 (DPrepA) [Na=140],max_mid_band5a_2 (DPrepA_Image) [Na=140],max_mid_band5a_2 (DPrepB) [Na=140],max_mid_band5a_2 (DPrepC) [Na=140],max_mid_band5a_2 (DPrepD) [Na=140],max_mid_band5b_1 (Ingest) [Na=140],max_mid_band5b_1 (RCAL) [Na=140],max_mid_band5b_1 (FastImg) [Na=140],max_mid_band5b_1 (ICAL) [Na=140],max_mid_band5b_1 (DPrepA) [Na=140],max_mid_band5b_1 (DPrepA_Image) [Na=140],max_mid_band5b_1 (DPrepB) [Na=140],max_mid_band5b_1 (DPrepC) [Na=140],max_mid_band5b_1 (DPrepD) [Na=140],max_mid_band5b_2 (Ingest) [Na=140],max_mid_band5b_2 (RCAL) [Na=140],max_mid_band5b_2 (FastImg) [Na=140],max_mid_band5b_2 (ICAL) [Na=140],max_mid_band5b_2 (DPrepA) [Na=140],max_mid_band5b_2 (DPrepA_Image) [Na=140],max_mid_band5b_2 (DPrepB) [Na=140],max_mid_band5b_2 (DPrepC) [Na=140],max_mid_band5b_2 (DPrepD) [Na=140]
Backward rate9 [M/s],,1.8671565101558885,23.880439933704988,,,0.7622390309137601,13.70926091961263,,,3.494690920600322,39.10928393986318,,,,,,,,,,,,,,,,,,,,,,,,1.8671565101558885,23.880439933704988,,,4.2836015058075265,25.681248747105705,4.2836015058075265,3.9663027374909614,19.831377420313824,,,,,,,,,,,,,3.0986394951280456,34.67706460595362,2.8920679870490984,2.6778456823690346,1.338933986791426,,3.0986394951280456,34.67706460595362,3.0986394951280456,2.6778456823690346,1.338933986791426,,3.0986394951280456,34.67706460595362,3.0986394951280456,2.6778456823690346,1.338933986791426,,4.830927088438256,28.962603423703438,4.025785232137378,4.473086263437431,22.36527941566729,,4.830927088438256,28.962603423703438,4.830927088438256,4.473086263437431,22.36527941566729,,3.609483361671272,66.07588019990457,3.609483361671272,2.7851020237573736,2.7851020237573736,2.7851020237573736,16.518970049976144,,,3.494690920600322,39.10928393986318,3.494690920600322,3.020113817874283,3.020113817874283,1.5100698604850336,22.02529339996819,,,4.618341836119249,27.68810124875635,4.618341836119249,2.1381421553876545,4.2762478434557964,4.2762478434557964,66.07588019990457,,,3.6275349058277073,21.74796499516012,3.6275349058277073,8.39702385111329,3.3588329519692905,8.39702385111329,66.07588019990457,,,4.300629514543467,17.188894650120922,4.300629514543467,2.654712854119629,2.654712854119629,13.273475784856025,66.07588019990457,,,3.464298878837224,11.077009061071978,3.464298878837224,4.276901722762308,4.276901722762308,4.276901722762308,66.07588019990457,
Backward rate10 [M/s],,0.1654973112240681,2.116672748999473,,,0.08445225022106201,1.2151375573191816,,,0.4130075140751404,3.4665004740951435,,,,,,,,,,,,,,,,,,,,,,,,0.1654973112240681,2.116672748999473,,,0.5695228974744357,2.2762897152834096,0.5695228974744357,0.5273365839576134,1.7577783931388626,,,,,,,,,,,,,0.1690163957616047,1.4186062765007204,0.11831164421792491,0.10954800448157039,0.06572930424198525,,0.1690163957616047,1.4186062765007204,0.1690163957616047,0.10954800448157039,0.06572930424198525,,0.1690163957616047,1.4186062765007204,0.1690163957616047,0.10954800448157039,0.06572930424198525,,0.6422921616301359,2.5671367418305278,0.356829928068428,0.5947155973979794,1.982373932033725,,0.6422921616301359,2.5671367418305278,0.6422921616301359,0.5947155973979794,1.982373932033725,,0.3999124617057431,4.955691014992843,0.3999124617057431,0.29623206847195716,0.29623206847195716,0.29623206847195716,1.6518970049976145,,,0.4130075140751404,3.4665004740951435,0.4130075140751404,0.26769084690875666,0.26769084690875666,0.16061567378739228,1.6518970049976145,,,0.6140280477225664,2.4541696269644118,0.6140280477225664,0.1895163996697261,0.5685450964238468,0.5685450964238468,4.955691014992843,,,0.482296057347251,1.9276581392894776,0.482296057347251,1.488560924695906,0.44657091120818204,1.488560924695906,4.955691014992843,,,0.3811912565483378,1.5235593067701514,0.3811912565483378,0.3529552358648072,0.3529552358648072,1.1765108164491316,4.955691014992843,,,0.3070622463138836,0.9818245854167449,0.3070622463138836,0.7581768149513042,0.7581768149513042,0.7581768149513042,4.955691014992843,
Backward rate11 [M/s],,0.10911879066229357,1.046705355542709,,,0.04176196758192521,0.6008916607694366,,,0.2042339720464258,1.7142019892841327,,,,,,,,,,,,,,,,,,,,,,,,0.10911879066229357,1.046705355542709,,,0.2816316958841493,1.1256367574236197,0.2816316958841493,0.2607703321159533,0.8692300603566497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31761643875871,1.2694620937281271,0.26468097595018464,0.29408956639787526,0.9802936721063478,,0.31761643875871,1.2694620937281271,0.31761643875871,0.29408956639787526,0.9802936721063478,,0.19775822441889782,2.123867571997966,0.19775822441889782,0.18310979671116973,0.18310979671116973,0.18310979671116973,0.7079558573326554,,,0.2042339720464258,1.7142019892841327,0.2042339720464258,0.1764989466406145,0.1764989466406145,0.0992812819383744,1.061933785998983,,,0.3036397015399885,1.2135992796278923,0.3036397015399885,0.12495550690300866,0.28114813227934815,0.28114813227934815,2.123867571997966,,,0.23849761553646068,0.9532366704958399,0.23849761553646068,0.7361006858532287,0.22083133452704581,0.7361006858532287,2.123867571997966,,,0.1885008421262025,0.7534077899739804,0.1885008421262025,0.17453797479393887,0.17453797479393887,0.5817904051218279,2.123867571997966,,,0.30368749348815305,0.48551720920449654,0.30368749348815305,0.3749221581777599,0.3749221581777599,0.3749221581777599,2.123867571997966,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],1.2614862417340347,1.2614862417340347,1.2614862417340347,(undefined),2.261774059789189,2.261774059789189,2.261774059789189,(undefined),2.016659243101358,2.016659243101358,2.016659243101358,(undefined),1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,1.2614862417340347,1.2614862417340347,1.2614862417340347,(undefined),15.689415929582816,15.689415929582816,15.689415929582816,15.689415929582816,15.689415929582816,15.689415929582816,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,9.124222298080035,11.496554775987406,11.496554775987406,11.496554775987406,11.496554775987406,11.496554775987406,11.496554775987406,11.496554775987406,11.496554775987406,11.496554775987406,15.340305889264872,15.340305889264872,15.340305889264872,15.340305889264872,15.340305889264872,15.340305889264872,15.340305889264872,15.340305889264872,15.340305889264872,22.945077801611617,22.945077801611617,22.945077801611617,22.945077801611617,22.945077801611617,22.945077801611617,22.945077801611617,22.945077801611617,22.945077801611617
Delta W earth1 [lambda],2.838344043901578,2.838344043901578,2.838344043901578,,5.088991634525676,5.088991634525676,5.088991634525676,,4.537483296978055,4.537483296978055,4.537483296978055,,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,2.838344043901578,2.838344043901578,2.838344043901578,,35.301185841561335,35.301185841561335,35.301185841561335,35.301185841561335,35.301185841561335,35.301185841561335,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,20.52950017068008,20.52950017068008,20.52950017068008,20.52950017068008,20.52950017068008,20.52950017068008,20.52950017068008,20.52950017068008,20.52950017068008,25.867248245971663,25.867248245971663,25.867248245971663,25.867248245971663,25.867248245971663,25.867248245971663,25.867248245971663,25.867248245971663,25.867248245971663,34.51568825084596,34.51568825084596,34.51568825084596,34.51568825084596,34.51568825084596,34.51568825084596,34.51568825084596,34.51568825084596,34.51568825084596,51.626425053626136,51.626425053626136,51.626425053626136,51.626425053626136,51.626425053626136,51.626425053626136,51.626425053626136,51.626425053626136,51.626425053626136
Delta W earth2 [lambda],5.045944966936139,5.045944966936139,5.045944966936139,,9.047096239156756,9.047096239156756,9.047096239156756,,8.066636972405432,8.066636972405432,8.066636972405432,,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,5.045944966936139,5.045944966936139,5.045944966936139,,62.757663718331266,62.757663718331266,62.757663718331266,62.757663718331266,62.757663718331266,62.757663718331266,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,36.49688919232014,36.49688919232014,36.49688919232014,36.49688919232014,36.49688919232014,36.49688919232014,36.49688919232014,36.49688919232014,36.49688919232014,45.98621910394962,45.98621910394962,45.98621910394962,45.98621910394962,45.98621910394962,45.98621910394962,45.98621910394962,45.98621910394962,45.98621910394962,61.36122355705949,61.36122355705949,61.36122355705949,61.36122355705949,61.36122355705949,61.36122355705949,61.36122355705949,61.36122355705949,61.36122355705949,91.78031120644647,91.78031120644647,91.78031120644647,91.78031120644647,91.78031120644647,91.78031120644647,91.78031120644647,91.78031120644647,91.78031120644647
Delta W earth3 [lambda],11.353376175606313,11.353376175606313,11.353376175606313,,20.355966538102702,20.355966538102702,20.355966538102702,,18.14993318791222,18.14993318791222,18.14993318791222,,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,11.353376175606313,11.353376175606313,11.353376175606313,,141.20474336624534,141.20474336624534,141.20474336624534,141.20474336624534,141.20474336624534,141.20474336624534,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,82.11800068272032,82.11800068272032,82.11800068272032,82.11800068272032,82.11800068272032,82.11800068272032,82.11800068272032,82.11800068272032,82.11800068272032,103.46899298388665,103.46899298388665,103.46899298388665,103.46899298388665,103.46899298388665,103.46899298388665,103.46899298388665,103.46899298388665,103.46899298388665,138.06275300338385,138.06275300338385,138.06275300338385,138.06275300338385,138.06275300338385,138.06275300338385,138.06275300338385,138.06275300338385,138.06275300338385,206.50570021450454,206.50570021450454,206.50570021450454,206.50570021450454,206.50570021450454,206.50570021450454,206.50570021450454,206.50570021450454,206.50570021450454
Delta W earth4 [lambda],31.53715604335087,31.53715604335087,31.53715604335087,,56.54435149472973,56.54435149472973,56.54435149472973,,50.416481077533945,50.416481077533945,50.416481077533945,,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,,,,,,,,31.53715604335087,31.53715604335087,31.53715604335087,,392.2353982395704,392.2353982395704,392.2353982395704,392.2353982395704,392.2353982395704,392.2353982395704,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,13.728238938384964,13.728238938384964,13.728238938384964,13.728238938384964,13.728238938384964,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,228.10555745200088,228.10555745200088,228.10555745200088,228.10555745200088,228.10555745200088,228.10555745200088,228.10555745200088,228.10555745200088,228.10555745200088,287.41386939968515,287.41386939968515,287.41386939968515,287.41386939968515,287.41386939968515,287.41386939968515,287.41386939968515,287.41386939968515,287.41386939968515,383.50764723162183,383.50764723162183,383.50764723162183,383.50764723162183,383.50764723162183,383.50764723162183,383.50764723162183,383.50764723162183,383.50764723162183,573.6269450402905,573.6269450402905,573.6269450402905,573.6269450402905,573.6269450402905,573.6269450402905,573.6269450402905,573.6269450402905,573.6269450402905
Delta W earth5 [lambda],61.812825844967705,61.812825844967705,61.812825844967705,,110.82692892967027,110.82692892967027,110.82692892967027,,98.81630291196653,98.81630291196653,98.81630291196653,,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,,,,,,,,,,,,,,,61.812825844967705,61.812825844967705,61.812825844967705,,768.781380549558,768.781380549558,768.781380549558,768.781380549558,768.781380549558,768.781380549558,74.0889085563633,74.0889085563633,74.0889085563633,74.0889085563633,74.0889085563633,74.0889085563633,,,,,,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,447.0868926059217,447.0868926059217,447.0868926059217,447.0868926059217,447.0868926059217,447.0868926059217,447.0868926059217,447.0868926059217,447.0868926059217,563.3311840233829,563.3311840233829,563.3311840233829,563.3311840233829,563.3311840233829,563.3311840233829,563.3311840233829,563.3311840233829,563.3311840233829,751.6749885739788,751.6749885739788,751.6749885739788,751.6749885739788,751.6749885739788,751.6749885739788,751.6749885739788,751.6749885739788,751.6749885739788,1124.3088122789693,1124.3088122789693,1124.3088122789693,1124.3088122789693,1124.3088122789693,1124.3088122789693,1124.3088122789693,1124.3088122789693,1124.3088122789693
Delta W earth6 [lambda],152.63983524981822,152.63983524981822,152.63983524981822,,273.6746612344919,273.6746612344919,273.6746612344919,,244.01576841526432,244.01576841526432,244.01576841526432,,,,,,,,,,,,,,,,,,,,,,,152.63983524981822,152.63983524981822,152.63983524981822,,1898.4193274795207,1898.4193274795207,1898.4193274795207,1898.4193274795207,1898.4193274795207,1898.4193274795207,,,,,,,,,,,,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,1104.0308980676841,1104.0308980676841,1104.0308980676841,1104.0308980676841,1104.0308980676841,1104.0308980676841,1104.0308980676841,1104.0308980676841,1104.0308980676841,1391.083127894476,1391.083127894476,1391.083127894476,1391.083127894476,1391.083127894476,1391.083127894476,1391.083127894476,1391.083127894476,1391.083127894476,1856.1770126010497,1856.1770126010497,1856.1770126010497,1856.1770126010497,1856.1770126010497,1856.1770126010497,1856.1770126010497,1856.1770126010497,1856.1770126010497,2776.354413995006,2776.354413995006,2776.354413995006,2776.354413995006,2776.354413995006,2776.354413995006,2776.354413995006,2776.354413995006,2776.354413995006
Delta W earth7 [lambda],283.83440439015783,283.83440439015783,283.83440439015783,,508.89916345256756,508.89916345256756,508.89916345256756,,453.7483296978055,453.7483296978055,453.7483296978055,,,,,,,,,,,,,,,,,,,,,,,283.83440439015783,283.83440439015783,283.83440439015783,,3530.1185841561337,3530.1185841561337,3530.1185841561337,3530.1185841561337,3530.1185841561337,3530.1185841561337,,,,,,,,,,,,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,2052.950017068008,2052.950017068008,2052.950017068008,2052.950017068008,2052.950017068008,2052.950017068008,2052.950017068008,2052.950017068008,2052.950017068008,2586.7248245971664,2586.7248245971664,2586.7248245971664,2586.7248245971664,2586.7248245971664,2586.7248245971664,2586.7248245971664,2586.7248245971664,2586.7248245971664,3451.5688250845965,3451.5688250845965,3451.5688250845965,3451.5688250845965,3451.5688250845965,3451.5688250845965,3451.5688250845965,3451.5688250845965,3451.5688250845965,5162.6425053626135,5162.6425053626135,5162.6425053626135,5162.6425053626135,5162.6425053626135,5162.6425053626135,5162.6425053626135,5162.6425053626135,5162.6425053626135
