,hpso01 (Ingest) [Bmax=32500],hpso01 (RCAL) [Bmax=32500],hpso01 (FastImg) [Bmax=32500],hpso01 (ICAL) [Bmax=32500],hpso01 (DPrepA) [Bmax=32500],hpso01 (DPrepB) [Bmax=32500],hpso01 (DPrepC) [Bmax=32500],hpso01 (DPrepD) [Bmax=32500],hpso02a (Ingest) [Bmax=32500],hpso02a (RCAL) [Bmax=32500],hpso02a (FastImg) [Bmax=32500],hpso02a (ICAL) [Bmax=32500],hpso02a (DPrepA) [Bmax=32500],hpso02a (DPrepB) [Bmax=32500],hpso02a (DPrepC) [Bmax=32500],hpso02a (DPrepD) [Bmax=32500],hpso02b (Ingest) [Bmax=32500],hpso02b (RCAL) [Bmax=32500],hpso02b (FastImg) [Bmax=32500],hpso02b (ICAL) [Bmax=32500],hpso02b (DPrepA) [Bmax=32500],hpso02b (DPrepB) [Bmax=32500],hpso02b (DPrepC) [Bmax=32500],hpso02b (DPrepD) [Bmax=32500],hpso04a (Ingest) [Bmax=32500],hpso04a (RCAL) [Bmax=32500],hpso04a (FastImg) [Bmax=32500],hpso04a (PSS) [Bmax=32500],hpso04b (Ingest) [Bmax=32500],hpso04b (RCAL) [Bmax=32500],hpso04b (FastImg) [Bmax=32500],hpso04b (PSS) [Bmax=32500],hpso04c (Ingest) [Bmax=32500],hpso04c (RCAL) [Bmax=32500],hpso04c (FastImg) [Bmax=32500],hpso04c (PSS) [Bmax=32500],hpso05a (Ingest) [Bmax=32500],hpso05a (RCAL) [Bmax=32500],hpso05a (FastImg) [Bmax=32500],hpso05a (PST) [Bmax=32500],hpso05b (Ingest) [Bmax=32500],hpso05b (RCAL) [Bmax=32500],hpso05b (FastImg) [Bmax=32500],hpso05b (PST) [Bmax=32500],hpso13 (Ingest) [Bmax=32500],hpso13 (RCAL) [Bmax=32500],hpso13 (FastImg) [Bmax=32500],hpso13 (ICAL) [Bmax=32500],hpso13 (DPrepA) [Bmax=32500],hpso13 (DPrepB) [Bmax=32500],hpso13 (DPrepC) [Bmax=32500],hpso14 (Ingest) [Bmax=32500],hpso14 (RCAL) [Bmax=32500],hpso14 (FastImg) [Bmax=32500],hpso14 (ICAL) [Bmax=32500],hpso14 (DPrepA) [Bmax=32500],hpso14 (DPrepB) [Bmax=32500],hpso14 (DPrepC) [Bmax=32500],hpso15 (Ingest) [Bmax=32500],hpso15 (RCAL) [Bmax=32500],hpso15 (FastImg) [Bmax=32500],hpso15 (ICAL) [Bmax=32500],hpso15 (DPrepA) [Bmax=32500],hpso15 (DPrepB) [Bmax=32500],hpso15 (DPrepC) [Bmax=32500],hpso18 (Ingest) [Bmax=32500],hpso18 (RCAL) [Bmax=32500],hpso18 (FastImg) [Bmax=32500],hpso18 (SinglePulse) [Bmax=32500],hpso22 (Ingest) [Bmax=32500],hpso22 (RCAL) [Bmax=32500],hpso22 (FastImg) [Bmax=32500],hpso22 (ICAL) [Bmax=32500],hpso22 (DPrepA) [Bmax=32500],hpso22 (DPrepB) [Bmax=32500],hpso27and33 (Ingest) [Bmax=32500],hpso27and33 (RCAL) [Bmax=32500],hpso27and33 (FastImg) [Bmax=32500],hpso27and33 (ICAL) [Bmax=32500],hpso27and33 (DPrepA) [Bmax=32500],hpso27and33 (DPrepB) [Bmax=32500],hpso32 (Ingest) [Bmax=32500],hpso32 (RCAL) [Bmax=32500],hpso32 (FastImg) [Bmax=32500],hpso32 (ICAL) [Bmax=32500],hpso32 (DPrepB) [Bmax=32500],hpso37a (Ingest) [Bmax=32500],hpso37a (RCAL) [Bmax=32500],hpso37a (FastImg) [Bmax=32500],hpso37a (ICAL) [Bmax=32500],hpso37a (DPrepA) [Bmax=32500],hpso37a (DPrepB) [Bmax=32500],hpso37b (Ingest) [Bmax=32500],hpso37b (RCAL) [Bmax=32500],hpso37b (FastImg) [Bmax=32500],hpso37b (ICAL) [Bmax=32500],hpso37b (DPrepA) [Bmax=32500],hpso37b (DPrepB) [Bmax=32500],hpso37c (Ingest) [Bmax=32500],hpso37c (RCAL) [Bmax=32500],hpso37c (FastImg) [Bmax=32500],hpso37c (ICAL) [Bmax=32500],hpso37c (DPrepA) [Bmax=32500],hpso37c (DPrepB) [Bmax=32500],hpso38a (Ingest) [Bmax=32500],hpso38a (RCAL) [Bmax=32500],hpso38a (FastImg) [Bmax=32500],hpso38a (ICAL) [Bmax=32500],hpso38a (DPrepA) [Bmax=32500],hpso38a (DPrepB) [Bmax=32500],hpso38b (Ingest) [Bmax=32500],hpso38b (RCAL) [Bmax=32500],hpso38b (FastImg) [Bmax=32500],hpso38b (ICAL) [Bmax=32500],hpso38b (DPrepA) [Bmax=32500],hpso38b (DPrepB) [Bmax=32500],max_low (Ingest) [Bmax=32500],max_low (RCAL) [Bmax=32500],max_low (FastImg) [Bmax=32500],max_low (ICAL) [Bmax=32500],max_low (DPrepA) [Bmax=32500],max_low (DPrepA_Image) [Bmax=32500],max_low (DPrepB) [Bmax=32500],max_low (DPrepC) [Bmax=32500],max_low (DPrepD) [Bmax=32500],max_mid_band1 (Ingest) [Bmax=32500],max_mid_band1 (RCAL) [Bmax=32500],max_mid_band1 (FastImg) [Bmax=32500],max_mid_band1 (ICAL) [Bmax=32500],max_mid_band1 (DPrepA) [Bmax=32500],max_mid_band1 (DPrepA_Image) [Bmax=32500],max_mid_band1 (DPrepB) [Bmax=32500],max_mid_band1 (DPrepC) [Bmax=32500],max_mid_band1 (DPrepD) [Bmax=32500],max_mid_band2 (Ingest) [Bmax=32500],max_mid_band2 (RCAL) [Bmax=32500],max_mid_band2 (FastImg) [Bmax=32500],max_mid_band2 (ICAL) [Bmax=32500],max_mid_band2 (DPrepA) [Bmax=32500],max_mid_band2 (DPrepA_Image) [Bmax=32500],max_mid_band2 (DPrepB) [Bmax=32500],max_mid_band2 (DPrepC) [Bmax=32500],max_mid_band2 (DPrepD) [Bmax=32500],max_mid_band5a_1 (Ingest) [Bmax=32500],max_mid_band5a_1 (RCAL) [Bmax=32500],max_mid_band5a_1 (FastImg) [Bmax=32500],max_mid_band5a_1 (ICAL) [Bmax=32500],max_mid_band5a_1 (DPrepA) [Bmax=32500],max_mid_band5a_1 (DPrepA_Image) [Bmax=32500],max_mid_band5a_1 (DPrepB) [Bmax=32500],max_mid_band5a_1 (DPrepC) [Bmax=32500],max_mid_band5a_1 (DPrepD) [Bmax=32500],max_mid_band5a_2 (Ingest) [Bmax=32500],max_mid_band5a_2 (RCAL) [Bmax=32500],max_mid_band5a_2 (FastImg) [Bmax=32500],max_mid_band5a_2 (ICAL) [Bmax=32500],max_mid_band5a_2 (DPrepA) [Bmax=32500],max_mid_band5a_2 (DPrepA_Image) [Bmax=32500],max_mid_band5a_2 (DPrepB) [Bmax=32500],max_mid_band5a_2 (DPrepC) [Bmax=32500],max_mid_band5a_2 (DPrepD) [Bmax=32500],max_mid_band5b_1 (Ingest) [Bmax=32500],max_mid_band5b_1 (RCAL) [Bmax=32500],max_mid_band5b_1 (FastImg) [Bmax=32500],max_mid_band5b_1 (ICAL) [Bmax=32500],max_mid_band5b_1 (DPrepA) [Bmax=32500],max_mid_band5b_1 (DPrepA_Image) [Bmax=32500],max_mid_band5b_1 (DPrepB) [Bmax=32500],max_mid_band5b_1 (DPrepC) [Bmax=32500],max_mid_band5b_1 (DPrepD) [Bmax=32500],max_mid_band5b_2 (Ingest) [Bmax=32500],max_mid_band5b_2 (RCAL) [Bmax=32500],max_mid_band5b_2 (FastImg) [Bmax=32500],max_mid_band5b_2 (ICAL) [Bmax=32500],max_mid_band5b_2 (DPrepA) [Bmax=32500],max_mid_band5b_2 (DPrepA_Image) [Bmax=32500],max_mid_band5b_2 (DPrepB) [Bmax=32500],max_mid_band5b_2 (DPrepC) [Bmax=32500],max_mid_band5b_2 (DPrepD) [Bmax=32500]
Max Baseline [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Dump time [s],1.4135357841864973,1.4135357841864973,0.9,1.4135357841864973,1.4135357841864973,1.4135357841864973,0.9,0.9,1.4135357841864973,1.4135357841864973,0.9,1.4135357841864973,1.4135357841864973,1.4135357841864973,0.9,0.9,1.4135357841864973,1.4135357841864973,0.9,1.4135357841864973,1.4135357841864973,1.4135357841864973,0.9,0.9,1.4098838708416743,1.4098838708416743,0.9,9.375,0.34954773274550055,0.34954773274550055,0.26992444205434246,9.375,0.3451423160786692,0.3451423160786692,0.26652253288882904,9.375,1.4098838708416743,1.4098838708416743,0.9,(undefined),0.3467987642409016,0.3467987642409016,0.26780165961201124,(undefined),0.3504780264811954,0.3504780264811954,0.2706428246786031,0.3504780264811954,0.3504780264811954,0.3504780264811954,0.19231843606889792,0.3437589745757379,0.3437589745757379,0.2654543020054057,0.3437589745757379,0.3437589745757379,0.3437589745757379,0.20322486043522903,0.3508475342553889,0.3508475342553889,0.27092816247496226,0.3508475342553889,0.3508475342553889,0.3508475342553889,0.2101551143136983,0.34954773274550055,0.34954773274550055,0.26992444205434246,10,0.34728516900100787,0.34728516900100787,0.2681772664925166,0.34728516900100787,0.34728516900100787,0.34728516900100787,0.33658659942352764,0.33658659942352764,0.2599157183448607,0.33658659942352764,0.33658659942352764,0.33658659942352764,0.33501858103742677,0.33501858103742677,0.2587048780265017,0.33501858103742677,0.33501858103742677,0.33658659942352764,0.33658659942352764,0.2599157183448607,0.33658659942352764,0.33658659942352764,0.33658659942352764,0.33658659942352764,0.33658659942352764,0.2599157183448607,0.33658659942352764,0.33658659942352764,0.33658659942352764,0.33658659942352764,0.33658659942352764,0.2599157183448607,0.33658659942352764,0.33658659942352764,0.33658659942352764,0.34326963671679744,0.34326963671679744,0.2650764301550775,0.34326963671679744,0.34326963671679744,0.34326963671679744,0.34326963671679744,0.34326963671679744,0.2650764301550775,0.34326963671679744,0.34326963671679744,0.34326963671679744,1.4130211445442389,1.4130211445442389,0.9,1.4130211445442389,1.4130211445442389,1.4130211445442389,1.4130211445442389,0.9,0.9,0.33501858103742677,0.33501858103742677,0.2587048780265017,0.33501858103742677,0.33501858103742677,0.33501858103742677,0.33501858103742677,0.18383534684333827,0.18383534684333827,0.3467987642409016,0.3467987642409016,0.26780165961201124,0.3467987642409016,0.3467987642409016,0.3467987642409016,0.3467987642409016,0.19029950790086164,0.19029950790086164,0.34481323134225017,0.34481323134225017,0.26626841018813574,0.34481323134225017,0.34481323134225017,0.34481323134225017,0.34481323134225017,0.1892099828722434,0.1892099828722434,0.35228336240515873,0.35228336240515873,0.2720369241000726,0.35228336240515873,0.35228336240515873,0.35228336240515873,0.35228336240515873,0.1933090812884043,0.1933090812884043,0.33692731429009304,0.33692731429009304,0.26017882195458786,0.33692731429009304,0.33692731429009304,0.33692731429009304,0.33692731429009304,0.1848827294644715,0.1848827294644715,0.35175764611973925,0.35175764611973925,0.27163096044553486,0.35175764611973925,0.35175764611973925,0.35175764611973925,0.35175764611973925,0.19302060404821061,0.19302060404821061
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2400.0,2400.0,2400.0,2400.0,900.0,900.0,900.0,900.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,60.0,60.0,60.0,60.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,444.0,444.0,444.0,444.0,444.0,444.0,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2400.0,2400.0,2400.0,2400.0,900.0,900.0,900.0,900.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,60.0,60.0,60.0,60.0,2160000.0,2160000.0,2160000.0,2160000.0,2160000.0,2160000.0,444.0,444.0,444.0,444.0,444.0,444.0,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,342000.0,342000.0,342000.0,342000.0,342000.0,342000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,2880000.0,2880000.0,2880000.0,2880000.0,8640000.0,8640000.0,8640000.0,8640000.0,15480000.0,15480000.0,15480000.0,15480000.0,5760000.0,5760000.0,5760000.0,5760000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,36000000.0,36000000.0,36000000.0,36000000.0,21600000.0,21600000.0,21600000.0,21600000.0,21600000.0,21600000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),5.0,1.0,(undefined),(undefined),5.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),4.0,1.0,(undefined),(undefined),5.0,1.0,5.0,1.0,1.0,1.0,(undefined),5.0,1.0,3.0,1.0,1.0,1.0,(undefined),5.0,1.0,3.0,1.0,1.0,1.0,(undefined),5.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),4.0,1.0,1.0,1.0,1.0,(undefined),4.0,1.0,1.0,1.0,(undefined),4.0,1.0,3.0,1.0,1.0,(undefined),4.0,1.0,4.0,1.0,1.0,(undefined),4.0,1.0,4.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),4.0,1.0,4.0,1.0,1.0,1.0,1.0,(undefined),(undefined),4.0,1.0,4.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),154.69661733256106,1.263990314994211,154.69661733342585,71.38310444067672,44.775015738241315,46.84033232787565,(undefined),(undefined),154.69661733256106,1.263990314994211,114.56031685547225,71.38310444067672,44.775015738241315,46.84033232787565,(undefined),(undefined),154.69661733256106,1.263990314994211,114.56031685547225,71.38310444067672,44.775015738241315,46.84033232787565,(undefined),(undefined),71.0347720562883,1.000000253032738,(undefined),(undefined),7.877592987511781,1.0000000871799288,(undefined),(undefined),3.956213629263873,1.0000000523878816,(undefined),(undefined),71.0347720562883,1.000000253032738,(undefined),(undefined),8.817034482473552,1.0000001020659488,(undefined),(undefined),5.11212968834543,1.000000093877826,5.112129688108742,10.002745945867005,7.828496530918313,4.24675985409871,(undefined),4.106944511653438,1.0000000510442593,4.686368964783678,8.294855296037534,4.8693883033949765,2.4469887845795406,(undefined),3.656291378900807,1.000000053241327,4.090472728386597,7.344159163551015,4.469550263638873,2.361353957378191,(undefined),7.877592987511781,1.0000000871799288,(undefined),(undefined),6.998374497540461,1.0000000391789428,6.998374497908401,2.828408564106425,1.0000000270635034,(undefined),8.253992786271972,1.0000001020724416,10.270712882031638,12.116881779993475,5.603929430111539,(undefined),18.730991241672726,1.0000001589132652,23.319167101850415,14.254801454822136,(undefined),8.253992786271972,1.0000001020724416,7.456917857621352,12.116881780002316,5.603929496995152,(undefined),8.253992786271972,1.0000001020724416,8.253993239693743,12.116881780002316,5.603929316930582,(undefined),8.253992786271972,1.0000001020724416,8.253993239693743,12.116881780002316,5.603929316930582,(undefined),7.853103997085303,1.0000000391753365,4.874845410557236,3.173933653582886,1.0000000250500998,(undefined),7.853103997085303,1.0000000391753365,7.853103762577062,3.173933653582886,1.0000000250500998,(undefined),167.67861119346867,1.3648196497058434,167.67861119344718,77.38700131762104,73.86984810571619,48.43152244615046,22.040664034484983,(undefined),(undefined),18.730991241672726,1.0000001589132652,18.730991237029073,27.467905024439755,23.31916710134455,15.634974533260985,5.033665391291298,(undefined),(undefined),8.817034482473552,1.0000001020659488,8.817034786401726,12.912770107320295,10.957936738416201,7.320406492372533,2.5180584959104535,(undefined),(undefined),10.076642671251722,1.0000000391573907,10.076642497789418,4.104640252853219,3.1717848995591194,1.9313986543942774,1.000000020724375,(undefined),(undefined),7.991180924085637,1.0000000391678248,7.991180654624066,3.20311009783744,2.525088465650207,1.5361811465749602,1.0000000172756909,(undefined),(undefined),5.152710304866745,1.0000000391780826,5.152710143800967,2.433808015640539,1.7383776377418438,1.0000000289261635,1.0000000293487632,(undefined),(undefined),3.3196677924127345,1.0000000209175053,3.3196676817816573,1.493124277788891,1.0000000275957297,1.000000016523741,1.0000000270124627,(undefined)
w-stacking planes predict,(undefined),154.69661733256106,1.263990314994211,154.69661733342585,71.38310444067672,44.775015738241315,46.84033232787565,(undefined),(undefined),154.69661733256106,1.263990314994211,114.56031685547225,71.38310444067672,44.775015738241315,46.84033232787565,(undefined),(undefined),154.69661733256106,1.263990314994211,114.56031685547225,71.38310444067672,44.775015738241315,46.84033232787565,(undefined),(undefined),71.0347720562883,1.000000253032738,(undefined),(undefined),7.877592987511781,1.0000000871799288,(undefined),(undefined),3.956213629263873,1.0000000523878816,(undefined),(undefined),71.0347720562883,1.000000253032738,(undefined),(undefined),8.817034482473552,1.0000001020659488,(undefined),(undefined),5.11212968834543,1.000000093877826,5.112129688108742,10.002745945867005,7.828496530918313,4.24675985409871,(undefined),4.106944511653438,1.0000000510442593,4.686368964783678,8.294855296037534,4.8693883033949765,2.4469887845795406,(undefined),3.656291378900807,1.000000053241327,4.090472728386597,7.344159163551015,4.469550263638873,2.361353957378191,(undefined),7.877592987511781,1.0000000871799288,(undefined),(undefined),6.998374497540461,1.0000000391789428,6.998374497908401,2.828408564106425,1.0000000270635034,(undefined),8.253992786271972,1.0000001020724416,10.270712882031638,12.116881779993475,5.603929430111539,(undefined),18.730991241672726,1.0000001589132652,23.319167101850415,14.254801454822136,(undefined),8.253992786271972,1.0000001020724416,7.456917857621352,12.116881780002316,5.603929496995152,(undefined),8.253992786271972,1.0000001020724416,8.253993239693743,12.116881780002316,5.603929316930582,(undefined),8.253992786271972,1.0000001020724416,8.253993239693743,12.116881780002316,5.603929316930582,(undefined),7.853103997085303,1.0000000391753365,4.874845410557236,3.173933653582886,1.0000000250500998,(undefined),7.853103997085303,1.0000000391753365,7.853103762577062,3.173933653582886,1.0000000250500998,(undefined),167.67861119346867,1.3648196497058434,167.67861119344718,77.38700131762104,73.86984810571619,48.43152244615046,22.040664034484983,(undefined),(undefined),18.730991241672726,1.0000001589132652,18.730991237029073,27.467905024439755,23.31916710134455,15.634974533260985,5.033665391291298,(undefined),(undefined),8.817034482473552,1.0000001020659488,8.817034786401726,12.912770107320295,10.957936738416201,7.320406492372533,2.5180584959104535,(undefined),(undefined),10.076642671251722,1.0000000391573907,10.076642497789418,4.104640252853219,3.1717848995591194,1.9313986543942774,1.000000020724375,(undefined),(undefined),7.991180924085637,1.0000000391678248,7.991180654624066,3.20311009783744,2.525088465650207,1.5361811465749602,1.0000000172756909,(undefined),(undefined),5.152710304866745,1.0000000391780826,5.152710143800967,2.433808015640539,1.7383776377418438,1.0000000289261635,1.0000000293487632,(undefined),(undefined),3.3196677924127345,1.0000000209175053,3.3196676817816573,1.493124277788891,1.0000000275957297,1.000000016523741,1.0000000270124627,(undefined)
Stations/antennas,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
