,hpso01 (Ingest) [Na=256],hpso01 (RCAL) [Na=256],hpso01 (FastImg) [Na=256],hpso01 (ICAL) [Na=256],hpso01 (DPrepA) [Na=256],hpso01 (DPrepB) [Na=256],hpso01 (DPrepC) [Na=256],hpso01 (DPrepD) [Na=256],hpso02a (Ingest) [Na=256],hpso02a (RCAL) [Na=256],hpso02a (FastImg) [Na=256],hpso02a (ICAL) [Na=256],hpso02a (DPrepA) [Na=256],hpso02a (DPrepB) [Na=256],hpso02a (DPrepC) [Na=256],hpso02a (DPrepD) [Na=256],hpso02b (Ingest) [Na=256],hpso02b (RCAL) [Na=256],hpso02b (FastImg) [Na=256],hpso02b (ICAL) [Na=256],hpso02b (DPrepA) [Na=256],hpso02b (DPrepB) [Na=256],hpso02b (DPrepC) [Na=256],hpso02b (DPrepD) [Na=256],hpso04a (Ingest) [Nf_max=8192] [Na=256],hpso04a (RCAL) [Nf_max=8192] [Na=256],hpso04a (FastImg) [Nf_max=8192] [Na=256],hpso04a (PSS) [Nf_max=8192] [Na=256],hpso05a (Ingest) [Nf_max=8192] [Na=256],hpso05a (RCAL) [Nf_max=8192] [Na=256],hpso05a (FastImg) [Nf_max=8192] [Na=256],hpso05a (PST) [Nf_max=8192] [Na=256],max_low (Ingest) [Nf_max=8192] [Na=256],max_low (RCAL) [Nf_max=8192] [Na=256],max_low (FastImg) [Nf_max=8192] [Na=256],max_low (ICAL) [Nf_max=8192] [Na=256],max_low (DPrepA) [Nf_max=8192] [Na=256],max_low (DPrepA_Image) [Nf_max=8192] [Na=256],max_low (DPrepB) [Nf_max=8192] [Na=256],max_low (DPrepC) [Nf_max=8192] [Na=256],max_low (DPrepD) [Nf_max=8192] [Na=256]
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,8.1,10.0,10.0,7.2,,,10.0,1.0,8.1,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,7.2,7.2,3.6,,,10.0,1.0,3.6,7.2,7.2,3.6,,,10.0,1.0,3.6,7.2,7.2,3.6,,,10.0,1.0,,,10.0,1.0,,,9.0,1.0,9.0,7.2,7.2,7.2,3.6,
Coalesce time bw3 [s],,5.4,1.0,5.4,3.6,3.6,1.8,,,5.4,1.0,1.8,3.6,3.6,1.8,,,5.4,1.0,1.8,3.6,3.6,1.8,,,5.4,1.0,,,5.4,1.0,,,4.5,1.0,4.5,3.6,3.6,3.6,1.8,
Coalesce time bw4 [s],,2.7,0.9,2.7,1.8,1.8,0.9,,,2.7,0.9,0.9,1.8,1.8,0.9,,,2.7,0.9,0.9,1.8,1.8,0.9,,,2.7,0.9,,,2.7,0.9,,,1.8,0.9,1.8,1.8,1.8,1.8,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),52.0,1.1111111111111112,52.0,33.0,33.0,17.0,(undefined),(undefined),52.0,1.1111111111111112,18.0,33.0,33.0,17.0,(undefined),(undefined),52.0,1.1111111111111112,18.0,33.0,33.0,17.0,(undefined),(undefined),52.0,1.1111111111111112,(undefined),(undefined),52.0,1.1111111111111112,(undefined),(undefined),41.0,1.1111111111111112,41.0,33.0,33.0,33.0,17.0,(undefined)
Combined samples facet1,,26.0,1.1111111111111112,26.0,16.0,16.0,8.0,,,26.0,1.1111111111111112,9.0,16.0,16.0,8.0,,,26.0,1.1111111111111112,9.0,16.0,16.0,8.0,,,26.0,1.1111111111111112,,,26.0,1.1111111111111112,,,20.0,1.1111111111111112,20.0,16.0,16.0,16.0,8.0,
Combined samples facet2,,13.0,1.1111111111111112,13.0,8.0,8.0,4.0,,,13.0,1.1111111111111112,4.0,8.0,8.0,4.0,,,13.0,1.1111111111111112,4.0,8.0,8.0,4.0,,,13.0,1.1111111111111112,,,13.0,1.1111111111111112,,,10.0,1.1111111111111112,10.0,8.0,8.0,8.0,4.0,
Combined samples facet3,,6.0,1.1111111111111112,6.0,4.0,4.0,2.0,,,6.0,1.1111111111111112,2.0,4.0,4.0,2.0,,,6.0,1.1111111111111112,2.0,4.0,4.0,2.0,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,,,5.0,1.1111111111111112,5.0,4.0,4.0,4.0,2.0,
Combined samples facet4,,3.0,1.0,3.0,2.0,2.0,1.0,,,3.0,1.0,1.0,2.0,2.0,1.0,,,3.0,1.0,1.0,2.0,2.0,1.0,,,3.0,1.0,,,3.0,1.0,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),1.8878783480489507,32.55476508226232,1.8878783480128996,2.6893983755742354,2.3460483895360564,2.994998670985395,(undefined),(undefined),1.8878783480489507,32.55476508226232,3.8400153261742873,2.6893983755742354,2.3460483895360564,2.994998670985395,(undefined),(undefined),1.8878783480489507,32.55476508226232,3.8400153261742873,2.6893983755742354,2.3460483895360564,2.994998670985395,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),2.328249067145324,32.567468020591605,2.3282490671361837,2.7668100213832587,2.7401756908263426,2.457617961267347,9.7402751999691,(undefined)
Visibilities kernel pred1,,3.772455914906424,64.99502025817469,3.7724559148343846,5.375746933634434,4.6894363255178275,6.579841338591774,,,3.772455914906424,64.99502025817469,9.47853034711201,5.375746933634434,4.6894363255178275,6.579841338591774,,,3.772455914906424,64.99502025817469,9.47853034711201,5.375746933634434,4.6894363255178275,6.579841338591774,,,3.860387565245547,65.24680525561551,,,3.860387565245547,65.24680525561551,,,4.653241026604404,65.03229589341818,4.653241026586136,5.530483579697483,5.477245111330357,4.912449960392827,9.191989258590029,
Visibilities kernel pred2,,7.541609605212118,128.46894958994176,7.5416096050681025,14.92839331232679,13.02251589308226,26.315521517946078,,,7.541609605212118,128.46894958994176,42.64666030406303,14.92839331232679,13.02251589308226,26.315521517946078,,,7.541609605212118,128.46894958994176,42.64666030406303,14.92839331232679,13.02251589308226,26.315521517946078,,,7.717404653621488,130.1123243148036,,,7.717404653621488,130.1123243148036,,,10.336915339987723,128.72715467010218,10.336915339947142,15.358096954442303,15.210254266347196,13.641823845662007,16.88012166437082,
Visibilities kernel pred3,,27.925770857441577,203.77509618259774,27.925770856908304,59.70509792910915,52.08267027891372,90.87047819523094,,,27.925770857441577,203.77509618259774,159.01441470466528,59.70509792910915,52.08267027891372,90.87047819523094,,,27.925770857441577,203.77509618259774,159.01441470466528,59.70509792910915,52.08267027891372,90.87047819523094,,,28.576737212090723,254.60091587588127,,,28.576737212090723,254.60091587588127,,,41.3404195428781,146.81887351904282,41.34041954271581,61.42367171443133,60.83238486646634,54.55955330713511,33.76024332874164,
Visibilities kernel pred4,,111.69084895164953,150.57923886602165,111.69084894951668,200.36056273642117,174.7809397832158,181.7409563904619,,,111.69084895164953,150.57923886602165,318.02882940933057,200.36056273642117,174.7809397832158,181.7409563904619,,,111.69084895164953,150.57923886602165,318.02882940933057,200.36056273642117,174.7809397832158,181.7409563904619,,,114.29446151162975,343.8998914844037,,,114.29446151162975,343.8998914844037,,,152.461713010652,111.8363352762278,152.46171301005347,146.79496198606293,145.38185970892428,130.39056979421443,67.52048665748327,
Visibilities kernel bw0,(undefined),1.8878783480489507,32.55476508226232,1.8878783480128996,2.6893983755742354,2.3460483895360564,2.994998670985395,(undefined),(undefined),1.8878783480489507,32.55476508226232,3.8400153261742873,2.6893983755742354,2.3460483895360564,2.994998670985395,(undefined),(undefined),1.8878783480489507,32.55476508226232,3.8400153261742873,2.6893983755742354,2.3460483895360564,2.994998670985395,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),2.328249067145324,32.567468020591605,2.3282490671361837,2.7668100213832587,2.7401756908263426,2.457617961267347,9.7402751999691,(undefined)
Visibilities kernel bw1,,3.772455914906424,64.99502025817469,3.7724559148343846,5.375746933634434,4.6894363255178275,6.579841338591774,,,3.772455914906424,64.99502025817469,9.47853034711201,5.375746933634434,4.6894363255178275,6.579841338591774,,,3.772455914906424,64.99502025817469,9.47853034711201,5.375746933634434,4.6894363255178275,6.579841338591774,,,3.860387565245547,65.24680525561551,,,3.860387565245547,65.24680525561551,,,4.653241026604404,65.03229589341818,4.653241026586136,5.530483579697483,5.477245111330357,4.912449960392827,9.191989258590029,
Visibilities kernel bw2,,7.541609605212118,128.46894958994176,7.5416096050681025,14.92839331232679,13.02251589308226,26.315521517946078,,,7.541609605212118,128.46894958994176,42.64666030406303,14.92839331232679,13.02251589308226,26.315521517946078,,,7.541609605212118,128.46894958994176,42.64666030406303,14.92839331232679,13.02251589308226,26.315521517946078,,,7.717404653621488,130.1123243148036,,,7.717404653621488,130.1123243148036,,,10.336915339987723,128.72715467010218,10.336915339947142,15.358096954442303,15.210254266347196,13.641823845662007,16.88012166437082,
Visibilities kernel bw3,,27.925770857441577,203.77509618259774,27.925770856908304,59.70509792910915,52.08267027891372,90.87047819523094,,,27.925770857441577,203.77509618259774,159.01441470466528,59.70509792910915,52.08267027891372,90.87047819523094,,,27.925770857441577,203.77509618259774,159.01441470466528,59.70509792910915,52.08267027891372,90.87047819523094,,,28.576737212090723,254.60091587588127,,,28.576737212090723,254.60091587588127,,,41.3404195428781,146.81887351904282,41.34041954271581,61.42367171443133,60.83238486646634,54.55955330713511,33.76024332874164,
Visibilities kernel bw4,,111.69084895164953,150.57923886602165,111.69084894951668,200.36056273642117,174.7809397832158,181.7409563904619,,,111.69084895164953,150.57923886602165,318.02882940933057,200.36056273642117,174.7809397832158,181.7409563904619,,,111.69084895164953,150.57923886602165,318.02882940933057,200.36056273642117,174.7809397832158,181.7409563904619,,,114.29446151162975,343.8998914844037,,,114.29446151162975,343.8998914844037,,,152.461713010652,111.8363352762278,152.46171301005347,146.79496198606293,145.38185970892428,130.39056979421443,67.52048665748327,
Oversampling used pred0,(undefined),1.8747753055592256,25.671297738388773,1.8747753055239542,2.6540301604916934,2.321421917219787,2.9485607529007183,(undefined),(undefined),1.8747753055592256,25.671297738388773,3.755628360223355,2.6540301604916934,2.321421917219787,2.9485607529007183,(undefined),(undefined),1.8747753055592256,25.671297738388773,3.755628360223355,2.6540301604916934,2.321421917219787,2.9485607529007183,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),2.3041303665056176,25.678964643980194,2.304130366496736,2.728771846327838,2.7030664261959387,2.4296983375875456,9.101295403625677,(undefined)
Oversampling used pred1,,3.6914972674925437,41.00404563732292,3.6914972674241255,5.195175451781843,4.556150201141854,6.299756525579987,,,3.6914972674925437,41.00404563732292,8.87453308083834,5.195175451781843,4.556150201141854,6.299756525579987,,,3.6914972674925437,41.00404563732292,8.87453308083834,5.195175451781843,4.556150201141854,6.299756525579987,,,3.774953419203605,41.09504865417958,,,3.774953419203605,41.09504865417958,,,4.522256567607556,41.01754099116667,4.522256567590446,5.338299410754139,5.289095737603333,4.764556660584468,8.625214472342364,
Oversampling used pred2,,7.167114788516464,55.53696204160445,7.167114788387565,13.408406986247996,11.866910910289612,21.713966395740847,,,7.167114788516464,55.53696204160445,31.303492974935146,13.408406986247996,11.866910910289612,21.713966395740847,,,7.167114788516464,55.53696204160445,31.303492974935146,13.408406986247996,11.866910910289612,21.713966395740847,,,7.324238078096471,55.753179318800974,,,7.324238078096471,55.753179318800974,,,9.6147133853839,55.57130546895441,9.614713385349148,13.749610901153986,13.632477647445178,12.372897763424092,14.939761425879652,
Oversampling used pred3,,22.772806489643493,61.414910507046415,22.77280648929726,39.00624763205795,35.81847560442198,48.70046623779365,,,22.772806489643493,61.414910507046415,58.76866074231583,39.00624763205795,35.81847560442198,48.70046623779365,,,22.772806489643493,61.414910507046415,58.76866074231583,39.00624763205795,35.81847560442198,48.70046623779365,,,23.193294240358718,62.838935826255636,,,23.193294240358718,62.838935826255636,,,30.623922555326843,57.66096179967834,30.623922555241535,39.67362445934908,39.4460442585283,36.896584264140095,26.392077985162402,
Oversampling used pred4,,52.977532122333045,58.02545778762338,52.97753212196281,61.27209635380069,59.91888411426608,60.342566666548564,,,52.977532122333045,58.02545778762338,63.57239202454707,61.27209635380069,59.91888411426608,60.342566666548564,,,52.977532122333045,58.02545778762338,63.57239202454707,61.27209635380069,59.91888411426608,60.342566666548564,,,53.42034196585547,63.71548666904908,,,53.42034196585547,63.71548666904908,,,58.19997862497955,53.002757567447276,58.19997862492488,57.65857427531352,57.51586995495535,55.78923707906445,41.90069065196709,
Oversampling used bw0,(undefined),1.8747753055592256,25.671297738388773,1.8747753055239542,2.6540301604916934,2.321421917219787,2.9485607529007183,(undefined),(undefined),1.8747753055592256,25.671297738388773,3.755628360223355,2.6540301604916934,2.321421917219787,2.9485607529007183,(undefined),(undefined),1.8747753055592256,25.671297738388773,3.755628360223355,2.6540301604916934,2.321421917219787,2.9485607529007183,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),2.3041303665056176,25.678964643980194,2.304130366496736,2.728771846327838,2.7030664261959387,2.4296983375875456,9.101295403625677,(undefined)
Oversampling used bw1,,3.6914972674925437,41.00404563732292,3.6914972674241255,5.195175451781843,4.556150201141854,6.299756525579987,,,3.6914972674925437,41.00404563732292,8.87453308083834,5.195175451781843,4.556150201141854,6.299756525579987,,,3.6914972674925437,41.00404563732292,8.87453308083834,5.195175451781843,4.556150201141854,6.299756525579987,,,3.774953419203605,41.09504865417958,,,3.774953419203605,41.09504865417958,,,4.522256567607556,41.01754099116667,4.522256567590446,5.338299410754139,5.289095737603333,4.764556660584468,8.625214472342364,
Oversampling used bw2,,7.167114788516464,55.53696204160445,7.167114788387565,13.408406986247996,11.866910910289612,21.713966395740847,,,7.167114788516464,55.53696204160445,31.303492974935146,13.408406986247996,11.866910910289612,21.713966395740847,,,7.167114788516464,55.53696204160445,31.303492974935146,13.408406986247996,11.866910910289612,21.713966395740847,,,7.324238078096471,55.753179318800974,,,7.324238078096471,55.753179318800974,,,9.6147133853839,55.57130546895441,9.614713385349148,13.749610901153986,13.632477647445178,12.372897763424092,14.939761425879652,
Oversampling used bw3,,22.772806489643493,61.414910507046415,22.77280648929726,39.00624763205795,35.81847560442198,48.70046623779365,,,22.772806489643493,61.414910507046415,58.76866074231583,39.00624763205795,35.81847560442198,48.70046623779365,,,22.772806489643493,61.414910507046415,58.76866074231583,39.00624763205795,35.81847560442198,48.70046623779365,,,23.193294240358718,62.838935826255636,,,23.193294240358718,62.838935826255636,,,30.623922555326843,57.66096179967834,30.623922555241535,39.67362445934908,39.4460442585283,36.896584264140095,26.392077985162402,
Oversampling used bw4,,52.977532122333045,58.02545778762338,52.97753212196281,61.27209635380069,59.91888411426608,60.342566666548564,,,52.977532122333045,58.02545778762338,63.57239202454707,61.27209635380069,59.91888411426608,60.342566666548564,,,52.977532122333045,58.02545778762338,63.57239202454707,61.27209635380069,59.91888411426608,60.342566666548564,,,53.42034196585547,63.71548666904908,,,53.42034196585547,63.71548666904908,,,58.19997862497955,53.002757567447276,58.19997862492488,57.65857427531352,57.51586995495535,55.78923707906445,41.90069065196709,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),396.0980287317132,1186.6956875807953,396.0980287317132,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),695.0020427868894,1666.3443177517802,695.0020427868894,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,791.5035165883376,2372.6984303939844,791.5035165883376,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,485.0159097761033,1453.9394929925988,,,485.0159097761033,1453.9394929925988,,,1389.0318113753438,3331.7159644487933,1389.0318113753438,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,1582.3141894581538,4744.703814848597,1582.3141894581538,2441.466451169051,2441.466451169051,4744.703814848597,,,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,969.6083556181683,2907.4553987723175,,,969.6083556181683,2907.4553987723175,,,2777.0910083918284,6662.459115881312,2777.0910083918284,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels predict, no-smear3",,3163.935383545188,9488.714533153065,3163.935383545188,4882.239853545328,4882.239853545328,9488.714533153065,,,3163.935383545188,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,3163.935383545188,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,1938.7931548514175,5814.487179478897,,,1938.7931548514175,5814.487179478897,,,5553.209232136797,13323.945347729323,5553.209232136797,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels predict, no-smear4",,6327.177695833534,18976.73594444234,6327.177695833534,9763.786609120725,9763.786609120725,18976.73594444234,,,6327.177695833534,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,6327.177695833534,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,3877.1627070570735,11628.550725478857,,,3877.1627070570735,11628.550725478857,,,11105.445594430317,26646.917775907757,11105.445594430317,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
"Channels backward, no-smear0",(undefined),396.0980287317132,1186.6956875807953,396.0980287317132,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),695.0020427868894,1666.3443177517802,695.0020427868894,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,791.5035165883376,2372.6984303939844,791.5035165883376,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,485.0159097761033,1453.9394929925988,,,485.0159097761033,1453.9394929925988,,,1389.0318113753438,3331.7159644487933,1389.0318113753438,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,1582.3141894581538,4744.703814848597,1582.3141894581538,2441.466451169051,2441.466451169051,4744.703814848597,,,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,969.6083556181683,2907.4553987723175,,,969.6083556181683,2907.4553987723175,,,2777.0910083918284,6662.459115881312,2777.0910083918284,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear3",,3163.935383545188,9488.714533153065,3163.935383545188,4882.239853545328,4882.239853545328,9488.714533153065,,,3163.935383545188,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,3163.935383545188,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,1938.7931548514175,5814.487179478897,,,1938.7931548514175,5814.487179478897,,,5553.209232136797,13323.945347729323,5553.209232136797,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels backward, no-smear4",,6327.177695833534,18976.73594444234,6327.177695833534,9763.786609120725,9763.786609120725,18976.73594444234,,,6327.177695833534,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,6327.177695833534,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,3877.1627070570735,11628.550725478857,,,3877.1627070570735,11628.550725478857,,,11105.445594430317,26646.917775907757,11105.445594430317,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
Frequencies predict ifft,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,200.0,200,200.0,200.0,8192.0,8192.0,200.0,40.0,(undefined),8192.0,200.0,40.0,(undefined),8192.0,200.0,40.0,200.0,200,200.0,200.0,200.0,8192.0
Frequencies predict kernels0,(undefined),209.81120374682257,364.52288461678205,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,(undefined),(undefined),209.81120374682257,364.52288461678205,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,(undefined),(undefined),209.81120374682257,364.52288461678205,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),298.5084596808341,511.6591552951528,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,841.0439984309672,(undefined)
Frequencies predict kernels1,,209.81120374682257,365.0584953999703,209.81120375082915,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,365.0584953999703,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,209.81120374682257,365.0584953999703,286.2074560701815,227.146053542393,260.38944044790827,500.83494678362564,,,125.6391752327212,222.83688638800666,,,125.6391752327212,222.83688638800666,,,298.5084596808341,512.317136997464,298.50845968200593,310.0318328052161,313.04532217589605,349.03682975646063,1237.7927625562772,
