,hpso01 (Ingest) [Na=32],hpso01 (RCAL) [Na=32],hpso01 (FastImg) [Na=32],hpso01 (ICAL) [Na=32],hpso01 (DPrepA) [Na=32],hpso01 (DPrepB) [Na=32],hpso01 (DPrepC) [Na=32],hpso01 (DPrepD) [Na=32],hpso02a (Ingest) [Na=32],hpso02a (RCAL) [Na=32],hpso02a (FastImg) [Na=32],hpso02a (ICAL) [Na=32],hpso02a (DPrepA) [Na=32],hpso02a (DPrepB) [Na=32],hpso02a (DPrepC) [Na=32],hpso02a (DPrepD) [Na=32],hpso02b (Ingest) [Na=32],hpso02b (RCAL) [Na=32],hpso02b (FastImg) [Na=32],hpso02b (ICAL) [Na=32],hpso02b (DPrepA) [Na=32],hpso02b (DPrepB) [Na=32],hpso02b (DPrepC) [Na=32],hpso02b (DPrepD) [Na=32],hpso04a (Ingest) [Nf_max=32768] [Na=32],hpso04a (RCAL) [Nf_max=32768] [Na=32],hpso04a (FastImg) [Nf_max=32768] [Na=32],hpso04a (PSS) [Nf_max=32768] [Na=32],hpso05a (Ingest) [Nf_max=32768] [Na=32],hpso05a (RCAL) [Nf_max=32768] [Na=32],hpso05a (FastImg) [Nf_max=32768] [Na=32],hpso05a (PST) [Nf_max=32768] [Na=32],max_low (Ingest) [Nf_max=32768] [Na=32],max_low (RCAL) [Nf_max=32768] [Na=32],max_low (FastImg) [Nf_max=32768] [Na=32],max_low (ICAL) [Nf_max=32768] [Na=32],max_low (DPrepA) [Nf_max=32768] [Na=32],max_low (DPrepA_Image) [Nf_max=32768] [Na=32],max_low (DPrepB) [Nf_max=32768] [Na=32],max_low (DPrepC) [Nf_max=32768] [Na=32],max_low (DPrepD) [Nf_max=32768] [Na=32]
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,10.0,10.0,10.0,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,3.6,
Coalesce time bw3 [s],,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,10.0,10.0,9.0,1.8,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,9.0,1.8,
Coalesce time bw4 [s],,7.2,0.9,5.4,7.2,4.5,0.9,,,7.2,0.9,5.4,7.2,4.5,0.9,,,7.2,0.9,5.4,7.2,4.5,0.9,,,5.4,0.9,,,5.4,0.9,,,6.3,0.9,5.4,6.3,7.2,4.5,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),136.0,1.1111111111111112,104.0,141.0,84.0,17.0,(undefined),(undefined),136.0,1.1111111111111112,109.0,141.0,84.0,17.0,(undefined),(undefined),136.0,1.1111111111111112,109.0,141.0,84.0,17.0,(undefined),(undefined),104.0,1.1111111111111112,(undefined),(undefined),104.0,1.1111111111111112,(undefined),(undefined),115.0,1.1111111111111112,104.0,113.0,141.0,84.0,17.0,(undefined)
Combined samples facet1,,68.0,1.1111111111111112,52.0,70.0,42.0,8.0,,,68.0,1.1111111111111112,54.0,70.0,42.0,8.0,,,68.0,1.1111111111111112,54.0,70.0,42.0,8.0,,,52.0,1.1111111111111112,,,52.0,1.1111111111111112,,,57.0,1.1111111111111112,52.0,56.0,70.0,42.0,8.0,
Combined samples facet2,,34.0,1.1111111111111112,26.0,35.0,21.0,4.0,,,34.0,1.1111111111111112,27.0,35.0,21.0,4.0,,,34.0,1.1111111111111112,27.0,35.0,21.0,4.0,,,26.0,1.1111111111111112,,,26.0,1.1111111111111112,,,28.0,1.1111111111111112,26.0,28.0,35.0,21.0,4.0,
Combined samples facet3,,17.0,1.1111111111111112,13.0,17.0,10.0,2.0,,,17.0,1.1111111111111112,13.0,17.0,10.0,2.0,,,17.0,1.1111111111111112,13.0,17.0,10.0,2.0,,,13.0,1.1111111111111112,,,13.0,1.1111111111111112,,,14.0,1.1111111111111112,13.0,14.0,17.0,10.0,2.0,
Combined samples facet4,,8.0,1.0,6.0,8.0,5.0,1.0,,,8.0,1.0,6.0,8.0,5.0,1.0,,,8.0,1.0,6.0,8.0,5.0,1.0,,,6.0,1.0,,,6.0,1.0,,,7.0,1.0,6.0,7.0,8.0,5.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),0.8015029265176485,32.55476508226232,1.0233338911585295,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.8015029265176485,32.55476508226232,0.9788708825734973,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.8015029265176485,32.55476508226232,0.9788708825734973,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),0.9408992864762246,32.567468020591605,1.0276478670677662,0.9571422050729189,0.7746757042985002,1.8018978810409318,38.9611007998764,(undefined)
Visibilities kernel pred1,,1.5587474196323787,64.99502025817469,1.9371075159407198,1.5074275096577814,2.2919237258358853,3.532105786577506,,,1.5587474196323787,64.99502025817469,1.8650086451069634,1.5074275096577814,2.2919237258358853,3.532105786577506,,,1.5587474196323787,64.99502025817469,1.8650086451069634,1.5074275096577814,2.2919237258358853,3.532105786577506,,,2.0694168099287844,65.24680525561551,,,2.0694168099287844,65.24680525561551,,,1.8111472215019828,65.03229589341818,1.9570259423310246,1.83897877891184,1.5145989183118262,2.278825779051935,36.767957034360116,
Visibilities kernel pred2,,2.9134719627080075,128.46894958994176,3.4119383072954332,2.8351366903916477,3.686019680209894,12.127799500384338,,,2.9134719627080075,128.46894958994176,3.3288859295776225,2.8351366903916477,3.686019680209894,12.127799500384338,,,2.9134719627080075,128.46894958994176,3.3288859295776225,2.8351366903916477,3.686019680209894,12.127799500384338,,,3.985020801811123,130.1123243148036,,,3.985020801811123,130.1123243148036,,,3.304782185604512,128.72715467010218,3.489281640529314,3.3416778734512618,2.8678325170619248,3.8081280539118456,46.11941747336113,
Visibilities kernel pred3,,5.0045708847711134,236.03072712920883,5.703027987795917,4.927407341326682,5.910880427502227,48.50765479367881,,,5.0045708847711134,236.03072712920883,5.303069327728902,4.927407341326682,5.910880427502227,48.50765479367881,,,5.0045708847711134,236.03072712920883,5.303069327728902,4.927407341326682,5.910880427502227,48.50765479367881,,,7.264849131799506,254.60091587588127,,,7.264849131799506,254.60091587588127,,,5.445105878135487,238.794756687367,6.071769474123094,5.7406080013133005,5.049802216234254,6.207949077841226,55.649291930868436,
Visibilities kernel pred4,,12.211313116194306,348.81623171619935,21.117700480106652,11.941813986016408,20.872961795583407,194.02353250012277,,,12.211313116194306,348.81623171619935,18.87193258228052,11.941813986016408,20.872961795583407,194.02353250012277,,,12.211313116194306,348.81623171619935,18.87193258228052,11.941813986016408,20.872961795583407,194.02353250012277,,,22.121356819046408,488.16617752926845,,,22.121356819046408,488.16617752926845,,,16.555910032261032,363.7809731595631,22.48311241525944,18.21984416531445,12.720987561131084,22.89748063194871,92.29572694990934,
Visibilities kernel bw0,(undefined),0.8015029265176485,32.55476508226232,1.0233338911585295,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.8015029265176485,32.55476508226232,0.9788708825734973,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),0.8015029265176485,32.55476508226232,0.9788708825734973,0.7731460517120633,2.5119017415419984,2.397351305984066,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),1.05083711676933,32.64426593397331,(undefined),(undefined),0.9408992864762246,32.567468020591605,1.0276478670677662,0.9571422050729189,0.7746757042985002,1.8018978810409318,38.9611007998764,(undefined)
Visibilities kernel bw1,,1.5587474196323787,64.99502025817469,1.9371075159407198,1.5074275096577814,2.2919237258358853,3.532105786577506,,,1.5587474196323787,64.99502025817469,1.8650086451069634,1.5074275096577814,2.2919237258358853,3.532105786577506,,,1.5587474196323787,64.99502025817469,1.8650086451069634,1.5074275096577814,2.2919237258358853,3.532105786577506,,,2.0694168099287844,65.24680525561551,,,2.0694168099287844,65.24680525561551,,,1.8111472215019828,65.03229589341818,1.9570259423310246,1.83897877891184,1.5145989183118262,2.278825779051935,36.767957034360116,
Visibilities kernel bw2,,2.9134719627080075,128.46894958994176,3.4119383072954332,2.8351366903916477,3.686019680209894,12.127799500384338,,,2.9134719627080075,128.46894958994176,3.3288859295776225,2.8351366903916477,3.686019680209894,12.127799500384338,,,2.9134719627080075,128.46894958994176,3.3288859295776225,2.8351366903916477,3.686019680209894,12.127799500384338,,,3.985020801811123,130.1123243148036,,,3.985020801811123,130.1123243148036,,,3.304782185604512,128.72715467010218,3.489281640529314,3.3416778734512618,2.8678325170619248,3.8081280539118456,46.11941747336113,
Visibilities kernel bw3,,5.0045708847711134,236.03072712920883,5.703027987795917,4.927407341326682,5.910880427502227,48.50765479367881,,,5.0045708847711134,236.03072712920883,5.303069327728902,4.927407341326682,5.910880427502227,48.50765479367881,,,5.0045708847711134,236.03072712920883,5.303069327728902,4.927407341326682,5.910880427502227,48.50765479367881,,,7.264849131799506,254.60091587588127,,,7.264849131799506,254.60091587588127,,,5.445105878135487,238.794756687367,6.071769474123094,5.7406080013133005,5.049802216234254,6.207949077841226,55.649291930868436,
Visibilities kernel bw4,,12.211313116194306,348.81623171619935,21.117700480106652,11.941813986016408,20.872961795583407,194.02353250012277,,,12.211313116194306,348.81623171619935,18.87193258228052,11.941813986016408,20.872961795583407,194.02353250012277,,,12.211313116194306,348.81623171619935,18.87193258228052,11.941813986016408,20.872961795583407,194.02353250012277,,,22.121356819046408,488.16617752926845,,,22.121356819046408,488.16617752926845,,,16.555910032261032,363.7809731595631,22.48311241525944,18.21984416531445,12.720987561131084,22.89748063194871,92.29572694990934,
Oversampling used pred0,(undefined),0.8027536898356047,25.671297738388773,1.0231463851207607,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.8027536898356047,25.671297738388773,0.9790333322055815,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.8027536898356047,25.671297738388773,0.9790333322055815,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),0.941336138439496,25.678964643980194,1.0274247633188978,0.9574644363783236,0.776048181021963,1.7905975999528536,29.349583003602447,(undefined)
Oversampling used pred1,,1.551927427021532,41.00404563732292,1.9229209915749337,1.501436227770732,2.268826256124001,3.462789801152965,,,1.551927427021532,41.00404563732292,1.8523962395869518,1.501436227770732,2.268826256124001,3.462789801152965,,,1.551927427021532,41.00404563732292,1.8523962395869518,1.501436227770732,2.268826256124001,3.462789801152965,,,2.052133481248788,41.09504865417958,,,2.052133481248788,41.09504865417958,,,1.7996584807274942,41.01754099116667,1.9423904304598452,1.826914997622616,1.508494285963046,2.2560915830968966,28.13190538355017,
Oversampling used pred2,,2.870125754449802,55.53696204160445,3.3481182710164816,2.7946662373035593,3.6093477045008626,11.127139796151724,,,2.870125754449802,55.53696204160445,3.2687374390237665,2.7946662373035593,3.6093477045008626,11.127139796151724,,,2.870125754449802,55.53696204160445,3.2687374390237665,2.7946662373035593,3.6093477045008626,11.127139796151724,,,3.893045324100747,55.753179318800974,,,3.893045324100747,55.753179318800974,,,3.2456798180206974,55.57130546895441,3.421949134798581,3.2809706470634055,2.8261730911105687,3.7253677174226993,33.043653525559144,
Oversampling used pred3,,4.850430363805813,62.44451571090015,5.497483944504808,4.778508173293858,5.688669166510103,34.18632383393471,,,4.850430363805813,62.44451571090015,5.1278316885080955,4.778508173293858,5.688669166510103,34.18632383393471,,,4.850430363805813,62.44451571090015,5.1278316885080955,4.778508173293858,5.688669166510103,34.18632383393471,,,6.9188667621709214,62.838935826255636,,,6.9188667621709214,62.838935826255636,,,5.259372272164136,62.51077177952567,5.836227792945152,5.532096863049219,4.8925487325687556,5.960832448644119,37.357753531615955,
Oversampling used pred4,,11.196632591425143,63.73668373743374,18.106935847829874,10.97204995637383,17.929712012182087,60.9858097107573,,,11.196632591425143,63.73668373743374,16.454785030318668,10.97204995637383,17.929712012182087,60.9858097107573,,,11.196632591425143,63.73668373743374,16.454785030318668,10.97204995637383,17.929712012182087,60.9858097107573,,,18.82661619365483,63.97066377387519,,,18.82661619365483,63.97066377387519,,,14.688629064165212,63.79196928463817,19.08323980917345,15.96401230960793,11.61876427940745,19.37539517061419,49.04004403959808,
Oversampling used bw0,(undefined),0.8027536898356047,25.671297738388773,1.0231463851207607,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.8027536898356047,25.671297738388773,0.9790333322055815,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),0.8027536898356047,25.671297738388773,0.9790333322055815,0.7745251283435337,2.482311086575173,2.3712341751788273,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),1.0504176819953415,25.725283657850348,(undefined),(undefined),0.941336138439496,25.678964643980194,1.0274247633188978,0.9574644363783236,0.776048181021963,1.7905975999528536,29.349583003602447,(undefined)
Oversampling used bw1,,1.551927427021532,41.00404563732292,1.9229209915749337,1.501436227770732,2.268826256124001,3.462789801152965,,,1.551927427021532,41.00404563732292,1.8523962395869518,1.501436227770732,2.268826256124001,3.462789801152965,,,1.551927427021532,41.00404563732292,1.8523962395869518,1.501436227770732,2.268826256124001,3.462789801152965,,,2.052133481248788,41.09504865417958,,,2.052133481248788,41.09504865417958,,,1.7996584807274942,41.01754099116667,1.9423904304598452,1.826914997622616,1.508494285963046,2.2560915830968966,28.13190538355017,
Oversampling used bw2,,2.870125754449802,55.53696204160445,3.3481182710164816,2.7946662373035593,3.6093477045008626,11.127139796151724,,,2.870125754449802,55.53696204160445,3.2687374390237665,2.7946662373035593,3.6093477045008626,11.127139796151724,,,2.870125754449802,55.53696204160445,3.2687374390237665,2.7946662373035593,3.6093477045008626,11.127139796151724,,,3.893045324100747,55.753179318800974,,,3.893045324100747,55.753179318800974,,,3.2456798180206974,55.57130546895441,3.421949134798581,3.2809706470634055,2.8261730911105687,3.7253677174226993,33.043653525559144,
Oversampling used bw3,,4.850430363805813,62.44451571090015,5.497483944504808,4.778508173293858,5.688669166510103,34.18632383393471,,,4.850430363805813,62.44451571090015,5.1278316885080955,4.778508173293858,5.688669166510103,34.18632383393471,,,4.850430363805813,62.44451571090015,5.1278316885080955,4.778508173293858,5.688669166510103,34.18632383393471,,,6.9188667621709214,62.838935826255636,,,6.9188667621709214,62.838935826255636,,,5.259372272164136,62.51077177952567,5.836227792945152,5.532096863049219,4.8925487325687556,5.960832448644119,37.357753531615955,
Oversampling used bw4,,11.196632591425143,63.73668373743374,18.106935847829874,10.97204995637383,17.929712012182087,60.9858097107573,,,11.196632591425143,63.73668373743374,16.454785030318668,10.97204995637383,17.929712012182087,60.9858097107573,,,11.196632591425143,63.73668373743374,16.454785030318668,10.97204995637383,17.929712012182087,60.9858097107573,,,18.82661619365483,63.97066377387519,,,18.82661619365483,63.97066377387519,,,14.688629064165212,63.79196928463817,19.08323980917345,15.96401230960793,11.61876427940745,19.37539517061419,49.04004403959808,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),152.77105497963743,1186.6956875807953,198.39498288443403,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),152.77105497963743,1186.6956875807953,188.98053110217305,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),152.77105497963743,1186.6956875807953,188.98053110217305,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),253.34608837042035,1666.3443177517802,278.5836390858683,258.01971053861473,206.60981055187344,343.7026748873344,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,304.85053404781354,2372.6984303939844,396.0980287317132,293.5854060303608,488.8474934882089,2372.6984303939844,,,304.85053404781354,2372.6984303939844,377.26918541595444,293.5854060303608,488.8474934882089,2372.6984303939844,,,304.85053404781354,2372.6984303939844,377.26918541595444,293.5854060303608,488.8474934882089,2372.6984303939844,,,242.71959454507825,1453.9394929925988,,,242.71959454507825,1453.9394929925988,,,505.72108874567516,3331.7159644487933,556.1960211322845,515.0682992841859,412.2489551190896,686.4337711722908,3331.7159644487933,
"Channels predict, no-smear2",,609.0087086301958,4744.703814848597,791.5035165883376,586.4784828086504,977.0023310935779,4744.703814848597,,,609.0087086301958,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,,609.0087086301958,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,,485.0159097761033,2907.4553987723175,,,485.0159097761033,2907.4553987723175,,,1010.4701580488418,6662.459115881312,1111.4199379380743,1029.1645621519401,823.5261028545824,1371.8952766430345,6662.459115881312,
"Channels predict, no-smear3",,1217.324664459807,9488.714533153065,1582.3141894581538,1172.2642279642882,1953.3117608590187,9488.714533153065,,,1217.324664459807,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,,1217.324664459807,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,,969.6083556181683,5814.487179478897,,,969.6083556181683,5814.487179478897,,,2019.967829364343,13323.945347729323,2221.867346610081,2057.3566290643917,1646.0798252703783,2742.8179431826493,13323.945347729323,
"Channels predict, no-smear4",,2433.9563790600405,18976.73594444234,3163.935383545188,2343.835513653477,3905.930497514414,18976.73594444234,,,2433.9563790600405,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,,2433.9563790600405,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,,1938.7931548514175,11628.550725478857,,,1938.7931548514175,11628.550725478857,,,4038.962937957228,26646.917775907757,4442.761951158458,4113.740533099671,3291.1869829821444,5484.663103847904,26646.917775907757,
"Channels backward, no-smear0",(undefined),152.77105497963743,1186.6956875807953,198.39498288443403,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),152.77105497963743,1186.6956875807953,188.98053110217305,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),152.77105497963743,1186.6956875807953,188.98053110217305,147.1384609198426,244.76982984711475,1186.6956875807953,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),121.57125287166222,727.1815092638062,(undefined),(undefined),253.34608837042035,1666.3443177517802,278.5836390858683,258.01971053861473,206.60981055187344,343.7026748873344,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,304.85053404781354,2372.6984303939844,396.0980287317132,293.5854060303608,488.8474934882089,2372.6984303939844,,,304.85053404781354,2372.6984303939844,377.26918541595444,293.5854060303608,488.8474934882089,2372.6984303939844,,,304.85053404781354,2372.6984303939844,377.26918541595444,293.5854060303608,488.8474934882089,2372.6984303939844,,,242.71959454507825,1453.9394929925988,,,242.71959454507825,1453.9394929925988,,,505.72108874567516,3331.7159644487933,556.1960211322845,515.0682992841859,412.2489551190896,686.4337711722908,3331.7159644487933,
"Channels backward, no-smear2",,609.0087086301958,4744.703814848597,791.5035165883376,586.4784828086504,977.0023310935779,4744.703814848597,,,609.0087086301958,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,,609.0087086301958,4744.703814848597,753.845860207125,586.4784828086504,977.0023310935779,4744.703814848597,,,485.0159097761033,2907.4553987723175,,,485.0159097761033,2907.4553987723175,,,1010.4701580488418,6662.459115881312,1111.4199379380743,1029.1645621519401,823.5261028545824,1371.8952766430345,6662.459115881312,
"Channels backward, no-smear3",,1217.324664459807,9488.714533153065,1582.3141894581538,1172.2642279642882,1953.3117608590187,9488.714533153065,,,1217.324664459807,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,,1217.324664459807,9488.714533153065,1506.9988918525905,1172.2642279642882,1953.3117608590187,9488.714533153065,,,969.6083556181683,5814.487179478897,,,969.6083556181683,5814.487179478897,,,2019.967829364343,13323.945347729323,2221.867346610081,2057.3566290643917,1646.0798252703783,2742.8179431826493,13323.945347729323,
"Channels backward, no-smear4",,2433.9563790600405,18976.73594444234,3163.935383545188,2343.835513653477,3905.930497514414,18976.73594444234,,,2433.9563790600405,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,,2433.9563790600405,18976.73594444234,3013.3047959196206,2343.835513653477,3905.930497514414,18976.73594444234,,,1938.7931548514175,11628.550725478857,,,1938.7931548514175,11628.550725478857,,,4038.962937957228,26646.917775907757,4442.761951158458,4113.740533099671,3291.1869829821444,5484.663103847904,26646.917775907757,
Frequencies predict ifft,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,200.0,200,200.0,200.0,200.0,32768.0
Frequencies predict kernels0,(undefined),190.6057357062857,364.52288461678205,193.87121309920514,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),190.6057357062857,364.52288461678205,193.05971243657226,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),190.6057357062857,364.52288461678205,193.05971243657226,190.31133974495188,199.05237204583554,625.6905261468467,(undefined),(undefined),115.6899113398451,222.75933872570835,(undefined),(undefined),115.6899113398451,222.75933872570835,(undefined),(undefined),269.259518007746,511.6591552951528,271.08861703840586,269.57301555724183,266.70490555653464,277.48520338519785,841.0439984309672,(undefined)
Frequencies predict kernels1,,195.57404247040276,365.0584953999703,204.4791140771325,194.75922002843842,218.15734719428568,932.9886152281582,,,195.57404247040276,365.0584953999703,202.28816976573157,194.75922002843842,218.15734719428568,932.9886152281582,,,195.57404247040276,365.0584953999703,202.28816976573157,194.75922002843842,218.15734719428568,932.9886152281582,,,117.28888708187841,222.83688638800666,,,117.28888708187841,222.83688638800666,,,279.2269356912251,512.317136997464,284.2047257022032,280.08387328371566,272.1835795172644,301.22257589075963,1237.7927625562772,
