,hpso01 (Ingest) [Nf_max=65536] [Na=128],hpso01 (RCAL) [Nf_max=65536] [Na=128],hpso01 (FastImg) [Nf_max=65536] [Na=128],hpso01 (ICAL) [Nf_max=65536] [Na=128],hpso01 (DPrepA) [Nf_max=65536] [Na=128],hpso01 (DPrepB) [Nf_max=65536] [Na=128],hpso01 (DPrepC) [Nf_max=65536] [Na=128],hpso01 (DPrepD) [Nf_max=65536] [Na=128],hpso02a (Ingest) [Nf_max=65536] [Na=128],hpso02a (RCAL) [Nf_max=65536] [Na=128],hpso02a (FastImg) [Nf_max=65536] [Na=128],hpso02a (ICAL) [Nf_max=65536] [Na=128],hpso02a (DPrepA) [Nf_max=65536] [Na=128],hpso02a (DPrepB) [Nf_max=65536] [Na=128],hpso02a (DPrepC) [Nf_max=65536] [Na=128],hpso02a (DPrepD) [Nf_max=65536] [Na=128],hpso02b (Ingest) [Nf_max=65536] [Na=128],hpso02b (RCAL) [Nf_max=65536] [Na=128],hpso02b (FastImg) [Nf_max=65536] [Na=128],hpso02b (ICAL) [Nf_max=65536] [Na=128],hpso02b (DPrepA) [Nf_max=65536] [Na=128],hpso02b (DPrepB) [Nf_max=65536] [Na=128],hpso02b (DPrepC) [Nf_max=65536] [Na=128],hpso02b (DPrepD) [Nf_max=65536] [Na=128],hpso04a (Ingest) [Nf_max=65536] [Na=128],hpso04a (RCAL) [Nf_max=65536] [Na=128],hpso04a (FastImg) [Nf_max=65536] [Na=128],hpso04a (PSS) [Nf_max=65536] [Na=128],hpso05a (Ingest) [Na=128],hpso05a (RCAL) [Na=128],hpso05a (FastImg) [Na=128],hpso05a (PST) [Na=128],max_low (Ingest) [Na=128],max_low (RCAL) [Na=128],max_low (FastImg) [Na=128],max_low (ICAL) [Na=128],max_low (DPrepA) [Na=128],max_low (DPrepA_Image) [Na=128],max_low (DPrepB) [Na=128],max_low (DPrepC) [Na=128],max_low (DPrepD) [Na=128]
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,7.2,7.2,10.0,3.6,
Coalesce time bw3 [s],,8.1,1.0,8.1,3.6,9.0,1.8,,,8.1,1.0,8.1,3.6,9.0,1.8,,,8.1,1.0,8.1,3.6,9.0,1.8,,,5.4,1.0,,,5.4,1.0,,,5.4,1.0,5.4,3.6,3.6,9.0,1.8,
Coalesce time bw4 [s],,3.6,0.9,3.6,1.8,4.5,0.9,,,3.6,0.9,3.6,1.8,4.5,0.9,,,3.6,0.9,3.6,1.8,4.5,0.9,,,2.7,0.9,,,2.7,0.9,,,2.7,0.9,2.7,1.8,1.8,4.5,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),73.0,1.1111111111111112,73.0,33.0,84.0,17.0,(undefined),(undefined),73.0,1.1111111111111112,78.0,33.0,84.0,17.0,(undefined),(undefined),73.0,1.1111111111111112,78.0,33.0,84.0,17.0,(undefined),(undefined),52.0,1.1111111111111112,(undefined),(undefined),52.0,1.1111111111111112,(undefined),(undefined),52.0,1.1111111111111112,52.0,33.0,33.0,84.0,17.0,(undefined)
Combined samples facet1,,36.0,1.1111111111111112,36.0,16.0,42.0,8.0,,,36.0,1.1111111111111112,39.0,16.0,42.0,8.0,,,36.0,1.1111111111111112,39.0,16.0,42.0,8.0,,,26.0,1.1111111111111112,,,26.0,1.1111111111111112,,,26.0,1.1111111111111112,26.0,16.0,16.0,42.0,8.0,
Combined samples facet2,,18.0,1.1111111111111112,18.0,8.0,21.0,4.0,,,18.0,1.1111111111111112,19.0,8.0,21.0,4.0,,,18.0,1.1111111111111112,19.0,8.0,21.0,4.0,,,13.0,1.1111111111111112,,,13.0,1.1111111111111112,,,13.0,1.1111111111111112,13.0,8.0,8.0,21.0,4.0,
Combined samples facet3,,9.0,1.1111111111111112,9.0,4.0,10.0,2.0,,,9.0,1.1111111111111112,9.0,4.0,10.0,2.0,,,9.0,1.1111111111111112,9.0,4.0,10.0,2.0,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,6.0,4.0,4.0,10.0,2.0,
Combined samples facet4,,4.0,1.0,4.0,2.0,5.0,1.0,,,4.0,1.0,4.0,2.0,5.0,1.0,,,4.0,1.0,4.0,2.0,5.0,1.0,,,3.0,1.0,,,3.0,1.0,,,3.0,1.0,3.0,2.0,2.0,5.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),1.3812918468784707,32.55476508226232,1.3812918468784707,2.2997127171474565,2.5119017415419984,2.4892818761464217,(undefined),(undefined),1.3812918468784707,32.55476508226232,1.309234160447035,2.2997127171474565,2.5119017415419984,2.4892818761464217,(undefined),(undefined),1.3812918468784707,32.55476508226232,1.309234160447035,2.2997127171474565,2.5119017415419984,2.4892818761464217,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.7623901319017894,32.567468020591605,1.7623901914512916,2.4372992599743486,2.3900644114935248,1.8018978810409318,77.9222015997528,(undefined)
Visibilities kernel pred1,,2.591217264323658,64.99502025817469,2.591217264295754,4.596817526078075,2.2919237258358853,5.468810370685933,,,2.591217264323658,64.99502025817469,2.457843972221649,4.596817526078075,2.2919237258358853,5.468810370685933,,,2.591217264323658,64.99502025817469,2.457843972221649,4.596817526078075,2.2919237258358853,5.468810370685933,,,3.634010980443172,65.24680525561551,,,3.634010980443172,65.24680525561551,,,3.521700006111865,65.03229589341818,3.5217001251067908,4.871835591139702,4.777419439725702,2.278825779051935,73.53591406872023,
Visibilities kernel pred2,,5.179260679242921,128.46894958994176,5.179260679187148,12.765314450525263,4.176639387210517,21.872046692565558,,,5.179260679242921,128.46894958994176,4.912462845474272,12.765314450525263,4.176639387210517,21.872046692565558,,,5.179260679242921,128.46894958994176,4.912462845474272,12.765314450525263,4.176639387210517,21.872046692565558,,,7.005404505122904,130.1123243148036,,,7.005404505122904,130.1123243148036,,,7.040318408047536,128.72715467010218,7.040318645933263,13.529038153101077,13.266845455738288,4.350673268620877,133.1521728671542,
Visibilities kernel pred3,,12.784378440629919,236.03072712920883,12.784378440492251,51.05401053006494,9.278129615075379,87.48179672335215,,,12.784378440629919,236.03072712920883,12.12555497983308,51.05401053006494,9.278129615075379,87.48179672335215,,,12.784378440629919,236.03072712920883,12.12555497983308,51.05401053006494,9.278129615075379,87.48179672335215,,,25.940275596842167,254.60091587588127,,,25.940275596842167,254.60091587588127,,,26.069545440081733,238.794756687367,26.069546320947115,54.108474545586894,53.05985255703544,9.664735679710523,266.3043457343084,
Visibilities kernel pred4,,57.52088268233551,348.8162368403602,57.5208826817161,204.20154654768788,37.10593480221227,349.914406332716,,,57.52088268233551,348.8162368403602,54.556034389692655,204.20154654768788,37.10593480221227,349.914406332716,,,57.52088268233551,348.8162368403602,54.556034389692655,204.20154654768788,37.10593480221227,349.914406332716,,,103.74976712001732,488.1661777473725,,,103.74976712001732,488.1661777473725,,,104.26676466460027,363.7809787217951,104.26676818767605,216.4185409590925,212.22435062780295,38.652087224894466,532.6086914686168,
Visibilities kernel bw0,(undefined),1.3812918468784707,32.55476508226232,1.3812918468784707,2.2997127171474565,2.5119017415419984,2.4892818761464217,(undefined),(undefined),1.3812918468784707,32.55476508226232,1.309234160447035,2.2997127171474565,2.5119017415419984,2.4892818761464217,(undefined),(undefined),1.3812918468784707,32.55476508226232,1.309234160447035,2.2997127171474565,2.5119017415419984,2.4892818761464217,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.7623901319017894,32.567468020591605,1.7623901914512916,2.4372992599743486,2.3900644114935248,1.8018978810409318,77.9222015997528,(undefined)
Visibilities kernel bw1,,2.591217264323658,64.99502025817469,2.591217264295754,4.596817526078075,2.2919237258358853,5.468810370685933,,,2.591217264323658,64.99502025817469,2.457843972221649,4.596817526078075,2.2919237258358853,5.468810370685933,,,2.591217264323658,64.99502025817469,2.457843972221649,4.596817526078075,2.2919237258358853,5.468810370685933,,,3.634010980443172,65.24680525561551,,,3.634010980443172,65.24680525561551,,,3.521700006111865,65.03229589341818,3.5217001251067908,4.871835591139702,4.777419439725702,2.278825779051935,73.53591406872023,
Visibilities kernel bw2,,5.179260679242921,128.46894958994176,5.179260679187148,12.765314450525263,4.176639387210517,21.872046692565558,,,5.179260679242921,128.46894958994176,4.912462845474272,12.765314450525263,4.176639387210517,21.872046692565558,,,5.179260679242921,128.46894958994176,4.912462845474272,12.765314450525263,4.176639387210517,21.872046692565558,,,7.005404505122904,130.1123243148036,,,7.005404505122904,130.1123243148036,,,7.040318408047536,128.72715467010218,7.040318645933263,13.529038153101077,13.266845455738288,4.350673268620877,133.1521728671542,
Visibilities kernel bw3,,12.784378440629919,236.03072712920883,12.784378440492251,51.05401053006494,9.278129615075379,87.48179672335215,,,12.784378440629919,236.03072712920883,12.12555497983308,51.05401053006494,9.278129615075379,87.48179672335215,,,12.784378440629919,236.03072712920883,12.12555497983308,51.05401053006494,9.278129615075379,87.48179672335215,,,25.940275596842167,254.60091587588127,,,25.940275596842167,254.60091587588127,,,26.069545440081733,238.794756687367,26.069546320947115,54.108474545586894,53.05985255703544,9.664735679710523,266.3043457343084,
Visibilities kernel bw4,,57.52088268233551,348.8162368403602,57.5208826817161,204.20154654768788,37.10593480221227,349.914406332716,,,57.52088268233551,348.8162368403602,54.556034389692655,204.20154654768788,37.10593480221227,349.914406332716,,,57.52088268233551,348.8162368403602,54.556034389692655,204.20154654768788,37.10593480221227,349.914406332716,,,103.74976712001732,488.1661777473725,,,103.74976712001732,488.1661777473725,,,104.26676466460027,363.7809787217951,104.26676818767605,216.4185409590925,212.22435062780295,38.652087224894466,532.6086914686168,
Oversampling used pred0,(undefined),1.377163852205463,25.671297738388773,1.377163852205463,2.2763979730393302,2.482311086575173,2.4603930002066505,(undefined),(undefined),1.377163852205463,25.671297738388773,1.3060597369437588,2.2763979730393302,2.482311086575173,2.4603930002066505,(undefined),(undefined),1.377163852205463,25.671297738388773,1.3060597369437588,2.2763979730393302,2.482311086575173,2.4603930002066505,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.751879977602762,25.678964643980194,1.7518800359794682,2.409993540658334,2.3641614607749233,1.7905975999528536,45.2398219058713,(undefined)
Oversampling used pred1,,2.55910419460276,41.00404563732292,2.5591041945757595,4.469382499471401,2.268826256124001,5.281296456065853,,,2.55910419460276,41.00404563732292,2.4299174844453333,4.469382499471401,2.268826256124001,5.281296456065853,,,2.55910419460276,41.00404563732292,2.4299174844453333,4.469382499471401,2.268826256124001,5.281296456065853,,,3.559864384033311,41.09504865417958,,,3.559864384033311,41.09504865417958,,,3.452868516782118,41.01754099116667,3.4528686302459093,4.726656984044709,4.6384579391147085,2.2560915830968966,43.89812169664692,
Oversampling used pred2,,5.0129317692588415,55.53696204160445,5.012931769207029,11.655317586048106,4.074155348640929,18.64890669536154,,,5.0129317692588415,55.53696204160445,4.764568680572005,11.655317586048106,4.074155348640929,18.64890669536154,,,5.0129317692588415,55.53696204160445,4.764568680572005,11.655317586048106,4.074155348640929,18.64890669536154,,,6.685166044764095,55.753179318800974,,,6.685166044764095,55.753179318800974,,,6.716671176431824,55.57130546895441,6.7166713910328895,12.281116768313716,12.067122612688372,4.238172101941458,56.13867526204309,
Oversampling used pred3,,11.67103048913016,62.44451571090015,11.671030489016708,35.35822544543419,8.700283264869398,47.861809878396045,,,11.67103048913016,62.44451571090015,11.125270839119985,35.35822544543419,8.700283264869398,47.861809878396045,,,11.67103048913016,62.44451571090015,11.125270839119985,35.35822544543419,8.700283264869398,47.861809878396045,,,21.463336977410414,62.838935826255636,,,21.463336977410414,62.838935826255636,,,21.549844504737642,62.51077177952567,21.54984509361394,36.703362906517505,36.24884156810502,9.035947762005364,63.03436833381854,
Oversampling used pred4,,38.13156008061623,63.736683758682595,38.1315600803639,61.432213522754765,28.322309536387827,63.74119849365204,,,38.13156008061623,63.736683758682595,36.8950822279773,61.432213522754765,28.322309536387827,63.74119849365204,,,38.13156008061623,63.736683758682595,36.8950822279773,61.432213522754765,28.322309536387827,63.74119849365204,,,51.50917074569968,63.97066377397596,,,51.50917074569968,63.97066377397596,,,51.61045646561259,63.791969302860835,51.61045715301734,61.88163059148445,61.73698441762966,29.180547302087724,63.98543055445731,
Oversampling used bw0,(undefined),1.377163852205463,25.671297738388773,1.377163852205463,2.2763979730393302,2.482311086575173,2.4603930002066505,(undefined),(undefined),1.377163852205463,25.671297738388773,1.3060597369437588,2.2763979730393302,2.482311086575173,2.4603930002066505,(undefined),(undefined),1.377163852205463,25.671297738388773,1.3060597369437588,2.2763979730393302,2.482311086575173,2.4603930002066505,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.751879977602762,25.678964643980194,1.7518800359794682,2.409993540658334,2.3641614607749233,1.7905975999528536,45.2398219058713,(undefined)
Oversampling used bw1,,2.55910419460276,41.00404563732292,2.5591041945757595,4.469382499471401,2.268826256124001,5.281296456065853,,,2.55910419460276,41.00404563732292,2.4299174844453333,4.469382499471401,2.268826256124001,5.281296456065853,,,2.55910419460276,41.00404563732292,2.4299174844453333,4.469382499471401,2.268826256124001,5.281296456065853,,,3.559864384033311,41.09504865417958,,,3.559864384033311,41.09504865417958,,,3.452868516782118,41.01754099116667,3.4528686302459093,4.726656984044709,4.6384579391147085,2.2560915830968966,43.89812169664692,
Oversampling used bw2,,5.0129317692588415,55.53696204160445,5.012931769207029,11.655317586048106,4.074155348640929,18.64890669536154,,,5.0129317692588415,55.53696204160445,4.764568680572005,11.655317586048106,4.074155348640929,18.64890669536154,,,5.0129317692588415,55.53696204160445,4.764568680572005,11.655317586048106,4.074155348640929,18.64890669536154,,,6.685166044764095,55.753179318800974,,,6.685166044764095,55.753179318800974,,,6.716671176431824,55.57130546895441,6.7166713910328895,12.281116768313716,12.067122612688372,4.238172101941458,56.13867526204309,
Oversampling used bw3,,11.67103048913016,62.44451571090015,11.671030489016708,35.35822544543419,8.700283264869398,47.861809878396045,,,11.67103048913016,62.44451571090015,11.125270839119985,35.35822544543419,8.700283264869398,47.861809878396045,,,11.67103048913016,62.44451571090015,11.125270839119985,35.35822544543419,8.700283264869398,47.861809878396045,,,21.463336977410414,62.838935826255636,,,21.463336977410414,62.838935826255636,,,21.549844504737642,62.51077177952567,21.54984509361394,36.703362906517505,36.24884156810502,9.035947762005364,63.03436833381854,
Oversampling used bw4,,38.13156008061623,63.736683758682595,38.1315600803639,61.432213522754765,28.322309536387827,63.74119849365204,,,38.13156008061623,63.736683758682595,36.8950822279773,61.432213522754765,28.322309536387827,63.74119849365204,,,38.13156008061623,63.736683758682595,36.8950822279773,61.432213522754765,28.322309536387827,63.74119849365204,,,51.50917074569968,63.97066377397596,,,51.50917074569968,63.97066377397596,,,51.61045646561259,63.791969302860835,51.61045715301734,61.88163059148445,61.73698441762966,29.180547302087724,63.98543055445731,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),283.12492857781456,1186.6956875807953,283.12492857781456,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),283.12492857781456,1186.6956875807953,264.29606514294204,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),283.12492857781456,1186.6956875807953,264.29606514294204,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,343.7026748873344,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,565.5575581107942,2372.6984303939844,565.5575581107942,1221.0797008176821,488.8474934882089,2372.6984303939844,,,565.5575581107942,2372.6984303939844,527.899891637071,1221.0797008176821,488.8474934882089,2372.6984303939844,,,565.5575581107942,2372.6984303939844,527.899891637071,1221.0797008176821,488.8474934882089,2372.6984303939844,,,485.0159097761033,1453.9394929925988,,,485.0159097761033,1453.9394929925988,,,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,686.4337711722908,3331.7159644487933,
"Channels predict, no-smear2",,1130.4223937148056,4744.703814848597,1130.4223937148056,2441.466451169051,977.0023310935779,4744.703814848597,,,1130.4223937148056,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,,1130.4223937148056,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,,969.6083556181683,2907.4553987723175,,,969.6083556181683,2907.4553987723175,,,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,1371.8952766430345,6662.459115881312,
"Channels predict, no-smear3",,2260.151852737311,9488.714533153065,2260.151852737311,4882.239853545328,1953.3117608590187,9488.714533153065,,,2260.151852737311,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,,2260.151852737311,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,,1938.7931548514175,5814.487179478897,,,1938.7931548514175,5814.487179478897,,,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,2742.8179431826493,13323.945347729323,
"Channels predict, no-smear4",,4519.610664576401,18976.73594444234,4519.610664576401,9763.786609120725,3905.930497514414,18976.73594444234,,,4519.610664576401,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,,4519.610664576401,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,,3877.1627070570735,11628.550725478857,,,3877.1627070570735,11628.550725478857,,,8884.551053776007,26646.917775907757,8884.551053776007,13710.1984478155,13710.1984478155,5484.663103847904,26646.917775907757,
"Channels backward, no-smear0",(undefined),283.12492857781456,1186.6956875807953,283.12492857781456,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),283.12492857781456,1186.6956875807953,264.29606514294204,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),283.12492857781456,1186.6956875807953,264.29606514294204,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,343.7026748873344,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,565.5575581107942,2372.6984303939844,565.5575581107942,1221.0797008176821,488.8474934882089,2372.6984303939844,,,565.5575581107942,2372.6984303939844,527.899891637071,1221.0797008176821,488.8474934882089,2372.6984303939844,,,565.5575581107942,2372.6984303939844,527.899891637071,1221.0797008176821,488.8474934882089,2372.6984303939844,,,485.0159097761033,1453.9394929925988,,,485.0159097761033,1453.9394929925988,,,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,686.4337711722908,3331.7159644487933,
"Channels backward, no-smear2",,1130.4223937148056,4744.703814848597,1130.4223937148056,2441.466451169051,977.0023310935779,4744.703814848597,,,1130.4223937148056,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,,1130.4223937148056,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,,969.6083556181683,2907.4553987723175,,,969.6083556181683,2907.4553987723175,,,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,1371.8952766430345,6662.459115881312,
"Channels backward, no-smear3",,2260.151852737311,9488.714533153065,2260.151852737311,4882.239853545328,1953.3117608590187,9488.714533153065,,,2260.151852737311,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,,2260.151852737311,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,,1938.7931548514175,5814.487179478897,,,1938.7931548514175,5814.487179478897,,,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,2742.8179431826493,13323.945347729323,
"Channels backward, no-smear4",,4519.610664576401,18976.73594444234,4519.610664576401,9763.786609120725,3905.930497514414,18976.73594444234,,,4519.610664576401,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,,4519.610664576401,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,,3877.1627070570735,11628.550725478857,,,3877.1627070570735,11628.550725478857,,,8884.551053776007,26646.917775907757,8884.551053776007,13710.1984478155,13710.1984478155,5484.663103847904,26646.917775907757,
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,10240.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),204.9711139739497,364.52288461678205,204.9711139739497,265.63588697841703,199.05237204583554,602.5834255147121,(undefined),(undefined),204.9711139739497,364.52288461678205,201.87073720464088,265.63588697841703,199.05237204583554,602.5834255147121,(undefined),(undefined),204.9711139739497,364.52288461678205,201.87073720464088,265.63588697841703,199.05237204583554,602.5834255147121,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),315.5918834679897,511.6591552951528,315.5918728044376,351.9465976296726,358.9021190509513,277.48520338519785,841.0439984309672,(undefined)
