,hpso01 (Ingest) [Nf_max=65536] [Na=512],hpso01 (RCAL) [Nf_max=65536] [Na=512],hpso01 (FastImg) [Nf_max=65536] [Na=512],hpso01 (ICAL) [Nf_max=65536] [Na=512],hpso01 (DPrepA) [Nf_max=65536] [Na=512],hpso01 (DPrepB) [Nf_max=65536] [Na=512],hpso01 (DPrepC) [Nf_max=65536] [Na=512],hpso01 (DPrepD) [Nf_max=65536] [Na=512],hpso02a (Ingest) [Nf_max=65536] [Na=512],hpso02a (RCAL) [Nf_max=65536] [Na=512],hpso02a (FastImg) [Nf_max=65536] [Na=512],hpso02a (ICAL) [Nf_max=65536] [Na=512],hpso02a (DPrepA) [Nf_max=65536] [Na=512],hpso02a (DPrepB) [Nf_max=65536] [Na=512],hpso02a (DPrepC) [Nf_max=65536] [Na=512],hpso02a (DPrepD) [Nf_max=65536] [Na=512],hpso02b (Ingest) [Nf_max=65536] [Na=512],hpso02b (RCAL) [Nf_max=65536] [Na=512],hpso02b (FastImg) [Nf_max=65536] [Na=512],hpso02b (ICAL) [Nf_max=65536] [Na=512],hpso02b (DPrepA) [Nf_max=65536] [Na=512],hpso02b (DPrepB) [Nf_max=65536] [Na=512],hpso02b (DPrepC) [Nf_max=65536] [Na=512],hpso02b (DPrepD) [Nf_max=65536] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Na=512],hpso05a (RCAL) [Na=512],hpso05a (FastImg) [Na=512],hpso05a (PST) [Na=512],max_low (Ingest) [Na=512],max_low (RCAL) [Na=512],max_low (FastImg) [Na=512],max_low (ICAL) [Na=512],max_low (DPrepA) [Na=512],max_low (DPrepA_Image) [Na=512],max_low (DPrepB) [Na=512],max_low (DPrepC) [Na=512],max_low (DPrepD) [Na=512]
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,5.4,1.0,5.4,10.0,10.0,7.2,,,5.4,1.0,8.1,10.0,10.0,7.2,,,5.4,1.0,8.1,10.0,10.0,7.2,,,5.4,1.0,,,5.4,1.0,,,5.4,1.0,5.4,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,2.7,1.0,2.7,7.2,7.2,3.6,,,2.7,1.0,3.6,7.2,7.2,3.6,,,2.7,1.0,3.6,7.2,7.2,3.6,,,2.7,1.0,,,2.7,1.0,,,2.7,1.0,2.7,7.2,7.2,7.2,3.6,
Coalesce time bw3 [s],,0.9,1.0,0.9,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,,,0.9,1.0,,,0.9,1.0,0.9,3.6,3.6,3.6,1.8,
Coalesce time bw4 [s],,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,,,0.9,0.9,,,0.9,0.9,0.9,1.8,1.8,1.8,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),12.0,1.1111111111111112,12.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,18.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,18.0,33.0,33.0,17.0,(undefined),(undefined),12.0,1.1111111111111112,(undefined),(undefined),12.0,1.1111111111111112,(undefined),(undefined),12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,(undefined)
Combined samples facet1,,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,
Combined samples facet2,,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,,,3.0,1.1111111111111112,,,3.0,1.1111111111111112,,,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,
Combined samples facet3,,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,,,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,
Combined samples facet4,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),6.017714258950438,32.55476508226232,6.017714258947549,2.972253567405658,2.734907156963569,3.5157457475172302,(undefined),(undefined),6.017714258950438,32.55476508226232,4.668643056138233,2.972253567405658,2.734907156963569,3.5157457475172302,(undefined),(undefined),6.017714258950438,32.55476508226232,4.668643056138233,2.972253567405658,2.734907156963569,3.5157457475172302,(undefined),(undefined),6.428017639495071,32.64426593397331,(undefined),(undefined),6.428017639495071,32.64426593397331,(undefined),(undefined),6.387217536157118,32.567468020591605,6.3872175361563315,3.029623261501146,3.002377053415733,2.8271986784618646,88.20843739135155,(undefined)
Visibilities kernel pred1,,22.283145065880998,64.99502025817469,22.283145065870304,5.941136555328424,5.46671288878227,7.723892978517091,,,22.283145065880998,64.99502025817469,11.52387975792978,5.941136555328424,5.46671288878227,7.723892978517091,,,22.283145065880998,64.99502025817469,11.52387975792978,5.941136555328424,5.46671288878227,7.723892978517091,,,23.80248066735306,65.24680525561551,,,23.80248066735306,65.24680525561551,,,23.65138982844008,65.03229589341818,23.65138982843716,6.0558121341576125,6.001350604359457,5.651192437115253,122.51171859909938,
Visibilities kernel pred2,,89.12320823273265,128.46894958994176,89.12320823268988,16.49847441018256,15.181004823479208,30.89105974126433,,,89.12320823273265,128.46894958994176,51.84928120961705,16.49847441018256,15.181004823479208,30.89105974126433,,,89.12320823273265,128.46894958994176,51.84928120961705,16.49847441018256,15.181004823479208,30.89105974126433,,,95.19993747950454,130.1123243148036,,,95.19993747950454,130.1123243148036,,,94.59561543572802,128.72715467010218,94.59561543571635,16.816929035953883,16.665689918637295,15.693304230400527,245.02343719819876,
Visibilities kernel pred3,,534.7111318252174,236.03072712920883,534.7111318249608,65.98453093592286,60.71540055818857,123.55521396051049,,,534.7111318252174,236.03072712920883,207.38076814678973,65.98453093592286,60.71540055818857,123.55521396051049,,,534.7111318252174,236.03072712920883,207.38076814678973,65.98453093592286,60.71540055818857,123.55521396051049,,,571.1696677358144,254.60091587588127,,,571.1696677358144,254.60091587588127,,,567.5438594118059,238.794756687367,567.5438594117359,67.25817211686102,66.65330147956846,62.76431057976882,490.0468743963975,
Visibilities kernel pred4,,1069.3941453405644,404.46590976959305,1069.3941453400512,263.91938900479687,242.84436353816625,494.20280517355945,,,1069.3941453405644,404.46590976959305,829.4903579122966,263.91938900479687,242.84436353816625,494.20280517355945,,,1069.3941453405644,404.46590976959305,829.4903579122966,263.91938900479687,242.84436353816625,494.20280517355945,,,1142.3093775454338,488.1661807967462,,,1142.3093775454338,488.1661807967462,,,1135.0578848399682,427.8988088545935,1135.0578848398284,269.0135990591101,266.5942881860682,251.03942837147983,980.093748792795,
Visibilities kernel bw0,(undefined),6.017714258950438,32.55476508226232,6.017714258947549,2.972253567405658,2.734907156963569,3.5157457475172302,(undefined),(undefined),6.017714258950438,32.55476508226232,4.668643056138233,2.972253567405658,2.734907156963569,3.5157457475172302,(undefined),(undefined),6.017714258950438,32.55476508226232,4.668643056138233,2.972253567405658,2.734907156963569,3.5157457475172302,(undefined),(undefined),6.428017639495071,32.64426593397331,(undefined),(undefined),6.428017639495071,32.64426593397331,(undefined),(undefined),6.387217536157118,32.567468020591605,6.3872175361563315,3.029623261501146,3.002377053415733,2.8271986784618646,88.20843739135155,(undefined)
Visibilities kernel bw1,,22.283145065880998,64.99502025817469,22.283145065870304,5.941136555328424,5.46671288878227,7.723892978517091,,,22.283145065880998,64.99502025817469,11.52387975792978,5.941136555328424,5.46671288878227,7.723892978517091,,,22.283145065880998,64.99502025817469,11.52387975792978,5.941136555328424,5.46671288878227,7.723892978517091,,,23.80248066735306,65.24680525561551,,,23.80248066735306,65.24680525561551,,,23.65138982844008,65.03229589341818,23.65138982843716,6.0558121341576125,6.001350604359457,5.651192437115253,122.51171859909938,
Visibilities kernel bw2,,89.12320823273265,128.46894958994176,89.12320823268988,16.49847441018256,15.181004823479208,30.89105974126433,,,89.12320823273265,128.46894958994176,51.84928120961705,16.49847441018256,15.181004823479208,30.89105974126433,,,89.12320823273265,128.46894958994176,51.84928120961705,16.49847441018256,15.181004823479208,30.89105974126433,,,95.19993747950454,130.1123243148036,,,95.19993747950454,130.1123243148036,,,94.59561543572802,128.72715467010218,94.59561543571635,16.816929035953883,16.665689918637295,15.693304230400527,245.02343719819876,
Visibilities kernel bw3,,534.7111318252174,236.03072712920883,534.7111318249608,65.98453093592286,60.71540055818857,123.55521396051049,,,534.7111318252174,236.03072712920883,207.38076814678973,65.98453093592286,60.71540055818857,123.55521396051049,,,534.7111318252174,236.03072712920883,207.38076814678973,65.98453093592286,60.71540055818857,123.55521396051049,,,571.1696677358144,254.60091587588127,,,571.1696677358144,254.60091587588127,,,567.5438594118059,238.794756687367,567.5438594117359,67.25817211686102,66.65330147956846,62.76431057976882,490.0468743963975,
Visibilities kernel bw4,,1069.3941453405644,404.46590976959305,1069.3941453400512,263.91938900479687,242.84436353816625,494.20280517355945,,,1069.3941453405644,404.46590976959305,829.4903579122966,263.91938900479687,242.84436353816625,494.20280517355945,,,1069.3941453405644,404.46590976959305,829.4903579122966,263.91938900479687,242.84436353816625,494.20280517355945,,,1142.3093775454338,488.1661807967462,,,1142.3093775454338,488.1661807967462,,,1135.0578848399682,427.8988088545935,1135.0578848398284,269.0135990591101,266.5942881860682,251.03942837147983,980.093748792795,
Oversampling used pred0,(undefined),5.78669300796814,25.671297738388773,5.786693007965496,2.9266883317322225,2.6979803625295418,3.4471907587912725,(undefined),(undefined),5.78669300796814,25.671297738388773,4.536681540839879,2.9266883317322225,2.6979803625295418,3.4471907587912725,(undefined),(undefined),5.78669300796814,25.671297738388773,4.536681540839879,2.9266883317322225,2.6979803625295418,3.4471907587912725,(undefined),(undefined),6.161631693999979,25.725283657850348,(undefined),(undefined),6.161631693999979,25.725283657850348,(undefined),(undefined),6.124456599772699,25.678964643980194,6.124456599771982,2.9818418322199776,2.955654359292197,2.787014440754561,48.04543294918591,(undefined)
Oversampling used pred1,,18.941566912390144,41.00404563732292,18.941566912382555,5.716446981878676,5.279356834054553,7.3300289374653715,,,18.941566912390144,41.00404563732292,10.621880688528258,5.716446981878676,5.279356834054553,7.3300289374653715,,,18.941566912390144,41.00404563732292,10.621880688528258,5.716446981878676,5.279356834054553,7.3300289374653715,,,20.00688602586328,41.09504865417958,,,20.00688602586328,41.09504865417958,,,19.902082745483945,41.01754099116667,19.902082745481913,5.821609290538731,5.771689466403693,5.449707394437361,54.704552110494745,
Oversampling used pred2,,48.273628981612184,55.53696204160445,48.27362898160159,14.644005928537716,13.609271477682007,24.65379030194176,,,48.273628981612184,55.53696204160445,35.71470398081975,14.644005928537716,13.609271477682007,24.65379030194176,,,48.273628981612184,55.53696204160445,35.71470398081975,14.644005928537716,13.609271477682007,24.65379030194176,,,49.708849713792674,55.753179318800974,,,49.708849713792674,55.753179318800974,,,49.572190436574004,55.57130546895441,49.572190436571354,14.890913351934763,14.773807516061439,14.014181943265967,62.649916383335814,
Oversampling used pred3,,63.98590504991095,62.44451571090015,63.98590504991089,41.35961777764023,39.40076654945756,54.85605905046077,,,63.98590504991095,62.44451571090015,61.557610854444555,41.35961777764023,39.40076654945756,54.85605905046077,,,63.98590504991095,62.44451571090015,61.557610854444555,41.35961777764023,39.40076654945756,54.85605905046077,,,63.99206205404883,62.838935826255636,,,63.99206205404883,62.838935826255636,,,63.99159560259682,62.51077177952567,63.99159560259681,41.8092090700801,41.59681584457498,40.18183998669646,63.971519909812734,
Oversampling used pred4,,63.999996894443576,63.89038602956677,63.999996894443576,62.99741031805273,62.602781662035504,63.973324216420366,,,63.999996894443576,63.89038602956677,63.99986418639648,62.99741031805273,62.602781662035504,63.973324216420366,,,63.999996894443576,63.89038602956677,63.99986418639648,62.99741031805273,62.602781662035504,63.973324216420366,,,63.99999901498874,63.97066377538476,,,63.99999901498874,63.97066377538476,,,63.99999889582672,63.924212363365605,63.99999889582672,63.07470169716511,63.03876747007861,62.77195367581884,63.99998732631973,
Oversampling used bw0,(undefined),5.78669300796814,25.671297738388773,5.786693007965496,2.9266883317322225,2.6979803625295418,3.4471907587912725,(undefined),(undefined),5.78669300796814,25.671297738388773,4.536681540839879,2.9266883317322225,2.6979803625295418,3.4471907587912725,(undefined),(undefined),5.78669300796814,25.671297738388773,4.536681540839879,2.9266883317322225,2.6979803625295418,3.4471907587912725,(undefined),(undefined),6.161631693999979,25.725283657850348,(undefined),(undefined),6.161631693999979,25.725283657850348,(undefined),(undefined),6.124456599772699,25.678964643980194,6.124456599771982,2.9818418322199776,2.955654359292197,2.787014440754561,48.04543294918591,(undefined)
Oversampling used bw1,,18.941566912390144,41.00404563732292,18.941566912382555,5.716446981878676,5.279356834054553,7.3300289374653715,,,18.941566912390144,41.00404563732292,10.621880688528258,5.716446981878676,5.279356834054553,7.3300289374653715,,,18.941566912390144,41.00404563732292,10.621880688528258,5.716446981878676,5.279356834054553,7.3300289374653715,,,20.00688602586328,41.09504865417958,,,20.00688602586328,41.09504865417958,,,19.902082745483945,41.01754099116667,19.902082745481913,5.821609290538731,5.771689466403693,5.449707394437361,54.704552110494745,
Oversampling used bw2,,48.273628981612184,55.53696204160445,48.27362898160159,14.644005928537716,13.609271477682007,24.65379030194176,,,48.273628981612184,55.53696204160445,35.71470398081975,14.644005928537716,13.609271477682007,24.65379030194176,,,48.273628981612184,55.53696204160445,35.71470398081975,14.644005928537716,13.609271477682007,24.65379030194176,,,49.708849713792674,55.753179318800974,,,49.708849713792674,55.753179318800974,,,49.572190436574004,55.57130546895441,49.572190436571354,14.890913351934763,14.773807516061439,14.014181943265967,62.649916383335814,
Oversampling used bw3,,63.98590504991095,62.44451571090015,63.98590504991089,41.35961777764023,39.40076654945756,54.85605905046077,,,63.98590504991095,62.44451571090015,61.557610854444555,41.35961777764023,39.40076654945756,54.85605905046077,,,63.98590504991095,62.44451571090015,61.557610854444555,41.35961777764023,39.40076654945756,54.85605905046077,,,63.99206205404883,62.838935826255636,,,63.99206205404883,62.838935826255636,,,63.99159560259682,62.51077177952567,63.99159560259681,41.8092090700801,41.59681584457498,40.18183998669646,63.971519909812734,
Oversampling used bw4,,63.999996894443576,63.89038602956677,63.999996894443576,62.99741031805273,62.602781662035504,63.973324216420366,,,63.999996894443576,63.89038602956677,63.99986418639648,62.99741031805273,62.602781662035504,63.973324216420366,,,63.999996894443576,63.89038602956677,63.99986418639648,62.99741031805273,62.602781662035504,63.973324216420366,,,63.99999901498874,63.97066377538476,,,63.99999901498874,63.97066377538476,,,63.99999889582672,63.924212363365605,63.99999889582672,63.07470169716511,63.03876747007861,62.77195367581884,63.99998732631973,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels predict, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,8076.963378093995,5814.487179478897,,,8076.963378093995,5814.487179478897,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels predict, no-smear4",,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,16153.503118368213,11628.550725478857,,,16153.503118368213,11628.550725478857,,,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,,4038.693502406632,2907.4553987723175,,,4038.693502406632,2907.4553987723175,,,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear3",,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,,8076.963378093995,5814.487179478897,,,8076.963378093995,5814.487179478897,,,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels backward, no-smear4",,26361.045532597625,18976.73594444234,26361.045532597625,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,26361.045532597625,18976.73594444234,17574.26139906265,9763.786609120725,9763.786609120725,18976.73594444234,,,16153.503118368213,11628.550725478857,,,16153.503118368213,11628.550725478857,,,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),273.8938745774346,364.52288461678205,273.89387457756607,205.5296473067149,223.3663493327673,426.6520128935031,(undefined),(undefined),273.8938745774346,364.52288461678205,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,(undefined),(undefined),273.8938745774346,364.52288461678205,235.40909094128645,205.5296473067149,223.3663493327673,426.6520128935031,(undefined),(undefined),157.12325531944637,222.75933872570835,(undefined),(undefined),157.12325531944637,222.75933872570835,(undefined),(undefined),362.3494285920712,511.6591552951528,362.3494285921159,283.1372444401752,285.7066806373947,303.4095864886213,742.9674749733807,(undefined)
