,hpso01 (Ingest) [Nf_max=16384] [Na=128],hpso01 (RCAL) [Nf_max=16384] [Na=128],hpso01 (FastImg) [Nf_max=16384] [Na=128],hpso01 (ICAL) [Nf_max=16384] [Na=128],hpso01 (DPrepA) [Nf_max=16384] [Na=128],hpso01 (DPrepB) [Nf_max=16384] [Na=128],hpso01 (DPrepC) [Nf_max=16384] [Na=128],hpso01 (DPrepD) [Nf_max=16384] [Na=128],hpso02a (Ingest) [Nf_max=16384] [Na=128],hpso02a (RCAL) [Nf_max=16384] [Na=128],hpso02a (FastImg) [Nf_max=16384] [Na=128],hpso02a (ICAL) [Nf_max=16384] [Na=128],hpso02a (DPrepA) [Nf_max=16384] [Na=128],hpso02a (DPrepB) [Nf_max=16384] [Na=128],hpso02a (DPrepC) [Nf_max=16384] [Na=128],hpso02a (DPrepD) [Nf_max=16384] [Na=128],hpso02b (Ingest) [Nf_max=16384] [Na=128],hpso02b (RCAL) [Nf_max=16384] [Na=128],hpso02b (FastImg) [Nf_max=16384] [Na=128],hpso02b (ICAL) [Nf_max=16384] [Na=128],hpso02b (DPrepA) [Nf_max=16384] [Na=128],hpso02b (DPrepB) [Nf_max=16384] [Na=128],hpso02b (DPrepC) [Nf_max=16384] [Na=128],hpso02b (DPrepD) [Nf_max=16384] [Na=128],hpso04a (Ingest) [Nf_max=16384] [Na=128],hpso04a (RCAL) [Nf_max=16384] [Na=128],hpso04a (FastImg) [Nf_max=16384] [Na=128],hpso04a (PSS) [Nf_max=16384] [Na=128],hpso05a (Ingest) [Nf_max=16384] [Na=128],hpso05a (RCAL) [Nf_max=16384] [Na=128],hpso05a (FastImg) [Nf_max=16384] [Na=128],hpso05a (PST) [Nf_max=16384] [Na=128],max_low (Ingest) [Nf_max=16384] [Na=128],max_low (RCAL) [Nf_max=16384] [Na=128],max_low (FastImg) [Nf_max=16384] [Na=128],max_low (ICAL) [Nf_max=16384] [Na=128],max_low (DPrepA) [Nf_max=16384] [Na=128],max_low (DPrepA_Image) [Nf_max=16384] [Na=128],max_low (DPrepB) [Nf_max=16384] [Na=128],max_low (DPrepC) [Nf_max=16384] [Na=128],max_low (DPrepD) [Nf_max=16384] [Na=128]
Coalesce time pred3 [s],,9.0,1.0,9.0,3.6,9.0,1.8,,,9.0,1.0,8.1,3.6,9.0,1.8,,,9.0,1.0,8.1,3.6,9.0,1.8,,,5.4,1.0,,,5.4,1.0,,,9.0,1.0,9.0,3.6,3.6,9.0,1.8,
Coalesce time pred4 [s],,4.5,0.9,4.5,1.8,4.5,0.9,,,4.5,0.9,3.6,1.8,4.5,0.9,,,4.5,0.9,3.6,1.8,4.5,0.9,,,2.7,0.9,,,2.7,0.9,,,4.5,0.9,4.5,1.8,1.8,4.5,0.9,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,10.0,7.2,10.0,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,7.2,7.2,10.0,3.6,
Coalesce time bw3 [s],,9.0,1.0,9.0,3.6,9.0,1.8,,,9.0,1.0,8.1,3.6,9.0,1.8,,,9.0,1.0,8.1,3.6,9.0,1.8,,,5.4,1.0,,,5.4,1.0,,,9.0,1.0,9.0,3.6,3.6,9.0,1.8,
Coalesce time bw4 [s],,4.5,0.9,4.5,1.8,4.5,0.9,,,4.5,0.9,3.6,1.8,4.5,0.9,,,4.5,0.9,3.6,1.8,4.5,0.9,,,2.7,0.9,,,2.7,0.9,,,4.5,0.9,4.5,1.8,1.8,4.5,0.9,
Combined samples full0,33.0,12.0,1.1111111111111112,12.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,18.0,33.0,33.0,17.0,17.0,33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,(undefined),33.0,12.0,1.1111111111111112,12.0,33.0,33.0,33.0,17.0,17.0
Combined samples full1,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,9.0,16.0,16.0,8.0,8.0,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,,16.0,6.0,1.1111111111111112,6.0,16.0,16.0,16.0,8.0,8.0
Combined samples full2,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,4.0,8.0,8.0,4.0,4.0,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,,8.0,3.0,1.1111111111111112,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full3,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,2.0,4.0,4.0,2.0,2.0,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,,4.0,1.0,1.1111111111111112,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full4,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples facet0,(undefined),83.0,1.1111111111111112,83.0,33.0,84.0,17.0,(undefined),(undefined),83.0,1.1111111111111112,78.0,33.0,84.0,17.0,(undefined),(undefined),83.0,1.1111111111111112,78.0,33.0,84.0,17.0,(undefined),(undefined),52.0,1.1111111111111112,(undefined),(undefined),52.0,1.1111111111111112,(undefined),(undefined),83.0,1.1111111111111112,83.0,33.0,33.0,84.0,17.0,(undefined)
Combined samples facet1,,41.0,1.1111111111111112,41.0,16.0,42.0,8.0,,,41.0,1.1111111111111112,39.0,16.0,42.0,8.0,,,41.0,1.1111111111111112,39.0,16.0,42.0,8.0,,,26.0,1.1111111111111112,,,26.0,1.1111111111111112,,,41.0,1.1111111111111112,41.0,16.0,16.0,42.0,8.0,
Combined samples facet2,,20.0,1.1111111111111112,20.0,8.0,21.0,4.0,,,20.0,1.1111111111111112,19.0,8.0,21.0,4.0,,,20.0,1.1111111111111112,19.0,8.0,21.0,4.0,,,13.0,1.1111111111111112,,,13.0,1.1111111111111112,,,20.0,1.1111111111111112,20.0,8.0,8.0,21.0,4.0,
Combined samples facet3,,10.0,1.1111111111111112,10.0,4.0,10.0,2.0,,,10.0,1.1111111111111112,9.0,4.0,10.0,2.0,,,10.0,1.1111111111111112,9.0,4.0,10.0,2.0,,,6.0,1.1111111111111112,,,6.0,1.1111111111111112,,,10.0,1.1111111111111112,10.0,4.0,4.0,10.0,2.0,
Combined samples facet4,,5.0,1.0,5.0,2.0,5.0,1.0,,,5.0,1.0,4.0,2.0,5.0,1.0,,,5.0,1.0,4.0,2.0,5.0,1.0,,,3.0,1.0,,,3.0,1.0,,,5.0,1.0,5.0,2.0,2.0,5.0,1.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),1.2424165560319664,32.55476508226232,1.2424165560319664,2.2997127171474565,2.5119017415419984,2.4798103666484166,(undefined),(undefined),1.2424165560319664,32.55476508226232,1.309234160447035,2.2997127171474565,2.5119017415419984,2.4798103666484166,(undefined),(undefined),1.2424165560319664,32.55476508226232,1.309234160447035,2.2997127171474565,2.5119017415419984,2.4798103666484166,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.251761901152716,32.567468020591605,1.251761901152716,2.4372992599743486,2.3900644114935248,1.8018978810409318,19.4805503999382,(undefined)
Visibilities kernel pred1,,2.3175424091743286,64.99502025817469,2.317542409176849,4.596817526078075,2.2919237258358853,5.448002004279101,,,2.3175424091743286,64.99502025817469,2.4578439743106517,4.596817526078075,2.2919237258358853,5.448002004279101,,,2.3175424091743286,64.99502025817469,2.4578439743106517,4.596817526078075,2.2919237258358853,5.448002004279101,,,3.634010980443172,65.24680525561551,,,3.634010980443172,65.24680525561551,,,2.378752887482704,65.03229589341818,2.378752888830694,4.871835591139702,4.777419439725702,2.278825779051935,18.383978517180058,
Visibilities kernel pred2,,4.631841510413,128.46894958994176,4.631841510418038,12.765314450525263,4.176639387210517,21.788825382847854,,,4.631841510413,128.46894958994176,4.912462849649536,12.765314450525263,4.176639387210517,21.788825382847854,,,4.631841510413,128.46894958994176,4.912462849649536,12.765314450525263,4.176639387210517,21.788825382847854,,,7.005404505122904,130.1123243148036,,,7.005404505122904,130.1123243148036,,,4.7541780148804476,128.72715467010218,4.754178017574541,13.529038153101077,13.266845455738288,4.350673268620877,27.667550027427364,
Visibilities kernel pred3,,10.289376197527888,236.03072712920883,10.289376197539077,51.05401053006494,9.278129615075379,87.14893579807578,,,10.289376197527888,236.03072712920883,12.12555499013899,51.05401053006494,9.278129615075379,87.14893579807578,,,10.289376197527888,236.03072712920883,12.12555499013899,51.05401053006494,9.278129615075379,87.14893579807578,,,25.940275596842167,254.60091587588127,,,25.940275596842167,254.60091587588127,,,10.561141228248697,238.794756687367,10.561141234233478,54.108474545586894,53.05985255703544,9.664735679710523,55.33510005485473,
Visibilities kernel pred4,,41.15029365386171,301.1584940643929,41.15029365390646,204.20154654768788,37.10593480221227,300.9571336827234,,,41.15029365386171,301.1584940643929,54.55603443606162,204.20154654768788,37.10593480221227,300.9571336827234,,,41.15029365386171,301.1584940643929,54.55603443606162,204.20154654768788,37.10593480221227,300.9571336827234,,,103.74976712001732,488.1661777473725,,,103.74976712001732,488.1661777473725,,,42.237166008163,223.67268091104376,42.237166032097925,216.4185409590925,212.22435062780295,38.652087224894466,110.67020010970946,
Visibilities kernel bw0,(undefined),1.2424165560319664,32.55476508226232,1.2424165560319664,2.2997127171474565,2.5119017415419984,2.4798103666484166,(undefined),(undefined),1.2424165560319664,32.55476508226232,1.309234160447035,2.2997127171474565,2.5119017415419984,2.4798103666484166,(undefined),(undefined),1.2424165560319664,32.55476508226232,1.309234160447035,2.2997127171474565,2.5119017415419984,2.4798103666484166,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.251761901152716,32.567468020591605,1.251761901152716,2.4372992599743486,2.3900644114935248,1.8018978810409318,19.4805503999382,(undefined)
Visibilities kernel bw1,,2.3175424091743286,64.99502025817469,2.317542409176849,4.596817526078075,2.2919237258358853,5.448002004279101,,,2.3175424091743286,64.99502025817469,2.4578439743106517,4.596817526078075,2.2919237258358853,5.448002004279101,,,2.3175424091743286,64.99502025817469,2.4578439743106517,4.596817526078075,2.2919237258358853,5.448002004279101,,,3.634010980443172,65.24680525561551,,,3.634010980443172,65.24680525561551,,,2.378752887482704,65.03229589341818,2.378752888830694,4.871835591139702,4.777419439725702,2.278825779051935,18.383978517180058,
Visibilities kernel bw2,,4.631841510413,128.46894958994176,4.631841510418038,12.765314450525263,4.176639387210517,21.788825382847854,,,4.631841510413,128.46894958994176,4.912462849649536,12.765314450525263,4.176639387210517,21.788825382847854,,,4.631841510413,128.46894958994176,4.912462849649536,12.765314450525263,4.176639387210517,21.788825382847854,,,7.005404505122904,130.1123243148036,,,7.005404505122904,130.1123243148036,,,4.7541780148804476,128.72715467010218,4.754178017574541,13.529038153101077,13.266845455738288,4.350673268620877,27.667550027427364,
Visibilities kernel bw3,,10.289376197527888,236.03072712920883,10.289376197539077,51.05401053006494,9.278129615075379,87.14893579807578,,,10.289376197527888,236.03072712920883,12.12555499013899,51.05401053006494,9.278129615075379,87.14893579807578,,,10.289376197527888,236.03072712920883,12.12555499013899,51.05401053006494,9.278129615075379,87.14893579807578,,,25.940275596842167,254.60091587588127,,,25.940275596842167,254.60091587588127,,,10.561141228248697,238.794756687367,10.561141234233478,54.108474545586894,53.05985255703544,9.664735679710523,55.33510005485473,
Visibilities kernel bw4,,41.15029365386171,301.1584940643929,41.15029365390646,204.20154654768788,37.10593480221227,300.9571336827234,,,41.15029365386171,301.1584940643929,54.55603443606162,204.20154654768788,37.10593480221227,300.9571336827234,,,41.15029365386171,301.1584940643929,54.55603443606162,204.20154654768788,37.10593480221227,300.9571336827234,,,103.74976712001732,488.1661777473725,,,103.74976712001732,488.1661777473725,,,42.237166008163,223.67268091104376,42.237166032097925,216.4185409590925,212.22435062780295,38.652087224894466,110.67020010970946,
Oversampling used pred0,(undefined),1.2400542203914142,25.671297738388773,1.2400542203914142,2.2763979730393302,2.482311086575173,2.4512130239444545,(undefined),(undefined),1.2400542203914142,25.671297738388773,1.3060597369437588,2.2763979730393302,2.482311086575173,2.4512130239444545,(undefined),(undefined),1.2400542203914142,25.671297738388773,1.3060597369437588,2.2763979730393302,2.482311086575173,2.4512130239444545,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.2492901623809871,25.678964643980194,1.2492901623809871,2.409993540658334,2.3641614607749233,1.7905975999528536,16.908316150625453,(undefined)
Oversampling used pred1,,2.293726808715377,41.00404563732292,2.293726808717828,4.469382499471401,2.268826256124001,5.262051325771431,,,2.293726808715377,41.00404563732292,2.4299174864708846,4.469382499471401,2.268826256124001,5.262051325771431,,,2.293726808715377,41.00404563732292,2.4299174864708846,4.469382499471401,2.268826256124001,5.262051325771431,,,3.559864384033311,41.09504865417958,,,3.559864384033311,41.09504865417958,,,2.353180802818102,41.01754099116667,2.3531808041267794,4.726656984044709,4.6384579391147085,2.2560915830968966,16.088017621342473,
Oversampling used pred2,,4.502208760707738,55.53696204160445,4.502208760712456,11.655317586048106,4.074155348640929,18.589430636574598,,,4.502208760707738,55.53696204160445,4.764568684466951,11.655317586048106,4.074155348640929,18.589430636574598,,,4.502208760707738,55.53696204160445,4.764568684466951,11.655317586048106,4.074155348640929,18.589430636574598,,,6.685166044764095,55.753179318800974,,,6.685166044764095,55.753179318800974,,,4.616726791814671,55.57130546895441,4.616726794334156,12.281116768313716,12.067122612688372,4.238172101941458,22.60481254218857,
Oversampling used pred3,,9.573981867394565,62.44451571090015,9.573981867404157,35.35822544543419,8.700283264869398,47.77699116511613,,,9.573981867394565,62.44451571090015,11.125270847701614,35.35822544543419,8.700283264869398,47.77699116511613,,,9.573981867394565,62.44451571090015,11.125270847701614,35.35822544543419,8.700283264869398,47.77699116511613,,,21.463336977410414,62.838935826255636,,,21.463336977410414,62.838935826255636,,,9.806419454760665,62.51077177952567,9.80641945986843,36.703362906517505,36.24884156810502,9.035947762005364,37.22560086457268,
Oversampling used pred4,,30.523839134569393,63.442263352087444,30.523839134592983,61.432213522754765,28.322309536387827,63.44049190887418,,,30.523839134569393,63.442263352087444,36.895082247770254,61.432213522754765,28.322309536387827,63.44049190887418,,,30.523839134569393,63.442263352087444,36.895082247770254,61.432213522754765,28.322309536387827,63.44049190887418,,,51.50917074569968,63.97066377397596,,,51.50917074569968,63.97066377397596,,,31.091956349684814,62.11032310325914,31.091956362089036,61.88163059148445,61.73698441762966,29.180547302087724,52.79893048338795,
Oversampling used bw0,(undefined),1.2400542203914142,25.671297738388773,1.2400542203914142,2.2763979730393302,2.482311086575173,2.4512130239444545,(undefined),(undefined),1.2400542203914142,25.671297738388773,1.3060597369437588,2.2763979730393302,2.482311086575173,2.4512130239444545,(undefined),(undefined),1.2400542203914142,25.671297738388773,1.3060597369437588,2.2763979730393302,2.482311086575173,2.4512130239444545,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.2492901623809871,25.678964643980194,1.2492901623809871,2.409993540658334,2.3641614607749233,1.7905975999528536,16.908316150625453,(undefined)
Oversampling used bw1,,2.293726808715377,41.00404563732292,2.293726808717828,4.469382499471401,2.268826256124001,5.262051325771431,,,2.293726808715377,41.00404563732292,2.4299174864708846,4.469382499471401,2.268826256124001,5.262051325771431,,,2.293726808715377,41.00404563732292,2.4299174864708846,4.469382499471401,2.268826256124001,5.262051325771431,,,3.559864384033311,41.09504865417958,,,3.559864384033311,41.09504865417958,,,2.353180802818102,41.01754099116667,2.3531808041267794,4.726656984044709,4.6384579391147085,2.2560915830968966,16.088017621342473,
Oversampling used bw2,,4.502208760707738,55.53696204160445,4.502208760712456,11.655317586048106,4.074155348640929,18.589430636574598,,,4.502208760707738,55.53696204160445,4.764568684466951,11.655317586048106,4.074155348640929,18.589430636574598,,,4.502208760707738,55.53696204160445,4.764568684466951,11.655317586048106,4.074155348640929,18.589430636574598,,,6.685166044764095,55.753179318800974,,,6.685166044764095,55.753179318800974,,,4.616726791814671,55.57130546895441,4.616726794334156,12.281116768313716,12.067122612688372,4.238172101941458,22.60481254218857,
Oversampling used bw3,,9.573981867394565,62.44451571090015,9.573981867404157,35.35822544543419,8.700283264869398,47.77699116511613,,,9.573981867394565,62.44451571090015,11.125270847701614,35.35822544543419,8.700283264869398,47.77699116511613,,,9.573981867394565,62.44451571090015,11.125270847701614,35.35822544543419,8.700283264869398,47.77699116511613,,,21.463336977410414,62.838935826255636,,,21.463336977410414,62.838935826255636,,,9.806419454760665,62.51077177952567,9.80641945986843,36.703362906517505,36.24884156810502,9.035947762005364,37.22560086457268,
Oversampling used bw4,,30.523839134569393,63.442263352087444,30.523839134592983,61.432213522754765,28.322309536387827,63.44049190887418,,,30.523839134569393,63.442263352087444,36.895082247770254,61.432213522754765,28.322309536387827,63.44049190887418,,,30.523839134569393,63.442263352087444,36.895082247770254,61.432213522754765,28.322309536387827,63.44049190887418,,,51.50917074569968,63.97066377397596,,,51.50917074569968,63.97066377397596,,,31.091956349684814,62.11032310325914,31.091956362089036,61.88163059148445,61.73698441762966,29.180547302087724,52.79893048338795,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),247.8208046142168,1186.6956875807953,247.8208046142168,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),247.8208046142168,1186.6956875807953,264.29606514294204,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),247.8208046142168,1186.6956875807953,264.29606514294204,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),347.98681916370214,1666.3443177517802,347.98681916370214,857.7991819532908,857.7991819532908,343.7026748873344,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,494.94943095103616,2372.6984303939844,494.94943095103616,1221.0797008176821,488.8474934882089,2372.6984303939844,,,494.94943095103616,2372.6984303939844,527.899891637071,1221.0797008176821,488.8474934882089,2372.6984303939844,,,494.94943095103616,2372.6984303939844,527.899891637071,1221.0797008176821,488.8474934882089,2372.6984303939844,,,485.0159097761033,1453.9394929925988,,,485.0159097761033,1453.9394929925988,,,695.0020427868894,3331.7159644487933,695.0020427868894,1714.625960512763,1714.625960512763,686.4337711722908,3331.7159644487933,
"Channels predict, no-smear2",,989.2061999638064,4744.703814848597,989.2061999638064,2441.466451169051,977.0023310935779,4744.703814848597,,,989.2061999638064,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,,989.2061999638064,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,,969.6083556181683,2907.4553987723175,,,969.6083556181683,2907.4553987723175,,,1389.0318113753438,6662.459115881312,1389.0318113753438,3428.279241973887,3428.279241973887,1371.8952766430345,6662.459115881312,
"Channels predict, no-smear3",,1977.719495566752,9488.714533153065,1977.719495566752,4882.239853545328,1953.3117608590187,9488.714533153065,,,1977.719495566752,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,,1977.719495566752,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,,1938.7931548514175,5814.487179478897,,,1938.7931548514175,5814.487179478897,,,2777.0910083918284,13323.945347729323,2777.0910083918284,6855.585666930379,6855.585666930379,2742.8179431826493,13323.945347729323,
"Channels predict, no-smear4",,3954.7459654110153,18976.73594444234,3954.7459654110153,9763.786609120725,3905.930497514414,18976.73594444234,,,3954.7459654110153,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,,3954.7459654110153,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,,3877.1627070570735,11628.550725478857,,,3877.1627070570735,11628.550725478857,,,5553.209232136797,26646.917775907757,5553.209232136797,13710.1984478155,13710.1984478155,5484.663103847904,26646.917775907757,
"Channels backward, no-smear0",(undefined),247.8208046142168,1186.6956875807953,247.8208046142168,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),247.8208046142168,1186.6956875807953,264.29606514294204,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),247.8208046142168,1186.6956875807953,264.29606514294204,610.88622741501,244.76982984711475,1186.6956875807953,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),347.98681916370214,1666.3443177517802,347.98681916370214,857.7991819532908,857.7991819532908,343.7026748873344,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,494.94943095103616,2372.6984303939844,494.94943095103616,1221.0797008176821,488.8474934882089,2372.6984303939844,,,494.94943095103616,2372.6984303939844,527.899891637071,1221.0797008176821,488.8474934882089,2372.6984303939844,,,494.94943095103616,2372.6984303939844,527.899891637071,1221.0797008176821,488.8474934882089,2372.6984303939844,,,485.0159097761033,1453.9394929925988,,,485.0159097761033,1453.9394929925988,,,695.0020427868894,3331.7159644487933,695.0020427868894,1714.625960512763,1714.625960512763,686.4337711722908,3331.7159644487933,
"Channels backward, no-smear2",,989.2061999638064,4744.703814848597,989.2061999638064,2441.466451169051,977.0023310935779,4744.703814848597,,,989.2061999638064,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,,989.2061999638064,4744.703814848597,1055.1070910546564,2441.466451169051,977.0023310935779,4744.703814848597,,,969.6083556181683,2907.4553987723175,,,969.6083556181683,2907.4553987723175,,,1389.0318113753438,6662.459115881312,1389.0318113753438,3428.279241973887,3428.279241973887,1371.8952766430345,6662.459115881312,
"Channels backward, no-smear3",,1977.719495566752,9488.714533153065,1977.719495566752,4882.239853545328,1953.3117608590187,9488.714533153065,,,1977.719495566752,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,,1977.719495566752,9488.714533153065,2109.521262583198,4882.239853545328,1953.3117608590187,9488.714533153065,,,1938.7931548514175,5814.487179478897,,,1938.7931548514175,5814.487179478897,,,2777.0910083918284,13323.945347729323,2777.0910083918284,6855.585666930379,6855.585666930379,2742.8179431826493,13323.945347729323,
"Channels backward, no-smear4",,3954.7459654110153,18976.73594444234,3954.7459654110153,9763.786609120725,3905.930497514414,18976.73594444234,,,3954.7459654110153,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,,3954.7459654110153,18976.73594444234,4218.3494918582865,9763.786609120725,3905.930497514414,18976.73594444234,,,3877.1627070570735,11628.550725478857,,,3877.1627070570735,11628.550725478857,,,5553.209232136797,26646.917775907757,5553.209232136797,13710.1984478155,13710.1984478155,5484.663103847904,26646.917775907757,
