,hpso01 (Ingest) [Na=128] [Bmax=32500.0],hpso01 (RCAL) [Na=128] [Bmax=32500.0],hpso01 (FastImg) [Na=128] [Bmax=32500.0],hpso01 (ICAL) [Na=128] [Bmax=32500.0],hpso01 (DPrepA) [Na=128] [Bmax=32500.0],hpso01 (DPrepB) [Na=128] [Bmax=32500.0],hpso01 (DPrepC) [Na=128] [Bmax=32500.0],hpso01 (DPrepD) [Na=128] [Bmax=32500.0],hpso02a (Ingest) [Na=128] [Bmax=32500.0],hpso02a (RCAL) [Na=128] [Bmax=32500.0],hpso02a (FastImg) [Na=128] [Bmax=32500.0],hpso02a (ICAL) [Na=128] [Bmax=32500.0],hpso02a (DPrepA) [Na=128] [Bmax=32500.0],hpso02a (DPrepB) [Na=128] [Bmax=32500.0],hpso02a (DPrepC) [Na=128] [Bmax=32500.0],hpso02a (DPrepD) [Na=128] [Bmax=32500.0],hpso02b (Ingest) [Na=128] [Bmax=32500.0],hpso02b (RCAL) [Na=128] [Bmax=32500.0],hpso02b (FastImg) [Na=128] [Bmax=32500.0],hpso02b (ICAL) [Na=128] [Bmax=32500.0],hpso02b (DPrepA) [Na=128] [Bmax=32500.0],hpso02b (DPrepB) [Na=128] [Bmax=32500.0],hpso02b (DPrepC) [Na=128] [Bmax=32500.0],hpso02b (DPrepD) [Na=128] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=32768] [Na=128] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=32768] [Na=128] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=32768] [Na=128] [Bmax=32500.0],hpso04a (PSS) [Nf_max=32768] [Na=128] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=32768] [Na=128] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=32768] [Na=128] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=32768] [Na=128] [Bmax=32500.0],hpso05a (PST) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (Ingest) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (RCAL) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (FastImg) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (ICAL) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (DPrepA) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (DPrepB) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (DPrepC) [Nf_max=32768] [Na=128] [Bmax=32500.0],max_low (DPrepD) [Nf_max=32768] [Na=128] [Bmax=32500.0]
Delta W stack [lambda],(undefined),13.426003934826294,5.523975627739777,13.426003934810602,7.94001606925894,12.3130830428354,11.723544330466279,(undefined),(undefined),13.426003934826294,5.523975627739777,16.193079237641705,7.94001606925894,12.3130830428354,11.723544330466279,(undefined),(undefined),13.426003934826294,5.523975627739777,16.193079237641705,7.94001606925894,12.3130830428354,11.723544330466279,(undefined),(undefined),81.0029607036274,14.500446229164437,(undefined),(undefined),81.0029607036274,14.500446229164437,(undefined),(undefined),13.577780056114506,6.041851586074765,13.57778005455617,8.033197280417278,8.32721476320029,12.5303365950759,34.14557762212883,(undefined)
Delta W theory [lambda],(undefined),30.708349873065497,12.587303150687525,30.708349873065497,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),30.708349873065497,12.587303150687525,44.446252284836,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),30.708349873065497,12.587303150687525,44.446252284836,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),36.810035269866255,15.152462172657435,36.810035269866255,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),4.259279783433521,0.18455205923435844,4.259279783429774,5.511790895466438,7.670862141764707,7.392381025223264,(undefined),(undefined),4.259279783433521,0.18455205923435844,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,(undefined),(undefined),4.259279783433521,0.18455205923435844,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.7556065277975668,0.17264561380323334,3.755606527473279,4.8611962042290875,4.994539414733475,6.794370567409339,11.7585840842431,(undefined)
W kernel support pred1 [uv-pixels],,4.259279783433521,0.5223241974335304,4.259279783429774,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,0.5223241974335304,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,0.5223241974335304,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,3.86906481041327,0.254136932091098,,,3.86906481041327,0.254136932091098,,,3.7556065277975668,0.4886127695866622,3.755606527473279,4.8611962042290875,4.994539414733475,6.794370567409339,14.47527176161959,
W kernel support pred2 [uv-pixels],,4.259279783433521,1.4792330461194296,4.259279783429774,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,1.4792330461194296,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,1.4792330461194296,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,3.86906481041327,0.7193736457952092,,,3.86906481041327,0.7193736457952092,,,3.7556065277975668,1.3836854797576588,3.755606527473279,4.8611962042290875,4.994539414733475,6.794370567409339,14.47527176161959,
W kernel support pred3 [uv-pixels],,4.259279783433521,4.1944977340657905,4.259279783429774,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,4.1944977340657905,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,4.1944977340657905,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,3.86906481041327,2.0378924639467844,,,3.86906481041327,2.0378924639467844,,,3.7556065277975668,3.9231373073638713,3.755606527473279,4.8611962042290875,4.994539414733475,6.794370567409339,14.47527176161959,
AW kernel support pred0 [uv-pixels],(undefined),9.956980680586135,9.001891993496013,9.95698068058453,10.553664713043842,11.825486290126046,11.646771965745744,(undefined),(undefined),9.956980680586135,9.001891993496013,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,(undefined),(undefined),9.956980680586135,9.001891993496013,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.752157730042912,9.001655764800468,9.752157729918025,10.228940733820451,10.292979353196342,11.276678208022002,14.807575752506388,(undefined)
AW kernel support pred1 [uv-pixels],,9.956980680586135,9.015144068023794,9.95698068058453,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.015144068023794,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.015144068023794,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.796410695105543,9.003587372833826,,,9.796410695105543,9.003587372833826,,,9.752157730042912,9.013253709876537,9.752157729918025,10.228940733820451,10.292979353196342,11.276678208022002,17.04504304989405,
AW kernel support pred2 [uv-pixels],,9.956980680586135,9.120752732353388,9.95698068058453,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.120752732353388,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.120752732353388,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.796410695105543,9.028704139701594,,,9.796410695105543,9.028704139701594,,,9.752157730042912,9.105744643184991,9.752157729918025,10.228940733820451,10.292979353196342,11.276678208022002,17.04504304989405,
AW kernel support pred3 [uv-pixels],,9.956980680586135,9.92944163793126,9.95698068058453,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.92944163793126,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.92944163793126,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.796410695105543,9.22783862530176,,,9.796410695105543,9.22783862530176,,,9.752157730042912,9.817892153228728,9.752157729918025,10.228940733820451,10.292979353196342,11.276678208022002,17.04504304989405,
W kernel support bw0 [uv-pixels],(undefined),4.259279783433521,0.18455205923435844,4.259279783429774,5.511790895466438,7.670862141764707,7.392381025223264,(undefined),(undefined),4.259279783433521,0.18455205923435844,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,(undefined),(undefined),4.259279783433521,0.18455205923435844,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.7556065277975668,0.17264561380323334,3.755606527473279,4.8611962042290875,4.994539414733475,6.794370567409339,11.7585840842431,(undefined)
W kernel support bw1 [uv-pixels],,4.259279783433521,0.5223241974335304,4.259279783429774,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,0.5223241974335304,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,0.5223241974335304,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,3.86906481041327,0.254136932091098,,,3.86906481041327,0.254136932091098,,,3.7556065277975668,0.4886127695866622,3.755606527473279,4.8611962042290875,4.994539414733475,6.794370567409339,14.47527176161959,
W kernel support bw2 [uv-pixels],,4.259279783433521,1.4792330461194296,4.259279783429774,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,1.4792330461194296,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,1.4792330461194296,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,3.86906481041327,0.7193736457952092,,,3.86906481041327,0.7193736457952092,,,3.7556065277975668,1.3836854797576588,3.755606527473279,4.8611962042290875,4.994539414733475,6.794370567409339,14.47527176161959,
W kernel support bw3 [uv-pixels],,4.259279783433521,4.1944977340657905,4.259279783429774,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,4.1944977340657905,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,4.259279783433521,4.1944977340657905,3.7274638112266554,5.511790895466438,7.670862141764707,7.392381025223264,,,3.86906481041327,2.0378924639467844,,,3.86906481041327,2.0378924639467844,,,3.7556065277975668,3.9231373073638713,3.755606527473279,4.8611962042290875,4.994539414733475,6.794370567409339,14.47527176161959,
AW kernel support bw0 [uv-pixels],(undefined),9.956980680586135,9.001891993496013,9.95698068058453,10.553664713043842,11.825486290126046,11.646771965745744,(undefined),(undefined),9.956980680586135,9.001891993496013,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,(undefined),(undefined),9.956980680586135,9.001891993496013,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.752157730042912,9.001655764800468,9.752157729918025,10.228940733820451,10.292979353196342,11.276678208022002,14.807575752506388,(undefined)
AW kernel support bw1 [uv-pixels],,9.956980680586135,9.015144068023794,9.95698068058453,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.015144068023794,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.015144068023794,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.796410695105543,9.003587372833826,,,9.796410695105543,9.003587372833826,,,9.752157730042912,9.013253709876537,9.752157729918025,10.228940733820451,10.292979353196342,11.276678208022002,17.04504304989405,
AW kernel support bw2 [uv-pixels],,9.956980680586135,9.120752732353388,9.95698068058453,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.120752732353388,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.120752732353388,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.796410695105543,9.028704139701594,,,9.796410695105543,9.028704139701594,,,9.752157730042912,9.105744643184991,9.752157729918025,10.228940733820451,10.292979353196342,11.276678208022002,17.04504304989405,
AW kernel support bw3 [uv-pixels],,9.956980680586135,9.92944163793126,9.95698068058453,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.92944163793126,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.956980680586135,9.92944163793126,9.74135444709843,10.553664713043842,11.825486290126046,11.646771965745744,,,9.796410695105543,9.22783862530176,,,9.796410695105543,9.22783862530176,,,9.752157730042912,9.817892153228728,9.752157729918025,10.228940733820451,10.292979353196342,11.276678208022002,17.04504304989405,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.03833774275163945,25.266238882314134,0.02380602998026012,25.266238882314134,0.9358702777851132,0.7486962222280906,0.7617929593683238,0.13948845691558664,0.03833774275163945,25.266238882314134,0.02380602998026012,16.844602130463432,0.9358702777851132,0.7486962222280906,0.7617929593683238,0.13948845691558664,0.03833774275163945,25.266238882314134,0.02380602998026012,16.844602130463432,0.9358702777851132,0.7486962222280906,0.7617929593683238,0.13948845691558664,0.03843704604693961,15.522730664162188,0.014587840706017773,(undefined),0.03843704604693961,15.522730664162188,0.014587840706017773,(undefined),0.03835170582805262,35.49148811911316,0.03342815734366817,35.49148811911316,1.3146170238856394,6.573085119428197,1.0516936191085116,0.06021307918264321,0.12042615836528642
Snapshot vis size1 [GB],0.010820320114401549,7.131061277254959,0.006718936654882726,7.131061277254959,0.2641369904532469,0.2113095923625975,0.21500597295624724,0.039368769462203475,0.010820320114401549,7.131061277254959,0.006718936654882726,4.754165847272018,0.2641369904532469,0.2113095923625975,0.21500597295624724,0.039368769462203475,0.010820320114401549,7.131061277254959,0.006718936654882726,4.754165847272018,0.2641369904532469,0.2113095923625975,0.21500597295624724,0.039368769462203475,0.010848347154243812,4.381085133883873,0.004117224825665037,,0.010848347154243812,4.381085133883873,0.004117224825665037,,0.01082426100778046,10.017002442556722,0.009434654659672286,10.017002442556722,0.37103324310026553,1.8551662155013278,0.2968265944802124,0.016994344086732806,0.03398868817346561
Snapshot vis size2 [GB],0.012241080701028077,8.067404259387041,0.007601165672358116,8.067404259387041,0.2988194602451193,0.23905556819609544,0.24323730151545972,0.04453808011147334,0.012241080701028077,8.067404259387041,0.007601165672358116,5.37841091457829,0.2988194602451193,0.23905556819609544,0.24323730151545972,0.04453808011147334,0.012241080701028077,8.067404259387041,0.007601165672358116,5.37841091457829,0.2988194602451193,0.23905556819609544,0.24323730151545972,0.04453808011147334,0.012272787827332357,4.956342891424061,0.004657836443134609,,0.012272787827332357,4.956342891424061,0.004657836443134609,,0.012245539052849037,11.332283517058778,0.010673470641747885,11.332283517058778,0.41975171007274037,2.0987585503637023,0.33580136805819233,0.019225784008908807,0.038451568017817614
Snapshot vis size3 [GB],0.015390939828723083,10.143298338012112,0.009557087837971183,10.143298338012112,0.3757112990765497,0.30056903926123973,0.30582681081507784,0.055998561550612405,0.015390939828723083,10.143298338012112,0.009557087837971183,6.76237668733527,0.3757112990765497,0.30056903926123973,0.30582681081507784,0.055998561550612405,0.015390939828723083,10.143298338012112,0.009557087837971183,6.76237668733527,0.3757112990765497,0.30056903926123973,0.30582681081507784,0.055998561550612405,0.015430805791950488,6.23170266380324,0.005856384920515842,,0.015430805791950488,6.23170266380324,0.005856384920515842,,0.015396545397895247,14.248292123295428,0.013419954367018209,14.248292123295428,0.5277616797502678,2.638808398751339,0.42220934380021424,0.024172938000179202,0.048345876000358404
Facet size [GB],(undefined),0.28260432785271483,0.24228766105342497,0.28260432785271483,0.6730212807039582,0.6730212807039582,0.6730212807039582,(undefined),(undefined),0.28260432785271483,0.24228766105342497,0.19625300545327415,0.6730212807039582,0.6730212807039582,0.6730212807039582,(undefined),(undefined),0.28260432785271483,0.24228766105342497,0.19625300545327415,0.6730212807039582,0.6730212807039582,0.6730212807039582,(undefined),(undefined),0.28554375658719666,0.2448077474170067,(undefined),(undefined),0.28554375658719666,0.2448077474170067,(undefined),(undefined),0.28301626469105406,0.24264083049644533,0.28301626469105406,0.6740023069345706,0.6740023069345706,0.6740023069345706,0.6740023069345706,(undefined)
Image size [GB],0.6730212807039583,4.906325136331856,0.24228766105342492,4.906325136331856,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,4.906325136331856,0.24228766105342492,2.1805889494808244,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,4.906325136331856,0.24228766105342492,2.1805889494808244,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6730212807039583,0.6800215206027961,4.957356885194385,0.24480774741700664,(undefined),0.6800215206027961,4.957356885194385,0.24480774741700664,(undefined),0.6740023069345706,4.913476817553018,0.24264083049644541,4.913476817553018,0.6740023069345706,0.6740023069345706,0.6740023069345706,0.6740023069345706,0.6740023069345706
Image cube size [GB],352856.9812177169,1570.0240436261938,38.76602576854799,1570.0240436261938,107.68340491263334,2692.085122815833,8076.255368447499,44107.12265221461,352856.9812177169,1570.0240436261938,38.76602576854799,697.7884638338637,107.68340491263334,2692.085122815833,8076.255368447499,44107.12265221461,352856.9812177169,1570.0240436261938,38.76602576854799,697.7884638338637,107.68340491263334,2692.085122815833,8076.255368447499,44107.12265221461,178263.56149689938,793.1771016311017,19.58461979336053,(undefined),178263.56149689938,793.1771016311017,19.58461979336053,(undefined),176685.6607490561,786.1562908084829,19.411266439715632,786.1562908084829,53.920184554765655,53.920184554765655,1348.0046138691414,176685.6607490561,44171.41518726402
Calibration output [GB],0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.0786432,0.0,(undefined),0.0,0.0786432,0.0,(undefined),0.0,0.7077888,0.0,4.9790976,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,5.7890949733662715,0.0,1809.09217917696,0.0,0.0,0.0,0.0,0.0,5.7890949733662715,0.0,1809.09217917696,0.0,0.0,0.0,0.0,0.0,5.7890949733662715,0.0,1809.09217917696,0.0,0.0,0.0,0.0,0.0,9.64849162227712,0.0,(undefined),0.0,9.64849162227712,0.0,(undefined),0.0,4.135067838118766,0.0,1788.4168399863663,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.10922666666666667,0.0,(undefined),0.0,0.10922666666666667,0.0,(undefined),0.0,0.04681142857142857,0.0,20.245942857142857,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.002296160163803308,0.00021873191622878645,0.021873191622878645,0.06561957486863593,(undefined),(undefined),(undefined),(undefined),0.0010205156283570258,0.00021873191622878645,0.021873191622878645,0.06561957486863593,(undefined),(undefined),(undefined),(undefined),0.0010205156283570258,0.00021873191622878645,0.021873191622878645,0.06561957486863593,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.0032193100108607394,0.0003066710496552297,0.0003066710496552297,0.021905074975373546,2.8711419871721615,(undefined)
Working (cache) memory [TeraBytes],(undefined),0.00015824808350162748,6.045466737402189e-06,0.00015824808350120987,1.3717284398602115e-05,3.6976217019080095e-05,3.309352083982313e-05,(undefined),(undefined),0.00015824808350162748,6.045466737402189e-06,6.788131289595799e-05,1.3717284398602115e-05,3.6976217019080095e-05,3.309352083982313e-05,(undefined),(undefined),0.00015824808350162748,6.045466737402189e-06,6.788131289595799e-05,1.3717284398602115e-05,3.6976217019080095e-05,3.309352083982313e-05,(undefined),(undefined),3.558518441796792e-05,2.0799600249510374e-07,(undefined),(undefined),3.558518441796792e-05,2.0799600249510374e-07,(undefined),(undefined),7.593959000774814e-05,3.462489849728325e-06,7.593958998807656e-05,6.587451549480525e-06,7.144540753792293e-06,1.798604488649424e-05,0.00017392746280601293,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.3070782900329315,0.3070782900329315,0.24114786194908253,0.3070782900329315,0.15353914501646576,0.3070782900329315,0.48229572389816505,0.48229572389816505,0.3070782900329315,0.3070782900329315,0.24114786194908253,0.3070782900329315,0.15353914501646576,0.3070782900329315,0.48229572389816505,0.48229572389816505,0.3070782900329315,0.3070782900329315,0.24114786194908253,0.3070782900329315,0.15353914501646576,0.3070782900329315,0.48229572389816505,0.48229572389816505,0.020524912748036906,0.020524912748036906,0.016076524129938836,0.002102152,0.020524912748036906,0.020524912748036906,0.016076524129938836,0.00077309411328,0.18431407902888267,0.18431407902888267,0.14468871716944953,0.18431407902888267,0.09215703951444133,0.09215703951444133,0.18431407902888267,0.28937743433889906,0.28937743433889906
Total buffer ingest rate [TeraBytes/s],0.017059905001829526,0.017059905001829526,0.013397103441615696,0.017059905001829526,0.008529952500914763,0.017059905001829526,0.026794206883231392,0.026794206883231392,0.017059905001829526,0.017059905001829526,0.013397103441615696,0.017059905001829526,0.008529952500914763,0.017059905001829526,0.026794206883231392,0.026794206883231392,0.017059905001829526,0.017059905001829526,0.013397103441615696,0.017059905001829526,0.008529952500914763,0.017059905001829526,0.026794206883231392,0.026794206883231392,0.008552046978348712,0.008552046978348712,0.006698551720807848,(undefined),0.008552046978348712,0.008552046978348712,0.006698551720807848,(undefined),0.008533059214300124,0.008533059214300124,0.006698551720807848,0.008533059214300124,0.004266529607150062,0.004266529607150062,0.008533059214300124,0.013397103441615696,0.013397103441615696
Output size [TB],0.0,0.0,0.0,0.0,0.023744190783235645,1.1872095391617823,3.5616286174853466,11.856066505454125,0.0,0.0,0.0,0.0,0.023744190783235645,1.1872095391617823,3.5616286174853466,11.856066505454125,0.0,0.0,0.0,0.0,0.023744190783235645,1.1872095391617823,3.5616286174853466,11.856066505454125,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.016645160972056153,0.016645160972056153,0.5944700347162911,77.91837639033372,14.22727980654495
Buffer Read Rate [TeraBytes/s],0.016775049684755447,0.013495467401858197,0.0076293152232755415,0.06747733700929098,0.014996304220480232,0.029992608440960463,0.09155178267930648,0.09155178267930648,0.016775049684755447,0.013495467401858197,0.0076293152232755415,0.044986074106198676,0.014996304220480232,0.029992608440960463,0.09155178267930648,0.09155178267930648,0.016775049684755447,0.013495467401858197,0.0076293152232755415,0.044986074106198676,0.014996304220480232,0.029992608440960463,0.09155178267930648,0.09155178267930648,0.00840925040044346,0.004145581513769781,0.002337542951626661,0.0008758966666666667,0.00840925040044346,0.004145581513769781,0.002337542951626661,0.0003221225472,0.00839057968186189,0.009478542160269877,0.005356498960968524,0.04739271080134938,0.010532654627235653,0.010532654627235653,0.021065309254471306,0.1580808867393883,0.07904044336969415
Facet visibility rate [TeraBytes/s],0.0,0.0001217934560662292,0.0012971034413520087,0.001096141104596063,0.0017866382791771342,0.0035732765583542684,0.01104834786883395,(undefined),0.0,0.0001217934560662292,0.0012971034413520087,0.0007917925050271377,0.0017866382791771342,0.0035732765583542684,0.01104834786883395,(undefined),0.0,0.0001217934560662292,0.0012971034413520087,0.0007917925050271377,0.0017866382791771342,0.0035732765583542684,0.01104834786883395,(undefined),0.0,3.738062120870612e-05,0.0003974189001410613,(undefined),0.0,3.738062120870612e-05,0.0003974189001410613,(undefined),0.0,8.553123594509447e-05,0.0009106889318819935,0.0007697811235058502,0.0012547968412658737,0.0012547968412658737,0.0025095936825317473,0.029360153835990676,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.0037680577047028646,0.038766025768548,0.03391251934232578,0.009870978783658054,0.04935489391829027,0.14806468175487078,(undefined),0.0,0.0037680577047028646,0.038766025768548,0.015072230818811455,0.009870978783658054,0.04935489391829027,0.14806468175487078,(undefined),0.0,0.0037680577047028646,0.038766025768548,0.015072230818811455,0.009870978783658054,0.04935489391829027,0.14806468175487078,(undefined),0.0,0.0019036250439146444,0.019584619793360535,(undefined),0.0,0.0019036250439146444,0.019584619793360535,(undefined),0.0,0.00188677509794036,0.019411266439715625,0.016980975881463245,0.0049426835841868515,0.0009885367168373704,0.024713417920934257,3.2392371137326954,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.02350712560619422,0.022030711999061137,0.013000426928208077,0.20339031285935427,0.05632510821796875,0.07056514373593872,0.2056040354631047,0.008664994764835196,0.02350712560619422,0.022030711999061137,0.013000426928208077,0.11270433442008977,0.05632510821796875,0.07056514373593872,0.2056040354631047,0.008664994764835196,0.02350712560619422,0.022030711999061137,0.013000426928208077,0.11270433442008977,0.05632510821796875,0.07056514373593872,0.2056040354631047,0.008664994764835196,0.011783997955144477,0.006467728084046034,0.004091832478194427,0.00050088,0.011783997955144477,0.006467728084046034,0.004091832478194427,2.755e-07,0.011757842302104662,0.014782527424209067,0.009001982688724725,0.13634517709516478,0.03850586415135487,0.034802811143029945,0.04569968700942105,0.8490752004635905,0.007480848629760846
-> DFT [PetaFLOP/s],,0.010451799279207459,0.011817311542762624,0.09406619351286713,0.04258521093852361,0.04258521093852361,0.12999042697038887,,,0.010451799279207459,0.011817311542762624,0.06271244450081374,0.04258521093852361,0.04258521093852361,0.12999042697038887,,,0.010451799279207459,0.011817311542762624,0.06271244450081374,0.04258521093852361,0.04258521093852361,0.12999042697038887,,,0.0032106176531202465,0.0036207015302877196,,,0.0032106176531202465,0.0036207015302877196,,,0.007340821712110949,0.008296867431448533,0.06606739540899854,0.02990972391923665,0.02990972391923665,0.02990972391923665,0.22445223196899555,
-> Subtract Visibility [PetaFLOP/s],,1.1246222834881832e-06,6.357762686062951e-07,1.0121600551393647e-05,2.2911020336844797e-06,4.5822040673689595e-06,1.3987077909338493e-05,,,1.1246222834881832e-06,6.357762686062951e-07,6.747911115929802e-06,2.2911020336844797e-06,4.5822040673689595e-06,1.3987077909338493e-05,,,1.1246222834881832e-06,6.357762686062951e-07,6.747911115929802e-06,2.2911020336844797e-06,4.5822040673689595e-06,1.3987077909338493e-05,,,3.4546512614748176e-07,1.947952459688884e-07,,,3.4546512614748176e-07,1.947952459688884e-07,,,7.898785133558231e-07,4.4637491341404365e-07,7.1089066202024075e-06,1.6091555680498915e-06,1.6091555680498915e-06,3.218311136099783e-06,2.415124658518433e-05,
-> Flag [PetaFLOP/s],0.00039522113254238404,0.00015688480854660156,8.869078947057816e-05,0.001411963276919414,0.000319608733698985,0.00063921746739797,0.0019511973683527196,0.0019511973683527196,0.00039522113254238404,0.00015688480854660156,8.869078947057816e-05,0.0009413336006722075,0.000319608733698985,0.00063921746739797,0.0019511973683527196,0.0019511973683527196,0.00039522113254238404,0.00015688480854660156,8.869078947057816e-05,0.0009413336006722075,0.000319608733698985,0.00063921746739797,0.0019511973683527196,0.0019511973683527196,0.0001981224216650785,4.81923850975737e-05,2.7173936812659933e-05,,0.0001981224216650785,4.81923850975737e-05,2.7173936812659933e-05,,0.00019768253846461951,0.00011018805261313734,6.226930042125909e-05,0.000991692473518236,0.00022447720174295985,0.00022447720174295985,0.0004489544034859197,0.003369098898633214,0.001684549449316607
