,hpso01 (Ingest) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso01 (RCAL) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso01 (FastImg) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso01 (ICAL) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso01 (DPrepA) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso01 (DPrepB) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso01 (DPrepC) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso01 (DPrepD) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02a (Ingest) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02a (RCAL) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02a (FastImg) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02a (ICAL) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02a (DPrepA) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02a (DPrepB) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02a (DPrepC) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02a (DPrepD) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02b (Ingest) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02b (RCAL) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02b (FastImg) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02b (ICAL) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02b (DPrepA) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02b (DPrepB) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02b (DPrepC) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso02b (DPrepD) [Nf_max=65536] [Na=128] [Bmax=4062.5],hpso04a (Ingest) [Na=128] [Bmax=4062.5],hpso04a (RCAL) [Na=128] [Bmax=4062.5],hpso04a (FastImg) [Na=128] [Bmax=4062.5],hpso04a (PSS) [Na=128] [Bmax=4062.5],hpso05a (Ingest) [Na=128] [Bmax=4062.5],hpso05a (RCAL) [Na=128] [Bmax=4062.5],hpso05a (FastImg) [Na=128] [Bmax=4062.5],hpso05a (PST) [Na=128] [Bmax=4062.5],max_low (Ingest) [Na=128] [Bmax=4062.5],max_low (RCAL) [Na=128] [Bmax=4062.5],max_low (FastImg) [Na=128] [Bmax=4062.5],max_low (ICAL) [Na=128] [Bmax=4062.5],max_low (DPrepA) [Na=128] [Bmax=4062.5],max_low (DPrepA_Image) [Na=128] [Bmax=4062.5],max_low (DPrepB) [Na=128] [Bmax=4062.5],max_low (DPrepC) [Na=128] [Bmax=4062.5],max_low (DPrepD) [Na=128] [Bmax=4062.5]
Oversampling used bw0,(undefined),7.492893262547284,25.671297738388773,7.49289326254145,3.141083698663877,3.094289173622883,3.8909668332532164,(undefined),(undefined),7.492893262547284,25.671297738388773,5.36275549841676,3.141083698663877,3.094289173622883,3.8909668332532164,(undefined),(undefined),7.492893262547284,25.671297738388773,5.36275549841676,3.141083698663877,3.094289173622883,3.8909668332532164,(undefined),(undefined),7.673752402390228,25.725283690424163,(undefined),(undefined),7.673752402390228,25.725283690424163,(undefined),(undefined),7.647414962097962,25.678964643980194,7.647414962125666,3.154187239031664,3.1539403480862305,3.117266915159192,54.8333607707351,(undefined)
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),208.45947230387156,364.52288461678205,208.45947230404445,191.16747211934654,194.1324431235032,376.6170936923868,(undefined),(undefined),208.45947230387156,364.52288461678205,197.77732353777685,191.16747211934654,194.1324431235032,376.6170936923868,(undefined),(undefined),208.45947230387156,364.52288461678205,197.77732353777685,191.16747211934654,194.1324431235032,376.6170936923868,(undefined),(undefined),124.53331447990521,222.75933835694266,(undefined),(undefined),124.53331447990521,222.75933835694266,(undefined),(undefined),286.4176574791131,511.6591552951528,286.4176574780066,267.2913864358336,267.31284780886034,270.53849063517737,531.0954343860826,(undefined)
Frequencies predict de-grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies total0,65536.0,1648.2150744838107,1186.6956875807953,1648.2150744838107,610.88622741501,610.88622741501,1500.0,8192.0,65536.0,1648.2150744838107,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,65536.0,1648.2150744838107,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,65536.0,1009.9910567682889,727.1815092638062,(undefined),65536.0,1009.9910567682889,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,16384.0
Frequencies backward kernels0,(undefined),208.45947230387156,364.52288461678205,208.45947230404445,191.16747211934654,194.1324431235032,376.6170936923868,(undefined),(undefined),208.45947230387156,364.52288461678205,197.77732353777685,191.16747211934654,194.1324431235032,376.6170936923868,(undefined),(undefined),208.45947230387156,364.52288461678205,197.77732353777685,191.16747211934654,194.1324431235032,376.6170936923868,(undefined),(undefined),124.53331447990521,222.75933835694266,(undefined),(undefined),124.53331447990521,222.75933835694266,(undefined),(undefined),286.4176574791131,511.6591552951528,286.4176574780066,267.2913864358336,267.31284780886034,270.53849063517737,531.0954343860826,(undefined)
Frequencies backward grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],22.551726598035298,22.551726598035298,255.02138033210653,22.551726598035298,22.551726598035298,22.551726598035298,43.832677646282356,43.832677646282356,22.551726598035298,22.551726598035298,255.02138033210653,22.551726598035298,22.551726598035298,22.551726598035298,43.832677646282356,43.832677646282356,22.551726598035298,22.551726598035298,255.02138033210653,22.551726598035298,22.551726598035298,22.551726598035298,43.832677646282356,43.832677646282356,22.610140594404378,22.610140594404378,255.02138033210653,(undefined),22.610140594404378,22.610140594404378,255.02138033210653,(undefined),22.559940213630178,22.559940213630178,255.02138033210653,22.559940213630178,22.559940213630178,22.559940213630178,22.559940213630178,43.84864204542118,43.84864204542118
Averaged rate0 [M/s],21.80991587648822,0.5485142840706128,4.465912587625227,0.5485142840706128,0.20329860275309175,0.20329860275309175,0.9702497124208493,5.298857096101065,21.80991587648822,0.5485142840706128,4.465912587625227,0.365753053931877,0.20329860275309175,0.20329860275309175,0.9702497124208493,5.298857096101065,21.80991587648822,0.5485142840706128,4.465912587625227,0.365753053931877,0.20329860275309175,0.20329860275309175,0.9702497124208493,5.298857096101065,21.866408417814526,0.3369884787847214,2.736614862340972,(undefined),21.866408417814526,0.3369884787847214,2.736614862340972,(undefined),21.81785931551438,0.7704979629051,6.270982646895968,0.7704979629051,0.2855734538699375,0.2855734538699375,0.2855734538699375,42.40629603908891,10.601574009772227
Predict rate0 [M/s],(undefined),0.6202756549369991,4.465912587625227,0.6202756549369991,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6202756549369991,4.465912587625227,0.4136040239265616,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6202756549369991,4.465912587625227,0.4136040239265616,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.3800916967184404,2.736614862340972,(undefined),(undefined),0.3800916967184404,2.736614862340972,(undefined),(undefined),0.8709839307305351,6.270982646895968,0.8709839307305351,0.3228170629110003,0.3228170629110003,0.3228170629110003,24.663277233210653,(undefined)
Backward rate0 [M/s],(undefined),0.6202756549369991,4.465912587625227,0.6202756549369991,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6202756549369991,4.465912587625227,0.4136040239265616,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6202756549369991,4.465912587625227,0.4136040239265616,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.3800916967184404,2.736614862340972,(undefined),(undefined),0.3800916967184404,2.736614862340972,(undefined),(undefined),0.8709839307305351,6.270982646895968,0.8709839307305351,0.3228170629110003,0.3228170629110003,0.3228170629110003,24.663277233210653,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W stack [lambda],(undefined),0.792710089488485,0.1,0.7927100894931852,1.6672775248047054,2.561177770653812,2.553291362758033,(undefined),(undefined),0.792710089488485,0.1,1.0780871692038856,1.6672775248047054,2.561177770653812,2.553291362758033,(undefined),(undefined),0.792710089488485,0.1,1.0780871692038856,1.6672775248047054,2.561177770653812,2.553291362758033,(undefined),(undefined),4.538316148917705,0.22656453798091633,(undefined),(undefined),4.538316148917705,0.22656453798091633,(undefined),(undefined),0.8015237978319357,0.1,0.8015237978049365,1.6812132404059343,1.6878824861994985,2.5843392745821925,3.3416368161867944,(undefined)
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),1.3581201072478302,15.152462172657435,1.3581201072478302,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),4.33932898315367,0.18455205923435844,4.339328983173033,1.704147203195852,2.352991756973502,2.347543172463105,(undefined),(undefined),4.33932898315367,0.18455205923435844,2.971261885673658,1.704147203195852,2.352991756973502,2.347543172463105,(undefined),(undefined),4.33932898315367,0.18455205923435844,2.971261885673658,1.704147203195852,2.352991756973502,2.347543172463105,(undefined),(undefined),3.7892734314330347,0.08981409127053162,(undefined),(undefined),3.7892734314330347,0.08981409127053162,(undefined),(undefined),3.8256403611065544,0.17264561380323334,3.8256403610095986,1.4996147761420477,1.5040818391569861,2.0715297696361987,2.5129689332779805,(undefined)
AW kernel support pred0 [uv-pixels],(undefined),9.991485176090563,9.001891993496013,9.991485176098973,9.159919087533481,9.302503437698116,9.301126756827806,(undefined),(undefined),9.991485176090563,9.001891993496013,9.477784403185007,9.159919087533481,9.302503437698116,9.301126756827806,(undefined),(undefined),9.991485176090563,9.001891993496013,9.477784403185007,9.159919087533481,9.302503437698116,9.301126756827806,(undefined),(undefined),9.765172458188554,9.000448131676041,(undefined),(undefined),9.765172458188554,9.000448131676041,(undefined),(undefined),9.77934170445677,9.001655764800468,9.779341704418844,9.124080472947593,9.12481573396865,9.235325418548552,9.34425025668835,(undefined)
W kernel support bw0 [uv-pixels],(undefined),4.33932898315367,0.18455205923435844,4.339328983173033,1.704147203195852,2.352991756973502,2.347543172463105,(undefined),(undefined),4.33932898315367,0.18455205923435844,2.971261885673658,1.704147203195852,2.352991756973502,2.347543172463105,(undefined),(undefined),4.33932898315367,0.18455205923435844,2.971261885673658,1.704147203195852,2.352991756973502,2.347543172463105,(undefined),(undefined),3.7892734314330347,0.08981409127053162,(undefined),(undefined),3.7892734314330347,0.08981409127053162,(undefined),(undefined),3.8256403611065544,0.17264561380323334,3.8256403610095986,1.4996147761420477,1.5040818391569861,2.0715297696361987,2.5129689332779805,(undefined)
AW kernel support bw0 [uv-pixels],(undefined),9.991485176090563,9.001891993496013,9.991485176098973,9.159919087533481,9.302503437698116,9.301126756827806,(undefined),(undefined),9.991485176090563,9.001891993496013,9.477784403185007,9.159919087533481,9.302503437698116,9.301126756827806,(undefined),(undefined),9.991485176090563,9.001891993496013,9.477784403185007,9.159919087533481,9.302503437698116,9.301126756827806,(undefined),(undefined),9.765172458188554,9.000448131676041,(undefined),(undefined),9.765172458188554,9.000448131676041,(undefined),(undefined),9.77934170445677,9.001655764800468,9.779341704418844,9.124080472947593,9.12481573396865,9.235325418548552,9.34425025668835,(undefined)
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.009584435687909863,0.3949302845308412,0.0026795475525751367,0.3949302845308412,0.01463749939822261,0.011709999518578085,0.018628794478480305,0.018628794478480308,0.009584435687909863,0.3949302845308412,0.0026795475525751367,0.26334219883095145,0.01463749939822261,0.011709999518578085,0.018628794478480305,0.018628794478480308,0.009584435687909863,0.3949302845308412,0.0026795475525751367,0.26334219883095145,0.01463749939822261,0.011709999518578085,0.018628794478480305,0.018628794478480308,0.009609261511734902,0.24263170472499943,0.0016419689174045832,(undefined),0.009609261511734902,0.24263170472499943,0.0016419689174045832,(undefined),0.009587926457013155,0.5547585332916721,0.0037625895881375814,0.5547585332916721,0.020561288678635506,0.10280644339317752,0.016449030942908404,0.018635579314052745,0.018635579314052745
Facet size [GB],(undefined),0.07666133025518523,0.0037857447039597652,0.07666133025518523,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07666133025518523,0.0037857447039597652,0.034071702335637874,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07666133025518523,0.0037857447039597652,0.034071702335637874,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07745870133116228,0.0038251210533907297,(undefined),(undefined),0.07745870133116228,0.0038251210533907297,(undefined),(undefined),0.07677307527426595,0.0037912629765069583,0.07677307527426595,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666,(undefined)
Image size [GB],0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.07666133025518525,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.03407170233563788,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.03407170233563788,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010625336259418689,0.07745870133116227,0.003825121053390729,(undefined),0.010625336259418689,0.07745870133116227,0.003825121053390729,(undefined),0.010531286045852666,0.07677307527426591,0.0037912629765069596,0.07677307527426591,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666
Image cube size [GB],5513.390331526826,24.53162568165928,0.6057191526335624,24.53162568165928,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,5513.390331526826,24.53162568165928,0.6057191526335624,10.90294474740412,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,5513.390331526826,24.53162568165928,0.6057191526335624,10.90294474740412,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,2785.3681483890527,12.393392212985963,0.3060096842712583,(undefined),2785.3681483890527,12.393392212985963,0.3060096842712583,(undefined),2760.7134492040013,12.283692043882546,0.30330103812055675,12.283692043882546,0.8425028836682134,0.8425028836682134,21.062572091705334,2760.7134492040013,690.1783623010003
Calibration output [GB],0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.589824,0.0,2.9696,0.0,0.0,0.0,0.0,0.0,0.0786432,0.0,(undefined),0.0,0.0786432,0.0,(undefined),0.0,0.7077888,0.0,4.9790976,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,2.890227800766873,0.0,903.1961877396478,0.0,0.0,0.0,0.0,0.0,2.890227800766873,0.0,903.1961877396478,0.0,0.0,0.0,0.0,0.0,2.890227800766873,0.0,903.1961877396478,0.0,0.0,0.0,0.0,0.0,4.817046334611456,0.0,(undefined),0.0,4.817046334611456,0.0,(undefined),0.0,2.064448429119195,0.0,892.873945594052,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.065536,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.10922666666666667,0.0,(undefined),0.0,0.10922666666666667,0.0,(undefined),0.0,0.04681142857142857,0.0,20.245942857142857,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),2.4914932332935202e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),1.107330325908231e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),1.107330325908231e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),3.493174924979101e-05,4.791735150862964e-06,4.791735150862964e-06,0.00034226679649021165,0.044861593549565024,(undefined)
Working (cache) memory [TeraBytes],(undefined),6.6935679260588295e-06,5.149281446521983e-10,6.693567926148435e-06,4.054256877107755e-07,1.0672131327783362e-06,1.0598165748747449e-06,(undefined),(undefined),6.6935679260588295e-06,5.149281446521983e-10,2.148882849129494e-06,4.054256877107755e-07,1.0672131327783362e-06,1.0598165748747449e-06,(undefined),(undefined),6.6935679260588295e-06,5.149281446521983e-10,2.148882849129494e-06,4.054256877107755e-07,1.0672131327783362e-06,1.0598165748747449e-06,(undefined),(undefined),1.3371466258317954e-06,1.7805109080970873e-11,(undefined),(undefined),1.3371466258317954e-06,1.7805109080970873e-11,(undefined),(undefined),3.2107050095624382e-06,2.950900944178148e-10,3.210705009318325e-06,1.9338692892123408e-07,1.9512026898985322e-07,5.097550304177318e-07,9.100166586887101e-07,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.038969383561404995,0.038969383561404995,0.22033847260694003,0.038969383561404995,0.019484691780702498,0.038969383561404995,0.07574286697277591,0.07574286697277591,0.038969383561404995,0.038969383561404995,0.22033847260694003,0.038969383561404995,0.019484691780702498,0.038969383561404995,0.07574286697277591,0.07574286697277591,0.038969383561404995,0.038969383561404995,0.22033847260694003,0.038969383561404995,0.019484691780702498,0.038969383561404995,0.07574286697277591,0.07574286697277591,0.002604688196475385,0.002604688196475385,0.014689231507129336,0.002102152,0.002604688196475385,0.002604688196475385,0.014689231507129336,0.00077309411328,0.02339014601349177,0.02339014601349177,0.13220308356416402,0.02339014601349177,0.011695073006745885,0.011695073006745885,0.02339014601349177,0.045462272072692676,0.045462272072692676
Total buffer ingest rate [TeraBytes/s],0.0021649657534113884,0.0021649657534113884,0.012241026255941112,0.0021649657534113884,0.0010824828767056942,0.0021649657534113884,0.004207937054043106,0.004207937054043106,0.0021649657534113884,0.0021649657534113884,0.012241026255941112,0.0021649657534113884,0.0010824828767056942,0.0021649657534113884,0.004207937054043106,0.004207937054043106,0.0021649657534113884,0.0021649657534113884,0.012241026255941112,0.0021649657534113884,0.0010824828767056942,0.0021649657534113884,0.004207937054043106,0.004207937054043106,0.0010852867485314102,0.0010852867485314102,0.006120513127970556,(undefined),0.0010852867485314102,0.0010852867485314102,0.006120513127970556,(undefined),0.0010828771302542487,0.0010828771302542487,0.006120513127970556,0.0010828771302542487,0.0005414385651271243,0.0005414385651271243,0.0010828771302542487,0.0021047348181802168,0.0021047348181802168
Output size [TB],0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,5.919186535970557,0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,5.919186535970557,0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,5.919186535970557,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.0002600806401883774,0.0002600806401883774,0.009288594292442049,1.2174746310989644,7.103023843164668
Buffer Read Rate [TeraBytes/s],0.002093751924142869,0.00010531474254155763,0.0004287276084120218,0.0005265737127077882,0.00011709999518578085,0.0002341999903715617,0.0011177276687088184,0.006104283374708428,0.002093751924142869,0.00010531474254155763,0.0004287276084120218,0.0003511229317746019,0.00011709999518578085,0.0002341999903715617,0.0011177276687088184,0.006104283374708428,0.002093751924142869,0.00010531474254155763,0.0004287276084120218,0.0003511229317746019,0.00011709999518578085,0.0002341999903715617,0.0011177276687088184,0.006104283374708428,0.0010495876040550974,3.235089396333326e-05,0.00013135751339236665,0.0008758966666666667,0.0010495876040550974,3.235089396333326e-05,0.00013135751339236665,0.0003221225472,0.0010472572471446904,7.396780443888961e-05,0.0003010071670510065,0.00036983902219444806,8.224515471454198e-05,8.224515471454198e-05,0.00016449030942908396,0.024426026518515213,0.006106506629628803
Facet visibility rate [TeraBytes/s],0.0,5.954646287395191e-05,0.00021436380420601091,0.0005359181658655673,0.0001213850245836564,0.0002427700491673128,0.0005961094839081677,(undefined),0.0,5.954646287395191e-05,0.00021436380420601091,0.0003573538766725493,0.0001213850245836564,0.0002427700491673128,0.0005961094839081677,(undefined),0.0,5.954646287395191e-05,0.00021436380420601091,0.0003573538766725493,0.0001213850245836564,0.0002427700491673128,0.0005961094839081677,(undefined),0.0,1.824440144248514e-05,6.567875669618332e-05,(undefined),0.0,1.824440144248514e-05,6.567875669618332e-05,(undefined),0.0,4.180722867506569e-05,0.00015050358352550322,0.00037626505807559124,8.522370460850412e-05,8.522370460850412e-05,0.00017044740921700824,0.013022210379135228,(undefined)
Image Write Rate [TeraBytes/s],0.0,4.0886042802765456e-05,0.0006057191526335625,0.0003679743852248892,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,4.0886042802765456e-05,0.0006057191526335625,0.0001635441712110618,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,4.0886042802765456e-05,0.0006057191526335625,0.0001635441712110618,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,2.0655653688309945e-05,0.00030600968427125835,(undefined),0.0,2.0655653688309945e-05,0.00030600968427125835,(undefined),0.0,2.0472820073137588e-05,0.00030330103812055664,0.00018425538065823833,7.722943100291955e-05,1.5445886200583913e-05,0.00038614715501459777,0.050613079902073366,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
