,hpso01 (Ingest) [Bmax=32500],hpso01 (RCAL) [Bmax=32500],hpso01 (FastImg) [Bmax=32500],hpso01 (ICAL) [Bmax=32500],hpso01 (DPrepA) [Bmax=32500],hpso01 (DPrepB) [Bmax=32500],hpso01 (DPrepC) [Bmax=32500],hpso01 (DPrepD) [Bmax=32500],hpso02a (Ingest) [Bmax=32500],hpso02a (RCAL) [Bmax=32500],hpso02a (FastImg) [Bmax=32500],hpso02a (ICAL) [Bmax=32500],hpso02a (DPrepA) [Bmax=32500],hpso02a (DPrepB) [Bmax=32500],hpso02a (DPrepC) [Bmax=32500],hpso02a (DPrepD) [Bmax=32500],hpso02b (Ingest) [Bmax=32500],hpso02b (RCAL) [Bmax=32500],hpso02b (FastImg) [Bmax=32500],hpso02b (ICAL) [Bmax=32500],hpso02b (DPrepA) [Bmax=32500],hpso02b (DPrepB) [Bmax=32500],hpso02b (DPrepC) [Bmax=32500],hpso02b (DPrepD) [Bmax=32500],hpso04a (Ingest) [Bmax=32500],hpso04a (RCAL) [Bmax=32500],hpso04a (FastImg) [Bmax=32500],hpso04a (PSS) [Bmax=32500],hpso04b (Ingest) [Bmax=32500],hpso04b (RCAL) [Bmax=32500],hpso04b (FastImg) [Bmax=32500],hpso04b (PSS) [Bmax=32500],hpso04c (Ingest) [Bmax=32500],hpso04c (RCAL) [Bmax=32500],hpso04c (FastImg) [Bmax=32500],hpso04c (PSS) [Bmax=32500],hpso05a (Ingest) [Bmax=32500],hpso05a (RCAL) [Bmax=32500],hpso05a (FastImg) [Bmax=32500],hpso05a (PST) [Bmax=32500],hpso05b (Ingest) [Bmax=32500],hpso05b (RCAL) [Bmax=32500],hpso05b (FastImg) [Bmax=32500],hpso05b (PST) [Bmax=32500],hpso13 (Ingest) [Bmax=32500],hpso13 (RCAL) [Bmax=32500],hpso13 (FastImg) [Bmax=32500],hpso13 (ICAL) [Bmax=32500],hpso13 (DPrepA) [Bmax=32500],hpso13 (DPrepB) [Bmax=32500],hpso13 (DPrepC) [Bmax=32500],hpso14 (Ingest) [Bmax=32500],hpso14 (RCAL) [Bmax=32500],hpso14 (FastImg) [Bmax=32500],hpso14 (ICAL) [Bmax=32500],hpso14 (DPrepA) [Bmax=32500],hpso14 (DPrepB) [Bmax=32500],hpso14 (DPrepC) [Bmax=32500],hpso15 (Ingest) [Bmax=32500],hpso15 (RCAL) [Bmax=32500],hpso15 (FastImg) [Bmax=32500],hpso15 (ICAL) [Bmax=32500],hpso15 (DPrepA) [Bmax=32500],hpso15 (DPrepB) [Bmax=32500],hpso15 (DPrepC) [Bmax=32500],hpso18 (Ingest) [Bmax=32500],hpso18 (RCAL) [Bmax=32500],hpso18 (FastImg) [Bmax=32500],hpso18 (SinglePulse) [Bmax=32500],hpso22 (Ingest) [Bmax=32500],hpso22 (RCAL) [Bmax=32500],hpso22 (FastImg) [Bmax=32500],hpso22 (ICAL) [Bmax=32500],hpso22 (DPrepA) [Bmax=32500],hpso22 (DPrepB) [Bmax=32500],hpso27and33 (Ingest) [Bmax=32500],hpso27and33 (RCAL) [Bmax=32500],hpso27and33 (FastImg) [Bmax=32500],hpso27and33 (ICAL) [Bmax=32500],hpso27and33 (DPrepA) [Bmax=32500],hpso27and33 (DPrepB) [Bmax=32500],hpso32 (Ingest) [Bmax=32500],hpso32 (RCAL) [Bmax=32500],hpso32 (FastImg) [Bmax=32500],hpso32 (ICAL) [Bmax=32500],hpso32 (DPrepB) [Bmax=32500],hpso37a (Ingest) [Bmax=32500],hpso37a (RCAL) [Bmax=32500],hpso37a (FastImg) [Bmax=32500],hpso37a (ICAL) [Bmax=32500],hpso37a (DPrepA) [Bmax=32500],hpso37a (DPrepB) [Bmax=32500],hpso37b (Ingest) [Bmax=32500],hpso37b (RCAL) [Bmax=32500],hpso37b (FastImg) [Bmax=32500],hpso37b (ICAL) [Bmax=32500],hpso37b (DPrepA) [Bmax=32500],hpso37b (DPrepB) [Bmax=32500],hpso37c (Ingest) [Bmax=32500],hpso37c (RCAL) [Bmax=32500],hpso37c (FastImg) [Bmax=32500],hpso37c (ICAL) [Bmax=32500],hpso37c (DPrepA) [Bmax=32500],hpso37c (DPrepB) [Bmax=32500],hpso38a (Ingest) [Bmax=32500],hpso38a (RCAL) [Bmax=32500],hpso38a (FastImg) [Bmax=32500],hpso38a (ICAL) [Bmax=32500],hpso38a (DPrepA) [Bmax=32500],hpso38a (DPrepB) [Bmax=32500],hpso38b (Ingest) [Bmax=32500],hpso38b (RCAL) [Bmax=32500],hpso38b (FastImg) [Bmax=32500],hpso38b (ICAL) [Bmax=32500],hpso38b (DPrepA) [Bmax=32500],hpso38b (DPrepB) [Bmax=32500],max_low (Ingest) [Bmax=32500],max_low (RCAL) [Bmax=32500],max_low (FastImg) [Bmax=32500],max_low (ICAL) [Bmax=32500],max_low (DPrepA) [Bmax=32500],max_low (DPrepA_Image) [Bmax=32500],max_low (DPrepB) [Bmax=32500],max_low (DPrepC) [Bmax=32500],max_low (DPrepD) [Bmax=32500],max_mid_band1 (Ingest) [Bmax=32500],max_mid_band1 (RCAL) [Bmax=32500],max_mid_band1 (FastImg) [Bmax=32500],max_mid_band1 (ICAL) [Bmax=32500],max_mid_band1 (DPrepA) [Bmax=32500],max_mid_band1 (DPrepA_Image) [Bmax=32500],max_mid_band1 (DPrepB) [Bmax=32500],max_mid_band1 (DPrepC) [Bmax=32500],max_mid_band1 (DPrepD) [Bmax=32500],max_mid_band2 (Ingest) [Bmax=32500],max_mid_band2 (RCAL) [Bmax=32500],max_mid_band2 (FastImg) [Bmax=32500],max_mid_band2 (ICAL) [Bmax=32500],max_mid_band2 (DPrepA) [Bmax=32500],max_mid_band2 (DPrepA_Image) [Bmax=32500],max_mid_band2 (DPrepB) [Bmax=32500],max_mid_band2 (DPrepC) [Bmax=32500],max_mid_band2 (DPrepD) [Bmax=32500],max_mid_band5a_1 (Ingest) [Bmax=32500],max_mid_band5a_1 (RCAL) [Bmax=32500],max_mid_band5a_1 (FastImg) [Bmax=32500],max_mid_band5a_1 (ICAL) [Bmax=32500],max_mid_band5a_1 (DPrepA) [Bmax=32500],max_mid_band5a_1 (DPrepA_Image) [Bmax=32500],max_mid_band5a_1 (DPrepB) [Bmax=32500],max_mid_band5a_1 (DPrepC) [Bmax=32500],max_mid_band5a_1 (DPrepD) [Bmax=32500],max_mid_band5a_2 (Ingest) [Bmax=32500],max_mid_band5a_2 (RCAL) [Bmax=32500],max_mid_band5a_2 (FastImg) [Bmax=32500],max_mid_band5a_2 (ICAL) [Bmax=32500],max_mid_band5a_2 (DPrepA) [Bmax=32500],max_mid_band5a_2 (DPrepA_Image) [Bmax=32500],max_mid_band5a_2 (DPrepB) [Bmax=32500],max_mid_band5a_2 (DPrepC) [Bmax=32500],max_mid_band5a_2 (DPrepD) [Bmax=32500],max_mid_band5b_1 (Ingest) [Bmax=32500],max_mid_band5b_1 (RCAL) [Bmax=32500],max_mid_band5b_1 (FastImg) [Bmax=32500],max_mid_band5b_1 (ICAL) [Bmax=32500],max_mid_band5b_1 (DPrepA) [Bmax=32500],max_mid_band5b_1 (DPrepA_Image) [Bmax=32500],max_mid_band5b_1 (DPrepB) [Bmax=32500],max_mid_band5b_1 (DPrepC) [Bmax=32500],max_mid_band5b_1 (DPrepD) [Bmax=32500],max_mid_band5b_2 (Ingest) [Bmax=32500],max_mid_band5b_2 (RCAL) [Bmax=32500],max_mid_band5b_2 (FastImg) [Bmax=32500],max_mid_band5b_2 (ICAL) [Bmax=32500],max_mid_band5b_2 (DPrepA) [Bmax=32500],max_mid_band5b_2 (DPrepA_Image) [Bmax=32500],max_mid_band5b_2 (DPrepB) [Bmax=32500],max_mid_band5b_2 (DPrepC) [Bmax=32500],max_mid_band5b_2 (DPrepD) [Bmax=32500]
Max Baseline [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Dump time [s],1.4135357841865,1.4135357841865,0.9,1.4135357841865,1.4135357841865,1.4135357841865,0.9,0.9,1.4135357841865,1.4135357841865,0.9,1.4135357841865,1.4135357841865,1.4135357841865,0.9,0.9,1.4135357841865,1.4135357841865,0.9,1.4135357841865,1.4135357841865,1.4135357841865,0.9,0.9,1.40988387084167,1.40988387084167,0.9,9.375,0.349547732745501,0.349547732745501,0.269924442054343,9.375,0.345142316078669,0.345142316078669,0.266522532888829,9.375,1.40988387084167,1.40988387084167,0.9,(undefined),0.346798764240902,0.346798764240902,0.267801659612011,(undefined),0.350478026481195,0.350478026481195,0.270642824678603,0.350478026481195,0.350478026481195,0.350478026481195,0.192318436068898,0.343758974575738,0.343758974575738,0.265454302005406,0.343758974575738,0.343758974575738,0.343758974575738,0.203224860435229,0.350847534255389,0.350847534255389,0.270928162474962,0.350847534255389,0.350847534255389,0.350847534255389,0.210155114313698,0.349547732745501,0.349547732745501,0.269924442054343,10,0.347285169001008,0.347285169001008,0.268177266492517,0.347285169001008,0.347285169001008,0.347285169001008,0.336586599423528,0.336586599423528,0.259915718344861,0.336586599423528,0.336586599423528,0.336586599423528,0.335018581037427,0.335018581037427,0.258704878026502,0.335018581037427,0.335018581037427,0.336586599423528,0.336586599423528,0.259915718344861,0.336586599423528,0.336586599423528,0.336586599423528,0.336586599423528,0.336586599423528,0.259915718344861,0.336586599423528,0.336586599423528,0.336586599423528,0.336586599423528,0.336586599423528,0.259915718344861,0.336586599423528,0.336586599423528,0.336586599423528,0.343269636716797,0.343269636716797,0.265076430155077,0.343269636716797,0.343269636716797,0.343269636716797,0.343269636716797,0.343269636716797,0.265076430155077,0.343269636716797,0.343269636716797,0.343269636716797,1.41302114454424,1.41302114454424,0.9,1.41302114454424,1.41302114454424,1.41302114454424,1.41302114454424,0.9,0.9,0.335018581037427,0.335018581037427,0.258704878026502,0.335018581037427,0.335018581037427,0.335018581037427,0.335018581037427,0.183835346843338,0.183835346843338,0.346798764240902,0.346798764240902,0.267801659612011,0.346798764240902,0.346798764240902,0.346798764240902,0.346798764240902,0.190299507900862,0.190299507900862,0.34481323134225,0.34481323134225,0.266268410188136,0.34481323134225,0.34481323134225,0.34481323134225,0.34481323134225,0.189209982872243,0.189209982872243,0.352283362405159,0.352283362405159,0.272036924100073,0.352283362405159,0.352283362405159,0.352283362405159,0.352283362405159,0.193309081288404,0.193309081288404,0.336927314290093,0.336927314290093,0.260178821954588,0.336927314290093,0.336927314290093,0.336927314290093,0.336927314290093,0.184882729464471,0.184882729464471,0.351757646119739,0.351757646119739,0.271630960445535,0.351757646119739,0.351757646119739,0.351757646119739,0.351757646119739,0.193020604048211,0.193020604048211
Observation Time [s],18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,2400,2400,2400,2400,600,600,600,600,600,600,600,600,2400,2400,2400,2400,900,900,900,900,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,15840,15840,15840,15840,15840,15840,15840,60,60,60,60,28800,28800,28800,28800,28800,28800,444,444,444,444,444,444,7920,7920,7920,7920,7920,13680,13680,13680,13680,13680,13680,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Pointing Time [s],7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,720000,720000,720000,720000,720000,720000,720000,720000,72000,72000,72000,72000,72000,72000,72000,72000,2400,2400,2400,2400,600,600,600,600,600,600,600,600,2400,2400,2400,2400,900,900,900,900,3600000,3600000,3600000,3600000,3600000,3600000,3600000,720000,720000,720000,720000,720000,720000,720000,15840,15840,15840,15840,15840,15840,15840,60,60,60,60,2160000,2160000,2160000,2160000,2160000,2160000,444,444,444,444,444,444,7920,7920,7920,7920,7920,13680,13680,13680,13680,13680,13680,342000,342000,342000,342000,342000,342000,7200000,7200000,7200000,7200000,7200000,7200000,59040,59040,59040,59040,59040,59040,3600000,3600000,3600000,3600000,3600000,3600000,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Total Time [s],18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,45900000,45900000,45900000,45900000,2880000,2880000,2880000,2880000,8640000,8640000,8640000,8640000,15480000,15480000,15480000,15480000,5760000,5760000,5760000,5760000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,45360000,45360000,45360000,45360000,45360000,45360000,45360000,36000000,36000000,36000000,36000000,21600000,21600000,21600000,21600000,21600000,21600000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,7200000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Snapshot Time [s],600,600,1,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,1,600,600,600,1,600,600,600,1,600,600,600,1,600,600,600,1,600,600,600,1,600,600,600,600,600,600,1,600,600,600,600,600,600,1,600,600,600,600,600,600,1,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600,600,600,1,600,600,600,600,600,600
Facets,(undefined),1,1,1,1,1,1,(undefined),(undefined),1,1,1,1,1,1,(undefined),(undefined),1,1,1,1,1,1,(undefined),(undefined),1,1,(undefined),(undefined),5,1,(undefined),(undefined),5,1,(undefined),(undefined),1,1,(undefined),(undefined),4,1,(undefined),(undefined),5,1,5,1,1,1,(undefined),5,1,3,1,1,1,(undefined),5,1,3,1,1,1,(undefined),5,1,(undefined),(undefined),1,1,1,1,1,(undefined),4,1,1,1,1,(undefined),4,1,1,1,(undefined),4,1,3,1,1,(undefined),4,1,4,1,1,(undefined),4,1,4,1,1,(undefined),1,1,1,1,1,(undefined),1,1,1,1,1,(undefined),1,1,1,1,1,1,1,(undefined),(undefined),4,1,4,1,1,1,1,(undefined),(undefined),4,1,4,1,1,1,1,(undefined),(undefined),1,1,1,1,1,1,1,(undefined),(undefined),1,1,1,1,1,1,1,(undefined),(undefined),1,1,1,1,1,1,1,(undefined),(undefined),1,1,1,1,1,1,1,(undefined)
w-stacking planes,(undefined),154.696617332561,1.26399031499421,154.696617333426,71.3831044406767,44.7750157382413,46.8403323278757,(undefined),(undefined),154.696617332561,1.26399031499421,114.560316855472,71.3831044406767,44.7750157382413,46.8403323278757,(undefined),(undefined),154.696617332561,1.26399031499421,114.560316855472,71.3831044406767,44.7750157382413,46.8403323278757,(undefined),(undefined),71.0347720562883,1.00000025303274,(undefined),(undefined),7.87759298751178,1.00000008717993,(undefined),(undefined),3.95621362926387,1.00000005238788,(undefined),(undefined),71.0347720562883,1.00000025303274,(undefined),(undefined),8.81703448247355,1.00000010206595,(undefined),(undefined),5.11212968834543,1.00000009387783,5.11212968810874,10.002745945867,7.82849653091831,4.24675985409871,(undefined),4.10694451165344,1.00000005104426,4.68636896478368,8.29485529603753,4.86938830339498,2.44698878457954,(undefined),3.65629137890081,1.00000005324133,4.0904727283866,7.34415916355102,4.46955026363887,2.36135395737819,(undefined),7.87759298751178,1.00000008717993,(undefined),(undefined),6.99837449754046,1.00000003917894,6.9983744979084,2.82840856410643,1.0000000270635,(undefined),8.25399278627197,1.00000010207244,10.2707128820316,12.1168817799935,5.60392943011154,(undefined),18.7309912416727,1.00000015891327,23.3191671018504,14.2548014548221,(undefined),8.25399278627197,1.00000010207244,7.45691785762135,12.1168817800023,5.60392949699515,(undefined),8.25399278627197,1.00000010207244,8.25399323969374,12.1168817800023,5.60392931693058,(undefined),8.25399278627197,1.00000010207244,8.25399323969374,12.1168817800023,5.60392931693058,(undefined),7.8531039970853,1.00000003917534,4.87484541055724,3.17393365358289,1.0000000250501,(undefined),7.8531039970853,1.00000003917534,7.85310376257706,3.17393365358289,1.0000000250501,(undefined),167.678611193469,1.36481964970584,167.678611193447,77.387001317621,73.8698481057162,48.4315224461505,22.040664034485,(undefined),(undefined),18.7309912416727,1.00000015891327,18.7309912370291,27.4679050244398,23.3191671013445,15.634974533261,5.0336653912913,(undefined),(undefined),8.81703448247355,1.00000010206595,8.81703478640173,12.9127701073203,10.9579367384162,7.32040649237253,2.51805849591045,(undefined),(undefined),10.0766426712517,1.00000003915739,10.0766424977894,4.10464025285322,3.17178489955912,1.93139865439428,1.00000002072438,(undefined),(undefined),7.99118092408564,1.00000003916782,7.99118065462407,3.20311009783744,2.52508846565021,1.53618114657496,1.00000001727569,(undefined),(undefined),5.15271030486675,1.00000003917808,5.15271014380097,2.43380801564054,1.73837763774184,1.00000002892616,1.00000002934876,(undefined),(undefined),3.31966779241273,1.00000002091751,3.31966768178166,1.49312427778889,1.00000002759573,1.00000001652374,1.00000002701246,(undefined)
w-stacking planes predict,(undefined),154.696617332561,1.26399031499421,154.696617333426,71.3831044406767,44.7750157382413,46.8403323278757,(undefined),(undefined),154.696617332561,1.26399031499421,114.560316855472,71.3831044406767,44.7750157382413,46.8403323278757,(undefined),(undefined),154.696617332561,1.26399031499421,114.560316855472,71.3831044406767,44.7750157382413,46.8403323278757,(undefined),(undefined),71.0347720562883,1.00000025303274,(undefined),(undefined),7.87759298751178,1.00000008717993,(undefined),(undefined),3.95621362926387,1.00000005238788,(undefined),(undefined),71.0347720562883,1.00000025303274,(undefined),(undefined),8.81703448247355,1.00000010206595,(undefined),(undefined),5.11212968834543,1.00000009387783,5.11212968810874,10.002745945867,7.82849653091831,4.24675985409871,(undefined),4.10694451165344,1.00000005104426,4.68636896478368,8.29485529603753,4.86938830339498,2.44698878457954,(undefined),3.65629137890081,1.00000005324133,4.0904727283866,7.34415916355102,4.46955026363887,2.36135395737819,(undefined),7.87759298751178,1.00000008717993,(undefined),(undefined),6.99837449754046,1.00000003917894,6.9983744979084,2.82840856410643,1.0000000270635,(undefined),8.25399278627197,1.00000010207244,10.2707128820316,12.1168817799935,5.60392943011154,(undefined),18.7309912416727,1.00000015891327,23.3191671018504,14.2548014548221,(undefined),8.25399278627197,1.00000010207244,7.45691785762135,12.1168817800023,5.60392949699515,(undefined),8.25399278627197,1.00000010207244,8.25399323969374,12.1168817800023,5.60392931693058,(undefined),8.25399278627197,1.00000010207244,8.25399323969374,12.1168817800023,5.60392931693058,(undefined),7.8531039970853,1.00000003917534,4.87484541055724,3.17393365358289,1.0000000250501,(undefined),7.8531039970853,1.00000003917534,7.85310376257706,3.17393365358289,1.0000000250501,(undefined),167.678611193469,1.36481964970584,167.678611193447,77.387001317621,73.8698481057162,48.4315224461505,22.040664034485,(undefined),(undefined),18.7309912416727,1.00000015891327,18.7309912370291,27.4679050244398,23.3191671013445,15.634974533261,5.0336653912913,(undefined),(undefined),8.81703448247355,1.00000010206595,8.81703478640173,12.9127701073203,10.9579367384162,7.32040649237253,2.51805849591045,(undefined),(undefined),10.0766426712517,1.00000003915739,10.0766424977894,4.10464025285322,3.17178489955912,1.93139865439428,1.00000002072438,(undefined),(undefined),7.99118092408564,1.00000003916782,7.99118065462407,3.20311009783744,2.52508846565021,1.53618114657496,1.00000001727569,(undefined),(undefined),5.15271030486675,1.00000003917808,5.15271014380097,2.43380801564054,1.73837763774184,1.00000002892616,1.00000002934876,(undefined),(undefined),3.31966779241273,1.00000002091751,3.31966768178166,1.49312427778889,1.00000002759573,1.00000001652374,1.00000002701246,(undefined)
Stations/antennas,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5,5,5,5,5,5,5,5,4.0625,4.0625,4.0625,4.0625,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,10,10,10,10,10,10,10,10,16.25,16.25,16.25,16.25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Max Baseline [per bin]3 [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,15,15,15,15,15,15,15,15,32.5,32.5,32.5,32.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
